frame;t;x;y;Feeder
8;0,267;-0,003;0,002;A
9;0,3;-0,003;0,002;A
10;0,334;-0,003;0,002;A
11;0,367;-0,003;0,002;A
12;0,4;-0,003;0,002;A
13;0,434;-0,003;0,002;A
14;0,467;-0,002;0,002;A
15;0,501;-0,002;0,002;A
16;0,534;-0,002;0,002;A
17;0,567;-0,002;0,002;A
18;0,601;-0,002;0,002;A
19;0,634;-0,002;0,002;A
20;0,667;-0,002;0,002;A
21;0,701;-0,002;0,002;A
22;0,734;-0,002;0,002;A
23;0,767;-0,002;0,002;A
24;0,801;-0,002;0,002;A
25;0,834;-0,002;0,002;A
26;0,868;-0,002;0,002;A
27;0,901;-0,002;0,001;A
28;0,934;-0,002;0,001;A
29;0,968;-0,002;0,001;A
30;1,001;-0,002;0,001;A
31;1,034;-0,002;0,001;A
32;1,068;-0,002;0,001;A
33;1,101;-0,002;0,001;A
34;1,134;-0,002;0,001;A
35;1,168;-0,002;0,001;A
36;1,201;-0,002;0,001;A
37;1,235;-0,002;0,001;A
38;1,268;-0,002;0,001;A
39;1,301;-0,002;0,001;A
40;1,335;-0,002;0,001;A
41;1,368;-0,002;0,001;A
42;1,401;-0,002;0,001;A
43;1,435;-0,002;0,001;A
44;1,468;0;0,003;OUT
45;1,502;0;0,003;OUT
46;1,535;0,001;0,006;OUT
47;1,568;0,002;0,007;OUT
48;1,602;0,002;0,008;OUT
49;1,635;0,002;0,009;OUT
50;1,668;0,002;0,009;OUT
51;1,702;0,002;0,009;OUT
52;1,735;0,002;0,008;OUT
53;1,768;0,002;0,008;OUT
54;1,802;0,001;0,008;OUT
55;1,835;0,002;0,008;OUT
56;1,869;0,002;0,008;OUT
57;1,902;0,002;0,008;OUT
58;1,935;0,002;0,008;OUT
59;1,969;0,002;0,008;OUT
60;2,002;0,001;0,008;OUT
61;2,035;0,001;0,007;OUT
62;2,069;0,001;0,007;OUT
63;2,102;0;0,006;OUT
64;2,135;0;0,005;OUT
65;2,169;-0,001;0,003;OUT
66;2,202;-0,002;0,003;A
67;2,236;-0,002;0,002;A
68;2,269;-0,002;0,002;A
69;2,302;-0,002;0,002;A
70;2,336;-0,002;0,002;A
71;2,369;-0,002;0,001;A
72;2,402;-0,002;0,001;A
73;2,436;-0,002;0,002;A
74;2,469;-0,002;0,002;A
75;2,502;-0,002;0,002;A
76;2,536;-0,002;0,002;A
77;2,569;-0,002;0,002;A
78;2,603;-0,002;0,002;A
79;2,636;-0,002;0,002;A
80;2,669;-0,002;0,002;A
81;2,703;-0,002;0,002;A
82;2,736;-0,002;0,002;A
83;2,769;-0,002;0,002;A
84;2,803;-0,002;0,002;A
85;2,836;-0,002;0,002;A
86;2,87;-0,002;0,002;A
87;2,903;-0,002;0,002;A
88;2,936;-0,002;0,002;A
89;2,97;-0,002;0,002;A
90;3,003;-0,002;0,002;A
91;3,036;-0,002;0,002;A
92;3,07;-0,002;0,002;A
93;3,103;-0,002;0,002;A
94;3,136;-0,002;0,002;A
95;3,17;-0,002;0,002;A
96;3,203;-0,002;0,002;A
97;3,237;-0,002;0,002;A
98;3,27;-0,002;0,002;A
99;3,303;-0,002;0,002;A
100;3,337;-0,002;0,002;A
101;3,37;-0,002;0,002;A
102;3,403;-0,002;0,002;A
103;3,437;-0,002;0,002;A
104;3,47;-0,002;0,002;A
105;3,504;-0,002;0,002;A
106;3,537;-0,002;0,002;A
107;3,57;-0,002;0,002;A
108;3,604;-0,002;0,002;A
109;3,637;-0,004;0,002;OUT
110;3,67;-0,007;0,004;OUT
111;3,704;-0,008;0,006;OUT
112;3,737;-0,009;0,008;OUT
113;3,77;-0,009;0,008;OUT
114;3,804;-0,009;0,009;OUT
115;3,837;-0,01;0,009;OUT
116;3,871;-0,01;0,009;OUT
117;3,904;-0,01;0,009;OUT
118;3,937;-0,009;0,009;OUT
119;3,971;-0,009;0,009;OUT
120;4,004;-0,009;0,009;OUT
121;4,037;-0,009;0,009;OUT
122;4,071;-0,009;0,008;OUT
123;4,104;-0,009;0,008;OUT
124;4,137;-0,009;0,008;OUT
125;4,171;-0,009;0,008;OUT
126;4,204;-0,009;0,008;OUT
127;4,238;-0,009;0,008;OUT
128;4,271;-0,009;0,008;OUT
129;4,304;-0,008;0,008;OUT
130;4,338;-0,006;0,007;OUT
131;4,371;-0,006;0,007;OUT
132;4,404;-0,004;0,006;OUT
133;4,438;-0,004;0,005;OUT
134;4,471;-0,003;0,005;OUT
135;4,505;-0,003;0,005;OUT
136;4,538;-0,003;0,005;OUT
137;4,571;-0,003;0,005;OUT
138;4,605;-0,004;0,005;OUT
139;4,638;-0,004;0,005;OUT
140;4,671;-0,004;0,005;OUT
141;4,705;-0,004;0,005;OUT
142;4,738;-0,004;0,005;OUT
143;4,771;-0,004;0,005;OUT
144;4,805;-0,004;0,005;OUT
145;4,838;-0,004;0,005;OUT
146;4,872;-0,004;0,005;OUT
147;4,905;-0,004;0,005;OUT
148;4,938;-0,004;0,004;OUT
149;4,972;-0,003;0,002;OUT
150;5,005;-0,003;0,003;A
151;5,038;-0,003;0,002;A
152;5,072;-0,003;0,002;A
153;5,105;-0,003;0,002;A
154;5,138;-0,003;0,002;A
155;5,172;-0,003;0,002;A
156;5,205;-0,003;0,002;A
157;5,239;-0,003;0,002;A
158;5,272;-0,003;0,002;A
159;5,305;-0,003;0,003;OUT
160;5,339;-0,003;0,003;OUT
161;5,372;-0,003;0,003;OUT
162;5,405;-0,003;0,003;OUT
163;5,439;-0,002;0,004;OUT
164;5,472;-0,003;0,004;OUT
165;5,506;-0,003;0,004;OUT
166;5,539;-0,003;0,004;OUT
167;5,572;-0,002;0,004;OUT
168;5,606;-0,002;0,004;OUT
169;5,639;-0,002;0,004;OUT
170;5,672;-0,002;0,003;A
171;5,706;-0,002;0,003;A
172;5,739;-0,002;0,003;A
173;5,772;-0,002;0,002;A
174;5,806;-0,002;0,002;A
175;5,839;-0,002;0,002;A
176;5,873;-0,002;0,002;A
177;5,906;-0,002;0,002;A
178;5,939;-0,002;0,002;A
179;5,973;-0,003;0,002;A
180;6,006;-0,002;0,002;A
181;6,039;-0,001;0,002;A
182;6,073;0;0,003;OUT
183;6,106;0;0,003;OUT
184;6,139;0;0,004;OUT
185;6,173;0;0,004;OUT
186;6,206;0;0,004;OUT
187;6,24;0;0,004;OUT
188;6,273;0;0,004;OUT
189;6,306;0;0,004;OUT
190;6,34;0;0,004;OUT
191;6,373;0;0,004;OUT
192;6,406;0;0,004;OUT
193;6,44;0;0,004;OUT
194;6,473;0;0,004;OUT
195;6,506;0;0,004;OUT
196;6,54;0;0,004;OUT
197;6,573;-0,001;0,003;OUT
198;6,607;-0,001;0,003;OUT
199;6,64;-0,001;0,002;OUT
200;6,673;-0,002;0,002;A
201;6,707;-0,002;0,002;A
202;6,74;-0,002;0,002;A
203;6,773;-0,002;0,001;A
204;6,807;-0,002;0,001;A
205;6,84;-0,002;0,001;A
206;6,874;-0,002;0,001;A
207;6,907;-0,002;0,001;A
208;6,94;-0,002;0,001;A
209;6,974;-0,002;0,001;A
210;7,007;-0,002;0,001;A
211;7,04;-0,002;0,001;A
212;7,074;-0,002;0,001;A
213;7,107;-0,002;0,001;A
214;7,14;-0,002;0,001;A
215;7,174;-0,002;0,001;A
216;7,207;-0,002;0,001;A
217;7,241;-0,002;0,001;A
218;7,274;-0,002;0,002;A
219;7,307;-0,002;0,002;A
220;7,341;-0,002;0,002;A
221;7,374;-0,002;0,002;A
222;7,407;-0,002;0,002;A
223;7,441;-0,002;0,002;A
224;7,474;-0,002;0,002;A
225;7,508;-0,002;0,002;A
226;7,541;-0,002;0,002;A
227;7,574;-0,002;0,002;A
228;7,608;-0,002;0,002;A
229;7,641;-0,002;0,002;A
230;7,674;-0,002;0,002;A
231;7,708;-0,002;0,002;A
232;7,741;-0,002;0,002;A
233;7,774;-0,002;0,002;A
234;7,808;-0,002;0,002;A
235;7,841;-0,002;0,002;A
236;7,875;-0,002;0,002;A
237;7,908;-0,002;0,002;A
