frame;t;x;y;Feeder
238;7,941;0,054;0,027;C
239;7,975;0,052;0,025;C
240;8,008;0,052;0,025;C
241;8,041;0,052;0,025;C
242;8,075;0,052;0,025;C
243;8,108;0,051;0,024;C
244;8,141;0,051;0,024;C
245;8,175;0,051;0,023;C
246;8,208;0,106;0,029;OUT
247;8,242;0,132;0,031;OUT
248;8,275;0,169;0,036;OUT
249;8,308;0,22;0,041;OUT
250;8,342;0,241;0,042;OUT
251;8,375;0,246;0,045;OUT
252;8,408;0,247;0,046;OUT
253;8,442;0,247;0,046;OUT
254;8,475;0,247;0,046;OUT
255;8,509;0,247;0,044;OUT
256;8,542;0,245;0,045;OUT
257;8,575;0,242;0,047;OUT
258;8,609;0,239;0,047;OUT
259;8,642;0,236;0,05;OUT
260;8,675;0,236;0,049;OUT
261;8,709;0,236;0,049;OUT
262;8,742;0,237;0,048;OUT
263;8,775;0,237;0,048;OUT
264;8,809;0,263;0,048;OUT
265;8,842;0,262;0,057;OUT
266;8,876;0,262;0,067;OUT
267;8,909;0,264;0,062;OUT
268;8,942;0,264;0,065;OUT
269;8,976;0,264;0,065;OUT
270;9,009;0,264;0,065;OUT
271;9,042;0,266;0,062;OUT
272;9,076;0,266;0,062;OUT
273;9,109;0,266;0,059;OUT
274;9,142;0,266;0,059;OUT
275;9,176;0,266;0,059;OUT
276;9,209;0,264;0,028;OUT
277;9,243;0,203;0,03;OUT
278;9,276;0,138;0,034;OUT
279;9,309;0,116;0,029;OUT
280;9,343;0,094;0,026;OUT
281;9,376;0,073;0,027;C
282;9,409;0,068;0,028;C
283;9,443;0,061;0,026;C
284;9,476;0,06;0,027;C
285;9,51;0,06;0,027;C
286;9,543;0,06;0,027;C
287;9,576;0,06;0,027;C
288;9,61;0,06;0,027;C
289;9,643;0,059;0,027;C
290;9,676;0,059;0,027;C
291;9,71;0,059;0,027;C
292;9,743;0,059;0,027;C
293;9,776;0,052;0,02;C
294;9,81;0,07;0,026;OUT
295;9,843;0,094;0,036;OUT
296;9,877;0,118;0,045;OUT
