frame;t;x;y;Feeder
86;2,87;0,063;0,016;C
87;2,903;0,063;0,016;C
88;2,936;0,063;0,016;C
89;2,97;0,063;0,016;C
90;3,003;0,063;0,016;C
91;3,036;0,063;0,016;C
92;3,07;0,063;0,016;C
93;3,103;0,063;0,016;C
94;3,136;0,063;0,016;C
95;3,17;0,063;0,016;C
96;3,203;0,063;0,016;C
97;3,237;0,063;0,016;C
98;3,27;0,063;0,016;C
99;3,303;0,063;0,016;C
100;3,337;0,064;0,011;C
101;3,37;0,064;0,012;C
102;3,403;0,064;0,012;C
103;3,437;0,064;0,012;C
104;3,47;0,063;0,012;C
105;3,504;0,063;0,012;C
106;3,537;0,062;0,012;C
107;3,57;0,062;0,012;C
108;3,604;0,111;0,023;C
109;3,637;0,152;0,044;C
110;3,67;0,178;0,064;OUT
111;3,704;0,2;0,069;OUT
112;3,737;0,2;0,069;OUT
113;3,77;0,2;0,069;OUT
114;3,804;0,2;0,069;OUT
115;3,837;0,199;0,068;OUT
116;3,871;0,199;0,068;OUT
117;3,904;0,199;0,068;OUT
118;3,937;0,198;0,064;OUT
119;3,971;0,198;0,063;OUT
120;4,004;0,172;0,051;OUT
121;4,037;0,121;0,033;OUT
122;4,071;0,093;0,021;OUT
123;4,104;0,078;0,019;OUT
124;4,137;0,066;0,016;C
125;4,171;0,065;0,016;C
126;4,204;0,065;0,016;C
127;4,238;0,065;0,016;C
128;4,271;0,065;0,016;C
129;4,304;0,065;0,016;C
130;4,338;0,067;0,011;C
131;4,371;0,066;0,009;C
132;4,404;0,066;0,009;C
133;4,438;0,066;0,009;C
134;4,471;0,067;0,009;C
135;4,505;0,067;0,009;C
136;4,538;0,067;0,009;C
137;4,571;0,067;0,009;C
138;4,605;0,067;0,009;C
139;4,638;0,067;0,009;C
140;4,671;0,067;0,009;C
141;4,705;0,067;0,009;C
142;4,738;0,067;0,009;C
143;4,771;0,07;0,013;C
144;4,805;0,07;0,013;C
145;4,838;0,072;0,016;C
146;4,872;0,073;0,016;C
147;4,905;0,073;0,016;C
148;4,938;0,073;0,016;C
149;4,972;0,073;0,016;C
150;5,005;0,073;0,016;C
151;5,038;0,073;0,016;C
152;5,072;0,073;0,016;C
153;5,105;0,073;0,016;C
154;5,138;0,073;0,016;C
155;5,172;0,073;0,016;C
156;5,205;0,073;0,016;C
157;5,239;0,073;0,016;C
158;5,272;0,086;0,04;OUT
159;5,305;0,096;0,055;OUT
160;5,339;0,105;0,066;OUT
161;5,372;0,121;0,088;OUT
162;5,405;0,137;0,103;OUT
163;5,439;0,153;0,102;OUT
164;5,472;0,17;0,107;OUT
165;5,506;0,17;0,107;OUT
166;5,539;0,171;0,107;OUT
167;5,572;0,173;0,105;OUT
168;5,606;0,173;0,105;OUT
169;5,639;0,173;0,105;OUT
170;5,672;0,173;0,105;OUT
171;5,706;0,173;0,105;OUT
172;5,739;0,173;0,105;OUT
173;5,772;0,173;0,105;OUT
174;5,806;0,173;0,105;OUT
175;5,839;0,174;0,105;OUT
176;5,873;0,174;0,105;OUT
177;5,906;0,174;0,105;OUT
178;5,939;0,174;0,105;OUT
179;5,973;0,16;0,092;OUT
180;6,006;0,116;0,027;OUT
181;6,039;0,099;0,015;OUT
182;6,073;0,088;0,012;OUT
183;6,106;0,085;0,008;C
184;6,139;0,082;0,005;C
185;6,173;0,078;0,005;C
186;6,206;0,076;0,005;C
187;6,24;0,074;0,006;C
188;6,273;0,074;0,006;C
189;6,306;0,074;0,006;C
190;6,34;0,074;0,006;C
191;6,373;0,074;0,006;C
192;6,406;0,074;0,006;C
193;6,44;0,074;0,006;C
194;6,473;0,074;0,006;C
195;6,507;0,074;0,006;C
196;6,54;0,074;0,006;C
197;6,573;0,075;0,006;C
198;6,607;0,076;0,006;C
199;6,64;0,108;0,034;OUT
200;6,673;0,125;0,051;OUT
201;6,707;0,146;0,071;OUT
202;6,74;0,152;0,081;OUT
203;6,773;0,159;0,082;OUT
204;6,807;0,161;0,082;OUT
205;6,84;0,161;0,082;OUT
206;6,874;0,164;0,082;OUT
207;6,907;0,165;0,082;OUT
208;6,94;0,175;0,085;OUT
209;6,974;0,175;0,086;OUT
210;7,007;0,179;0,087;OUT
211;7,04;0,181;0,089;OUT
212;7,074;0,179;0,091;OUT
213;7,107;0,171;0,085;OUT
214;7,14;0,168;0,082;OUT
215;7,174;0,157;0,076;OUT
216;7,207;0,146;0,067;OUT
217;7,241;0,079;0,036;OUT
218;7,274;0,069;0,028;C
219;7,307;0,063;0,025;C
220;7,341;0,063;0,021;C
221;7,374;0,058;0,017;C
222;7,407;0,058;0,017;C
223;7,441;0,058;0,016;C
224;7,474;0,058;0,016;C
225;7,508;0,059;0,015;C
226;7,541;0,063;0,016;C
227;7,574;0,063;0,016;C
228;7,608;0,063;0,016;C
229;7,641;0,063;0,015;C
230;7,674;0,063;0,015;C
231;7,708;0,063;0,015;C
232;7,741;0,063;0,015;C
233;7,774;0,063;0,015;C
234;7,808;0,063;0,015;C
235;7,841;0,063;0,015;C
236;7,875;0,052;0,024;OUT
237;7,908;0,045;0,036;OUT
238;7,941;0,045;0,054;OUT
239;7,975;0,044;0,059;OUT
240;8,008;0,031;0,071;OUT
241;8,041;0,033;0,074;OUT
242;8,075;0,037;0,075;OUT
243;8,108;0,037;0,078;OUT
244;8,141;0,038;0,076;OUT
245;8,175;0,038;0,074;OUT
246;8,208;0,039;0,073;OUT
247;8,242;0,055;0,07;OUT
248;8,275;0,08;0,05;OUT
249;8,308;0,07;0,03;OUT
250;8,342;0,069;0,021;OUT
251;8,375;0,068;0,022;OUT
252;8,408;0,066;0,019;OUT
253;8,442;0,063;0,017;C
254;8,475;0,061;0,012;C
255;8,509;0,061;0,012;C
256;8,542;0,06;0,013;C
257;8,575;0,06;0,013;C
258;8,609;0,06;0,013;C
259;8,642;0,06;0,013;C
260;8,675;0,06;0,013;C
261;8,709;0,059;0,013;C
262;8,742;0,059;0,013;C
263;8,775;0,059;0,013;C
264;8,809;0,059;0,013;C
265;8,842;0,058;0,012;C
266;8,876;0,058;0,012;C
267;8,909;0,058;0,012;C
268;8,942;0,059;0,012;C
269;8,976;0,06;0,012;C
270;9,009;0,061;0,012;C
271;9,042;0,061;0,012;C
272;9,076;0,061;0,012;C
273;9,109;0,062;0,012;C
274;9,142;0,063;0,018;C
275;9,176;0,063;0,018;C
276;9,209;0,063;0,016;C
277;9,243;0,115;0,03;OUT
278;9,276;0,137;0,044;OUT
279;9,309;0,172;0,063;OUT
280;9,343;0,179;0,069;OUT
281;9,376;0,188;0,069;OUT
282;9,409;0,187;0,069;OUT
283;9,443;0,189;0,069;OUT
284;9,476;0,189;0,069;OUT
285;9,51;0,189;0,069;OUT
286;9,543;0,189;0,069;OUT
287;9,576;0,189;0,069;OUT
288;9,61;0,19;0,069;OUT
289;9,643;0,148;0,049;OUT
290;9,676;0,114;0,032;OUT
291;9,71;0,075;0,018;OUT
292;9,743;0,059;0,01;C
293;9,776;0,059;0,01;C
294;9,81;0,057;0,009;C
295;9,843;0,057;0,009;C
296;9,877;0,057;0,009;C
297;9,91;0,062;0,012;C
298;9,943;0,063;0,012;C
299;9,977;0,063;0,012;C
300;10,01;0,063;0,012;C
301;10,043;0,063;0,012;C
302;10,077;0,063;0,012;C
303;10,11;0,064;0,012;C
304;10,143;0,064;0,012;C
305;10,177;0,064;0,012;C
306;10,21;0,064;0,012;C
307;10,244;0,064;0,012;C
308;10,277;0,065;0,012;C
309;10,31;0,065;0,012;C
310;10,344;0,065;0,012;C
311;10,377;0,066;0,012;C
312;10,41;0,113;0,029;OUT
313;10,444;0,143;0,044;OUT
314;10,477;0,172;0,067;OUT
315;10,511;0,179;0,07;OUT
316;10,544;0,188;0,071;OUT
317;10,577;0,188;0,071;OUT
318;10,611;0,188;0,071;OUT
319;10,644;0,188;0,071;OUT
320;10,677;0,188;0,071;OUT
321;10,711;0,188;0,071;OUT
322;10,744;0,158;0,059;OUT
323;10,777;0,106;0,041;OUT
324;10,811;0,078;0,025;OUT
325;10,844;0,06;0,014;C
326;10,878;0,057;0,012;C
327;10,911;0,055;0,012;C
328;10,944;0,054;0,01;C
329;10,978;0,054;0,01;C
330;11,011;0,056;0,011;C
331;11,044;0,056;0,011;C
332;11,078;0,056;0,011;C
333;11,111;0,056;0,011;C
334;11,144;0,056;0,011;C
335;11,178;0,056;0,011;C
336;11,211;0,056;0,011;C
337;11,245;0,056;0,011;C
338;11,278;0,056;0,011;C
339;11,311;0,056;0,011;C
340;11,345;0,056;0,011;C
341;11,378;0,056;0,01;C
342;11,411;0,058;0,01;C
