frame;t;x;y;Feeder
4;0,133;0,08;0,015;C
5;0,167;0,076;0,011;C
6;0,2;0,074;0,011;C
7;0,234;0,068;0,01;C
8;0,267;0,06;0,009;C
9;0,3;0,06;0,009;C
10;0,334;0,049;0,015;C
11;0,367;0,049;0,013;C
12;0,4;0,046;0,013;C
13;0,434;0,045;0,015;C
14;0,467;0,043;0,016;C
15;0,501;0,043;0,015;C
16;0,534;0,043;0,015;C
17;0,567;0,043;0,012;C
18;0,601;0,043;0,013;C
19;0,634;0,043;0,014;C
20;0,667;0,043;0,014;C
21;0,701;0,045;0,017;C
22;0,734;0,046;0,018;C
23;0,767;0,046;0,015;C
24;0,801;0,049;0,021;C
25;0,834;0,051;0,024;C
26;0,868;0,051;0,023;C
27;0,901;0,05;0,018;C
28;0,934;0,05;0,017;C
29;0,968;0,05;0,016;C
30;1,001;0,049;0,014;C
31;1,034;0,049;0,015;C
32;1,068;0,05;0,016;C
33;1,101;0,064;0,025;C
34;1,134;0,074;0,029;C
35;1,168;0,076;0,029;C
36;1,201;0,076;0,027;C
37;1,235;0,076;0,028;C
38;1,268;0,075;0,025;C
39;1,301;0,075;0,024;C
40;1,335;0,075;0,024;C
41;1,368;0,074;0,023;C
42;1,401;0,074;0,021;C
43;1,435;0,074;0,021;C
44;1,468;0,072;0,022;C
45;1,502;0,072;0,022;C
46;1,535;0,072;0,021;C
47;1,568;0,072;0,02;C
48;1,602;0,072;0,019;C
49;1,635;0,074;0,02;C
50;1,668;0,074;0,019;C
51;1,702;0,073;0,018;C
52;1,735;0,072;0,018;C
53;1,768;0,071;0,016;C
54;1,802;0,071;0,015;C
55;1,835;0,071;0,015;C
56;1,869;0,071;0,015;C
57;1,902;0,072;0,015;C
58;1,935;0,072;0,015;C
59;1,969;0,072;0,015;C
60;2,002;0,074;0,016;C
61;2,035;0,074;0,016;C
62;2,069;0,073;0,016;C
63;2,102;0,073;0,016;C
64;2,135;0,078;0,023;C
65;2,169;0,08;0,026;C
66;2,202;0,085;0,031;C
67;2,236;0,085;0,031;C
68;2,269;0,084;0,027;C
69;2,302;0,084;0,027;C
70;2,336;0,084;0,027;C
71;2,369;0,082;0,027;C
72;2,402;0,08;0,025;C
73;2,436;0,08;0,025;C
74;2,469;0,08;0,025;C
75;2,503;0,059;0,022;C
76;2,536;0,058;0,017;C
