frame;t;x;y;Feeder
72;2,402;0,094;0,019;C
73;2,436;0,094;0,016;C
74;2,469;0,094;0,016;C
75;2,503;0,094;0,016;C
76;2,536;0,095;0,014;C
77;2,569;0,09;0,013;C
78;2,603;0,09;0,013;C
79;2,636;0,09;0,013;C
80;2,669;0,09;0,013;C
81;2,703;0,09;0,009;C
82;2,736;0,09;0,007;C
83;2,769;0,09;0,009;C
84;2,803;0,09;0,011;C
85;2,836;0,091;0,011;C
86;2,87;0,091;0,011;C
87;2,903;0,091;0,011;C
88;2,936;0,091;0,011;C
89;2,97;0,091;0,011;C
90;3,003;0,091;0,011;C
91;3,036;0,091;0,011;C
92;3,07;0,091;0,011;C
93;3,103;0,091;0,011;C
94;3,136;0,091;0,011;C
95;3,17;0,091;0,011;C
96;3,203;0,091;0,011;C
97;3,237;0,091;0,011;C
98;3,27;0,091;0,011;C
99;3,303;0,091;0,011;C
100;3,337;0,091;0,011;C
101;3,37;0,091;0,011;C
102;3,403;0,091;0,011;C
103;3,437;0,091;0,011;C
104;3,47;0,091;0,011;C
105;3,504;0,091;0,011;C
106;3,537;0,091;0,011;C
107;3,57;0,091;0,011;C
108;3,604;0,091;0,011;C
109;3,637;0,091;0,011;C
110;3,67;0,091;0,011;C
111;3,704;0,094;0,011;C
112;3,737;0,092;0,011;C
113;3,77;0,092;0,011;C
114;3,804;0,092;0,011;C
115;3,837;0,092;0,011;C
116;3,871;0,092;0,011;C
117;3,904;0,092;0,011;C
118;3,937;0,092;0,011;C
119;3,971;0,092;0,009;C
120;4,004;0,092;0,009;C
121;4,037;0,092;0,009;C
122;4,071;0,092;0,009;C
123;4,104;0,09;0,008;C
124;4,137;0,094;0,006;C
125;4,171;0,094;0,006;C
126;4,204;0,094;0,006;C
127;4,238;0,094;0,006;C
128;4,271;0,094;0,006;C
129;4,304;0,094;0,006;C
130;4,338;0,081;0,018;C
131;4,371;0,082;0,017;C
132;4,404;0,075;0,024;C
133;4,438;0,075;0,022;C
134;4,471;0,074;0,02;C
135;4,505;0,074;0,02;C
136;4,538;0,074;0,02;C
137;4,571;0,076;0,02;C
138;4,605;0,077;0,018;C
139;4,638;0,077;0,018;C
140;4,671;0,078;0,018;C
141;4,705;0,078;0,018;C
142;4,738;0,078;0,018;C
143;4,771;0,078;0,018;C
144;4,805;0,078;0,018;C
145;4,838;0,078;0,018;C
146;4,872;0,078;0,017;C
147;4,905;0,078;0,017;C
148;4,938;0,078;0,017;C
149;4,972;0,078;0,017;C
150;5,005;0,078;0,017;C
151;5,038;0,078;0,017;C
