frame;t;x;y;Feeder
409;13,647;0,214;0,029;C
410;13,68;0,214;0,029;C
411;13,714;0,212;0,027;C
412;13,747;0,194;0,02;C
413;13,78;0,194;0,02;C
414;13,814;0,194;0,02;C
415;13,847;0,194;0,02;C
416;13,881;0,194;0,02;C
417;13,914;0,192;0,016;C
418;13,947;0,192;0,016;C
419;13,981;0,192;0,016;C
420;14,014;0,192;0,016;C
421;14,047;0,192;0,016;C
422;14,081;0,192;0,016;C
423;14,114;0,192;0,016;C
424;14,147;0,194;0,025;C
425;14,181;0,201;0,029;C
426;14,214;0,203;0,029;C
427;14,248;0,203;0,029;C
428;14,281;0,203;0,029;C
429;14,314;0,203;0,031;C
430;14,348;0,203;0,031;C
431;14,381;0,203;0,031;C
432;14,414;0,203;0,031;C
433;14,448;0,203;0,031;C
434;14,481;0,198;0,025;C
435;14,515;0,198;0,025;C
436;14,548;0,198;0,025;C
437;14,581;0,198;0,025;C
438;14,615;0,198;0,025;C
439;14,648;0,198;0,025;C
440;14,681;0,198;0,025;C
441;14,715;0,198;0,025;C
442;14,748;0,198;0,022;C
443;14,781;0,198;0,022;C
444;14,815;0,198;0,022;C
445;14,848;0,198;0,022;C
446;14,882;0,198;0,02;C
447;14,915;0,198;0,02;C
448;14,948;0,198;0,02;C
449;14,982;0,198;0,02;C
450;15,015;0,198;0,02;C
451;15,048;0,198;0,02;C
452;15,082;0,198;0,02;C
453;15,115;0,198;0,02;C
454;15,148;0,198;0,018;C
455;15,182;0,198;0,018;C
456;15,215;0,198;0,018;C
457;15,249;0,198;0,018;C
458;15,282;0,198;0,018;C
459;15,315;0,198;0,018;C
460;15,349;0,198;0,018;C
461;15,382;0,198;0,018;C
462;15,415;0,198;0,018;C
463;15,449;0,198;0,018;C
464;15,482;0,198;0,018;C
465;15,516;0,196;0,031;C
466;15,549;0,196;0,033;C
467;15,582;0,198;0,033;C
468;15,616;0,201;0,033;C
469;15,649;0,201;0,033;C
470;15,682;0,201;0,033;C
