frame;t;x;y;Feeder
27;0,901;0,005;0,002;OUT
28;0,934;0,004;0,001;OUT
29;0,968;0,003;0;B
30;1,001;0,001;0,001;B
31;1,034;0,001;0,001;B
32;1,068;0;0;B
33;1,101;0;0;B
34;1,134;0;0;B
35;1,168;0;0;B
36;1,201;0;0;B
37;1,235;0;0;B
38;1,268;0;0;B
39;1,301;0;0,001;B
40;1,335;0;0,001;B
41;1,368;0;0,001;B
42;1,401;0;0,001;B
43;1,435;0;0,001;B
44;1,468;0;0,001;B
45;1,502;0;0,001;B
46;1,535;0;0,001;B
47;1,568;0;0,001;B
48;1,602;0,001;0,001;B
49;1,635;0,001;0,001;B
50;1,668;0,002;0,001;B
51;1,702;0,002;0,001;B
52;1,735;0,002;0,001;B
53;1,768;0,002;0,001;B
54;1,802;0,002;0,001;B
55;1,835;0,002;0,001;B
56;1,869;0,002;0,001;B
57;1,902;0,002;0,001;B
58;1,935;0,002;0,001;B
59;1,969;0,002;0,001;B
60;2,002;0,002;0,001;B
61;2,035;0,002;0,001;B
62;2,069;0,002;0,001;B
63;2,102;0,002;0,001;B
64;2,135;0,002;0,001;B
65;2,169;0,002;0,001;B
66;2,202;0,002;0,001;B
67;2,236;0,002;0,001;B
68;2,269;0,002;0,001;B
69;2,302;0,002;0,001;B
70;2,336;0,002;0,001;B
71;2,369;0,002;0,001;B
72;2,402;0,002;0,001;B
73;2,436;0,002;0,001;B
74;2,469;0,002;0,001;B
75;2,503;0,002;0,001;B
76;2,536;0,002;0,001;B
77;2,569;0,002;0,001;B
78;2,603;0,002;0,001;B
79;2,636;0,002;0,001;B
80;2,669;0,002;0,001;B
81;2,703;0,002;0,001;B
82;2,736;0,002;0,001;B
83;2,769;0,002;0,001;B
84;2,803;0,002;0,001;B
85;2,836;0,002;0,001;B
86;2,87;0,002;0,001;B
87;2,903;0,002;0,001;B
88;2,936;0,002;0,001;B
89;2,97;0,002;0,001;B
90;3,003;0,002;0,001;B
91;3,036;0,002;0,001;B
92;3,07;0,002;0,003;OUT
93;3,103;0,002;0,004;OUT
94;3,136;0,002;0,004;OUT
95;3,17;0,001;0,006;OUT
96;3,203;0,001;0,006;OUT
97;3,237;0,001;0,006;OUT
98;3,27;0,001;0,006;OUT
99;3,303;0;0,006;OUT
100;3,337;0;0,006;OUT
101;3,37;0;0,006;OUT
102;3,403;0;0,006;OUT
103;3,437;0;0,006;OUT
104;3,47;0;0,006;OUT
105;3,504;0;0,006;OUT
106;3,537;0;0,006;OUT
107;3,57;0;0,006;OUT
108;3,604;0;0,006;OUT
109;3,637;0;0,006;OUT
110;3,67;0;0,006;OUT
