frame;t;x;y;Feeder
34;1,134;0,005;0,001;OUT
35;1,168;0,005;0,002;OUT
36;1,201;0,006;0,002;OUT
37;1,235;0,006;0,002;OUT
38;1,268;0,006;0,002;OUT
39;1,301;0,006;0,002;OUT
40;1,335;0,006;0,002;OUT
41;1,368;0,006;0,002;OUT
42;1,401;0,006;0,002;OUT
43;1,435;0,006;0,002;OUT
44;1,468;0,006;0,002;OUT
45;1,502;0,006;0,002;OUT
46;1,535;0,006;0,002;OUT
47;1,568;0,006;0,002;OUT
48;1,602;0,006;0,002;OUT
49;1,635;0,006;0,002;OUT
50;1,668;0,006;0,002;OUT
51;1,702;0,005;0,001;OUT
52;1,735;0,004;0;OUT
53;1,768;0,002;0;A
54;1,802;0,002;0;A
55;1,835;0,002;0;A
56;1,869;0,002;0,001;A
57;1,902;0,001;0,001;A
58;1,935;0,001;0,001;A
59;1,969;0,001;0,001;A
60;2,002;0,001;0;A
61;2,035;0,001;0;A
62;2,069;0,001;0;A
63;2,102;0,002;-0,001;A
64;2,135;0,002;-0,001;A
65;2,169;0,002;0;A
66;2,202;0,002;0;A
67;2,236;0,002;0;A
68;2,269;0,002;0;A
69;2,302;0,002;0;A
70;2,336;0,002;0;A
71;2,369;0,002;0;A
72;2,402;0,002;0;A
73;2,436;0,001;0;A
74;2,469;0,001;0;A
75;2,503;0,001;0;A
76;2,536;0,001;0;A
77;2,569;0,001;0;A
78;2,603;0,001;0;A
79;2,636;0,001;0;A
80;2,669;0,001;0;A
81;2,703;0,001;0;A
82;2,736;0,001;0;A
83;2,769;0,001;0;A
84;2,803;0,001;0;A
85;2,836;0,001;0;A
86;2,87;0,001;0;A
87;2,903;0,001;0;A
88;2,936;0,001;0;A
89;2,97;0,001;0;A
90;3,003;0,001;0;A
91;3,036;0,001;0;A
92;3,07;0,001;0;A
93;3,103;0,001;0;A
94;3,136;0,001;0;A
95;3,17;0,001;0;A
96;3,203;0,001;0;A
97;3,237;0,001;0;A
98;3,27;0,001;0;A
99;3,303;0,001;0;A
100;3,337;0,001;0;A
101;3,37;0,001;0;A
102;3,403;0,001;0;A
103;3,437;0,001;0;A
104;3,47;0,001;0;A
105;3,504;0,001;0;A
106;3,537;0,001;0;A
107;3,57;0,001;0;A
108;3,604;0,001;0;A
109;3,637;0,001;0;A
110;3,67;0,005;0,001;OUT
111;3,704;0,006;0,002;OUT
112;3,737;0,006;0,002;OUT
113;3,77;0,006;0,002;OUT
114;3,804;0,007;0,003;OUT
115;3,837;0,008;0,004;OUT
116;3,871;0,008;0,004;OUT
117;3,904;0,008;0,004;OUT
118;3,937;0,008;0,004;OUT
119;3,971;0,008;0,003;OUT
120;4,004;0,008;0,003;OUT
121;4,037;0,008;0,003;OUT
122;4,071;0,007;0,003;OUT
123;4,104;0,007;0,003;OUT
124;4,137;0,003;0,001;OUT
125;4,171;0,001;0;OUT
126;4,204;0,001;0;A
127;4,238;-0,001;0,001;A
128;4,271;-0,001;0,001;A
129;4,304;0;0,001;A
130;4,338;0;0,001;A
131;4,371;0;0,001;A
132;4,404;0;0,001;A
133;4,438;0;0,001;A
134;4,471;0;0,001;A
135;4,505;0;0,001;A
136;4,538;0;0,001;A
137;4,571;0;0,001;A
138;4,605;0;0,001;A
139;4,638;0,001;0,001;A
140;4,671;0,001;0,001;A
141;4,705;0,001;0,001;A
142;4,738;0,001;0,001;A
143;4,771;0,001;0;A
144;4,805;0,001;0;A
145;4,838;0,001;0;A
146;4,872;0,001;0;A
147;4,905;0,001;0;A
148;4,938;0,001;0;A
149;4,972;0,001;0;A
150;5,005;0,001;0;A
151;5,038;-0,001;0;A
152;5,072;-0,001;0,001;A
153;5,105;-0,001;0,001;A
154;5,138;-0,001;0,001;A
155;5,172;-0,001;0,001;A
156;5,205;-0,002;0,001;A
157;5,239;-0,002;0,001;A
158;5,272;-0,002;0,001;A
159;5,305;-0,002;0,001;A
160;5,339;-0,002;0,001;A
161;5,372;-0,002;0,001;A
162;5,405;-0,002;0,001;A
163;5,439;-0,002;0,001;A
164;5,472;-0,002;0,001;A
165;5,506;-0,002;0,001;A
166;5,539;-0,002;0,001;A
167;5,572;-0,001;0,001;A
168;5,606;0;0,001;A
169;5,639;0;0,001;A
170;5,672;0,001;0,001;A
171;5,706;0,001;0,001;A
172;5,739;0;-0,001;A
173;5,772;0,007;0,002;OUT
174;5,806;0,008;0,003;OUT
175;5,839;0,008;0,003;OUT
176;5,873;0,008;0,003;OUT
177;5,906;0,009;0,004;OUT
178;5,939;0,009;0,004;OUT
179;5,973;0,009;0,004;OUT
180;6,006;0,009;0,004;OUT
181;6,039;0,009;0,004;OUT
182;6,073;0,009;0,004;OUT
183;6,106;0,009;0,004;OUT
184;6,139;0,009;0,004;OUT
185;6,173;0,009;0,004;OUT
186;6,206;0,009;0,004;OUT
187;6,24;0,009;0,004;OUT
188;6,273;0,009;0,004;OUT
189;6,306;0,009;0,004;OUT
190;6,34;0,009;0,004;OUT
191;6,373;0,009;0,004;OUT
192;6,406;0,009;0,004;OUT
193;6,44;0,009;0,004;OUT
194;6,473;0,009;0,004;OUT
195;6,507;0,009;0,004;OUT
196;6,54;0,009;0,004;OUT
197;6,573;0,009;0,004;OUT
198;6,607;0,009;0,004;OUT
199;6,64;0,004;0,002;OUT
200;6,673;0,003;0,002;OUT
201;6,707;0,001;0,002;OUT
202;6,74;0;0,001;OUT
203;6,773;0;0,001;OUT
204;6,807;0,001;0,001;OUT
205;6,84;0,001;0,001;A
206;6,874;0,001;0,001;A
207;6,907;0,001;0,001;A
208;6,94;0,001;0,001;A
209;6,974;0,001;0,001;A
210;7,007;0,001;0,001;A
211;7,04;0,001;0,001;A
212;7,074;0,001;0,001;A
213;7,107;0,001;0,001;A
214;7,14;0,001;0,001;A
215;7,174;0,001;0,001;A
216;7,207;0,001;0,002;A
217;7,241;0,001;0,002;A
218;7,274;0,001;0,002;A
219;7,307;0,001;0,002;A
220;7,341;0,001;0,002;A
221;7,374;0,001;0,002;A
222;7,407;0,001;0,002;A
223;7,441;0,001;0,002;A
224;7,474;0,001;0,002;A
225;7,508;0,001;0,002;A
226;7,541;0,001;0,002;A
227;7,574;0,001;0,002;A
228;7,608;0,001;0,002;A
229;7,641;-0,001;0,002;A
230;7,674;-0,001;0,002;A
231;7,708;-0,001;0,002;A
232;7,741;-0,001;0,002;A
233;7,774;-0,001;0,002;A
234;7,808;-0,001;0,002;A
235;7,841;-0,001;0,002;A
236;7,875;-0,001;0,002;A
237;7,908;-0,001;0,002;A
238;7,941;-0,001;0,002;A
239;7,975;-0,001;0,002;A
240;8,008;-0,001;0,002;A
241;8,041;-0,001;0,002;A
242;8,075;-0,001;0,002;A
243;8,108;-0,001;0,002;A
244;8,141;-0,001;0,002;A
245;8,175;0;0,002;A
246;8,208;0;0,002;A
247;8,242;0;0,002;A
