frame;t;x;y;Feeder
26;0,868;0,004;0,002;C
27;0,901;0,004;0,002;C
28;0,934;0,004;0,002;C
29;0,968;0,004;0,002;C
30;1,001;0,004;0,002;C
31;1,034;0,004;0,002;C
32;1,068;0,004;0,002;C
33;1,101;0,004;0,002;C
34;1,134;0,004;0,002;C
35;1,168;0,004;0,002;C
36;1,201;0,004;0,002;C
37;1,235;0,004;0,002;C
38;1,268;0,004;0,002;C
39;1,301;0,004;0,002;C
40;1,335;0,004;0,002;C
41;1,368;0,004;0,002;C
42;1,401;0,004;0,002;C
43;1,435;0,004;0,002;C
44;1,468;0,004;0,002;C
45;1,502;0,004;0,002;C
46;1,535;0,004;0,002;C
47;1,568;0,004;0,002;C
48;1,602;0,004;0,002;C
49;1,635;0,004;0,002;C
50;1,668;0,004;0,002;C
51;1,702;0,004;0,002;C
52;1,735;0,004;0,002;C
53;1,768;0,004;0,002;C
54;1,802;0,009;0,001;OUT
55;1,835;0,01;0,002;OUT
56;1,869;0,01;0,002;OUT
57;1,902;0,012;0,004;OUT
58;1,935;0,013;0,005;OUT
59;1,969;0,013;0,005;OUT
60;2,002;0,013;0,005;OUT
61;2,035;0,013;0,006;OUT
62;2,069;0,013;0,006;OUT
63;2,102;0,014;0,006;OUT
64;2,135;0,014;0,006;OUT
65;2,169;0,013;0,006;OUT
66;2,202;0,013;0,006;OUT
67;2,236;0,01;0,004;OUT
68;2,269;0,008;0,002;OUT
69;2,302;0,004;0;C
70;2,336;0,004;0,001;C
71;2,369;0,004;0,001;C
72;2,402;0,004;0,001;C
73;2,436;0,004;0,001;C
74;2,469;0,004;0,001;C
75;2,503;0,004;0,001;C
76;2,536;0,004;0,001;C
77;2,569;0,004;0,001;C
78;2,603;0,004;0,001;C
79;2,636;0,004;0,001;C
80;2,669;0,004;0,001;C
81;2,703;0,004;0,001;C
82;2,736;0,004;0,001;C
83;2,769;0,003;0,001;C
84;2,803;0,003;0,001;C
85;2,836;0,003;0,001;C
86;2,87;0,003;0,001;C
87;2,903;0,003;0,001;C
88;2,936;0,003;0,001;C
89;2,97;0,003;0,001;C
90;3,003;0,003;0,001;C
91;3,036;0,003;0,001;C
92;3,07;0,003;0,001;C
93;3,103;0,003;0,001;C
94;3,136;0,003;0,001;C
95;3,17;0,003;0,001;C
96;3,203;0,003;0,001;C
97;3,237;0,003;0,001;C
98;3,27;0,003;0,001;C
99;3,303;0,003;0,001;C
100;3,337;0,003;0,001;C
101;3,37;0,003;0,001;C
102;3,403;0,003;0,001;C
103;3,437;0,003;0,001;C
104;3,47;0,003;0,001;C
105;3,504;0,003;0,001;C
106;3,537;0,003;0,001;C
107;3,57;0,003;0,001;C
108;3,604;0,003;0,001;C
109;3,637;0,003;0,001;C
110;3,67;0,003;0,001;C
111;3,704;0,003;0,001;C
112;3,737;0,003;0,001;C
113;3,77;0,003;0,001;C
114;3,804;0,003;0,001;C
115;3,837;0,003;0,001;C
116;3,871;0,003;0,001;C
117;3,904;0,003;0,001;C
118;3,937;0,003;0,001;C
119;3,971;0,003;0,001;C
120;4,004;0,003;0,001;C
121;4,037;0,003;0,001;C
122;4,071;0,003;0,001;C
123;4,104;0,003;0,001;C
124;4,137;0,008;0,002;OUT
125;4,171;0,01;0,003;OUT
126;4,204;0,012;0,004;OUT
127;4,238;0,012;0,004;OUT
128;4,271;0,012;0,004;OUT
129;4,304;0,014;0,006;OUT
130;4,338;0,014;0,006;OUT
131;4,371;0,014;0,006;OUT
132;4,404;0,014;0,006;OUT
133;4,438;0,014;0,006;OUT
134;4,471;0,014;0,006;OUT
135;4,505;0,014;0,006;OUT
136;4,538;0,014;0,006;OUT
137;4,571;0,014;0,006;OUT
138;4,605;0,014;0,006;OUT
139;4,638;0,014;0,006;OUT
140;4,671;0,014;0,006;OUT
141;4,705;0,013;0,005;OUT
142;4,738;0,01;0,004;OUT
143;4,771;0,008;0,003;OUT
144;4,805;0,006;0,001;OUT
145;4,838;0,001;0,001;C
146;4,872;0,001;0,001;C
147;4,905;0,001;0,001;C
148;4,938;0,001;0,001;C
149;4,972;0,001;0,001;C
150;5,005;0,001;0,001;C
151;5,038;0,001;0,001;C
152;5,072;0,001;0,001;C
153;5,105;0,001;0,001;C
154;5,138;0,001;0,001;C
155;5,172;0,001;0,001;C
156;5,205;0,001;0,001;C
157;5,239;0,001;0,001;C
158;5,272;0,001;0,001;C
159;5,305;0,001;0,001;C
160;5,339;0,001;0,001;C
161;5,372;0,001;0,001;C
162;5,405;0,001;0,001;C
163;5,439;0,001;0,001;C
164;5,472;0,001;0,001;C
165;5,506;0,002;0,001;C
166;5,539;0,002;0,001;C
167;5,572;0,002;0,001;C
168;5,606;0,002;0,001;C
169;5,639;0,002;0,001;C
170;5,672;0,002;0,001;C
171;5,706;0,002;0,001;C
172;5,739;0,002;0,001;C
173;5,772;0,002;0,001;C
174;5,806;0,002;0,001;C
175;5,839;0,002;0,001;C
176;5,873;0,002;0,001;C
177;5,906;0,002;0,001;C
178;5,939;0,002;0,001;C
179;5,973;0,002;0,001;C
180;6,006;0,002;0,001;C
181;6,039;0,002;0,001;C
182;6,073;0,002;0,001;C
183;6,106;0,002;0,001;C
184;6,139;0,002;0,001;C
185;6,173;0,004;0,002;C
186;6,206;0,006;0,003;OUT
187;6,24;0,007;0,004;OUT
188;6,273;0,008;0,004;OUT
189;6,306;0,008;0,004;OUT
190;6,34;0,011;0,006;OUT
191;6,373;0,013;0,007;OUT
192;6,406;0,013;0,007;OUT
193;6,44;0,013;0,007;OUT
194;6,473;0,013;0,007;OUT
195;6,507;0,013;0,007;OUT
196;6,54;0,013;0,007;OUT
197;6,573;0,013;0,006;OUT
198;6,607;0,012;0,006;OUT
199;6,64;0,012;0,006;OUT
200;6,673;0,012;0,006;OUT
201;6,707;0,012;0,006;OUT
202;6,74;0,013;0,006;OUT
203;6,773;0,013;0,006;OUT
204;6,807;0,013;0,006;OUT
205;6,84;0,013;0,006;OUT
206;6,874;0,013;0,006;OUT
207;6,907;0,01;0,004;OUT
208;6,94;0,008;0,003;OUT
209;6,974;0,003;0;OUT
210;7,007;0,002;0,001;OUT
211;7,04;0,001;0;C
212;7,074;0,001;0;C
213;7,107;0,001;0;C
214;7,14;0,001;0;C
215;7,174;0,001;0;C
216;7,207;0,001;0;C
217;7,241;0,001;0;C
218;7,274;0,001;0;C
219;7,307;0,001;0;C
220;7,341;0,001;0;C
221;7,374;0,001;0;C
222;7,407;0,001;0;C
223;7,441;0,001;0;C
224;7,474;0,001;0;C
225;7,508;0,001;0;C
226;7,541;0,001;0;C
227;7,574;0,001;0;C
228;7,608;0,001;0;C
229;7,641;0,001;0;C
230;7,674;0,001;0;C
231;7,708;0,001;0;C
232;7,741;0,001;0;C
233;7,774;0,001;0;C
234;7,808;0,001;0;C
235;7,841;0,001;0;C
236;7,875;0,001;0;C
237;7,908;0,001;0;C
238;7,941;0,001;0;C
239;7,975;0,001;0;C
240;8,008;0,001;0;C
241;8,041;0,001;0;C
242;8,075;0,001;0;C
243;8,108;0,001;0;C
244;8,141;0,001;0;C
245;8,175;0,001;0;C
246;8,208;0,001;0;C
247;8,242;0,001;0;C
248;8,275;0,001;0;C
249;8,308;0,001;0;C
250;8,342;0,001;0;C
251;8,375;0,001;0;C
252;8,408;0,001;0;C
253;8,442;0,001;0;C
254;8,475;0,001;0;C
255;8,509;0,001;0;C
256;8,542;0,001;0;C
257;8,575;0,001;0;C
258;8,609;0,001;0;C
259;8,642;0,001;0;C
260;8,675;0,001;0;C
261;8,709;0,001;0;C
262;8,742;0,001;0;C
263;8,775;0,001;0;C
264;8,809;0,001;0;C
265;8,842;0,001;0;C
266;8,876;0,001;0;C
267;8,909;0,001;0;C
268;8,942;0,001;0;C
269;8,976;0,001;0;C
270;9,009;0,001;0;C
271;9,042;0,001;0;C
272;9,076;0,001;0;C
273;9,109;0,001;0;C
274;9,142;0,001;0;C
275;9,176;0,001;0;C
276;9,209;0,001;0;C
277;9,243;0,002;0;C
278;9,276;0,003;0,001;C
279;9,309;0,003;0,001;C
280;9,343;0,004;0,001;C
281;9,376;0,004;0,002;C
282;9,409;0,004;0,002;C
283;9,443;0,004;0,002;C
284;9,476;0,004;0,002;C
285;9,51;0,004;0,002;C
286;9,543;0,004;0,001;C
287;9,576;0,004;0,001;C
288;9,61;0,004;0,001;C
289;9,643;0,004;0,001;C
290;9,676;0,004;0,001;C
291;9,71;0,004;0,001;C
292;9,743;0,004;0,001;C
293;9,776;0,004;0,001;C
294;9,81;0,004;0,001;C
295;9,843;0,004;0,001;C
296;9,877;0,004;0,001;C
297;9,91;0,004;0,001;C
298;9,943;0,004;0,001;C
299;9,977;0,004;0,001;C
300;10,01;0,004;0,001;C
301;10,043;0,004;0,001;C
302;10,077;0,004;0,001;C
303;10,11;0,004;0,001;C
304;10,143;0,003;0,001;C
305;10,177;0,003;0,002;C
306;10,21;0,003;0,002;C
307;10,244;0,003;0,002;C
308;10,277;0,003;0,002;C
309;10,31;0,003;0,002;C
310;10,344;0,003;0,002;C
311;10,377;0,003;0,002;C
312;10,41;0,003;0,002;C
313;10,444;0,003;0,002;C
314;10,477;0,003;0,002;C
315;10,511;0,003;0,002;C
316;10,544;0,003;0,002;C
317;10,577;0,003;0,002;C
318;10,611;0,003;0,002;C
319;10,644;0,003;0,002;C
320;10,677;0,003;0,002;C
