frame;t;x;y;Feeder
91;3,036;0,003;0,004;A
92;3,07;0,004;0,003;A
93;3,103;0,004;0,003;A
94;3,136;0,004;0,003;A
95;3,17;0,004;0,003;A
96;3,203;0,004;0,003;A
97;3,237;0,004;0,003;A
98;3,27;0,004;0,003;A
99;3,303;0,004;0,003;A
100;3,337;0,003;0,002;A
101;3,37;0,003;0,002;A
102;3,403;0,003;0,002;A
103;3,437;0,003;0,002;A
104;3,47;0,003;0,002;A
105;3,504;0,003;0,002;A
106;3,537;0,003;0,002;A
107;3,57;0,003;0,002;A
108;3,604;0,003;0,002;A
109;3,637;0,003;0,002;A
110;3,67;0,003;0,002;A
111;3,704;0,003;0,002;A
112;3,737;0,003;0,002;A
113;3,77;0,003;0,002;A
114;3,804;0,003;0,002;A
115;3,837;0,003;0,002;A
116;3,871;0,003;0,002;A
117;3,904;0,003;0,002;A
118;3,937;0,003;0,002;A
119;3,971;0,003;0,002;A
120;4,004;0,002;0,001;A
121;4,037;0,002;0,001;A
122;4,071;0,002;0,001;A
123;4,104;0,002;0,001;A
124;4,137;0,002;0,001;A
125;4,171;0,002;0,001;A
126;4,204;0,002;0,001;A
127;4,238;0,002;0,001;A
128;4,271;0,002;0,001;A
129;4,304;0,002;0,001;A
130;4,338;0,002;0,001;A
131;4,371;0,002;0,001;A
132;4,404;0,002;0,001;A
133;4,438;0,002;0,001;A
134;4,471;0,002;0,001;A
135;4,505;0,002;0,001;A
136;4,538;0,002;0,002;A
137;4,571;0,002;0,002;A
138;4,605;0,002;0,002;A
139;4,638;0,002;0,002;A
140;4,671;0,002;0,002;A
141;4,705;0,002;0,002;A
142;4,738;0,001;0,001;A
143;4,771;0,001;0,001;A
144;4,805;0,001;0,001;A
145;4,838;0,001;0,001;A
146;4,872;0,001;0,001;A
147;4,905;0,001;0,001;A
148;4,938;0,001;0,001;A
149;4,972;0,002;0,001;A
150;5,005;0,002;0,001;A
151;5,038;0,002;0,001;A
152;5,072;0,002;0,001;A
153;5,105;0,002;0,001;A
154;5,138;0,002;0,001;A
155;5,172;0,002;0,001;A
156;5,205;0,002;0,001;A
157;5,239;0,002;0,001;A
158;5,272;0,002;0,001;A
159;5,305;0,002;0,001;A
160;5,339;0,002;0,001;A
161;5,372;0,002;0,001;A
162;5,405;0,002;0,001;A
163;5,439;0,002;0,001;A
