frame;t;x;y;Feeder
0;0;0;0,002;A
1;0,033;0;0,002;A
2;0,067;0;0,002;A
3;0,1;0;0,002;A
4;0,133;0;0,002;A
5;0,167;0;0,002;A
6;0,2;0;0,002;A
7;0,234;0;0,002;A
8;0,267;0;0,001;A
9;0,3;0;0,001;A
10;0,334;0;0,001;A
11;0,367;0;0,001;A
12;0,4;0;0,001;A
13;0,434;0;0,001;A
14;0,467;0;0,001;A
15;0,501;0;0,001;A
16;0,534;0;0,001;A
17;0,567;0;0,001;A
18;0,601;0;0,001;A
19;0,634;0;0,001;A
20;0,667;0;0,001;A
21;0,701;0;0,001;A
22;0,734;0;0,001;A
23;0,767;0;0,001;A
24;0,801;0;0,001;A
25;0,834;0;0,001;A
26;0,868;0;0,001;A
27;0,901;0;0,001;A
28;0,934;0;0,001;A
29;0,968;0;0,001;A
30;1,001;0;0,001;A
31;1,034;-0,004;0,004;OUT
32;1,068;-0,004;0,004;OUT
33;1,101;-0,004;0,004;OUT
34;1,134;-0,005;0,006;OUT
35;1,168;-0,005;0,005;OUT
36;1,201;-0,005;0,005;OUT
37;1,235;-0,005;0,005;OUT
38;1,268;-0,005;0,005;OUT
39;1,301;-0,005;0,005;OUT
40;1,335;-0,005;0,005;OUT
41;1,368;-0,005;0,005;OUT
42;1,401;-0,005;0,005;OUT
43;1,435;-0,005;0,005;OUT
44;1,468;-0,005;0,005;OUT
45;1,502;-0,005;0,005;OUT
46;1,535;-0,005;0,005;OUT
47;1,568;-0,005;0,005;OUT
48;1,602;-0,005;0,005;OUT
49;1,635;-0,005;0,005;OUT
50;1,668;-0,005;0,005;OUT
51;1,702;-0,005;0,005;OUT
52;1,735;-0,005;0,005;OUT
53;1,768;-0,005;0,005;OUT
54;1,802;0;0,004;OUT
55;1,835;0,001;0,001;OUT
56;1,869;0,001;0,001;A
57;1,902;0,001;0,001;A
58;1,935;0,001;0,001;A
59;1,969;0,001;0,001;A
60;2,002;0,001;0,001;A
61;2,035;0;0,001;A
62;2,069;0;0,002;A
63;2,102;0;0,002;A
64;2,135;0;0,002;A
65;2,169;0;0,002;A
66;2,202;0;0,002;A
67;2,236;0;0,001;A
68;2,269;0;0,001;A
69;2,302;0;0,001;A
70;2,336;0;0,001;A
71;2,369;0;0,001;A
72;2,402;0;0,001;A
73;2,436;0;0,001;A
74;2,469;0;0,001;A
75;2,503;0;0,001;A
76;2,536;0;0,001;A
77;2,569;0;0,001;A
78;2,603;0;0,001;A
79;2,636;0;0,001;A
80;2,669;0;0,001;A
81;2,703;0;0,001;A
82;2,736;0;0,001;A
83;2,769;0;0,001;A
84;2,803;0;0,001;A
85;2,836;0;0,001;A
86;2,87;0;0,001;A
87;2,903;0;0,001;A
88;2,936;0;0,001;A
89;2,97;-0,002;0,005;OUT
90;3,003;-0,004;0,005;OUT
91;3,036;-0,004;0,005;OUT
92;3,07;-0,004;0,005;OUT
93;3,103;-0,006;0,006;OUT
94;3,136;-0,006;0,006;OUT
95;3,17;-0,006;0,006;OUT
96;3,203;-0,006;0,006;OUT
97;3,237;-0,006;0,006;OUT
98;3,27;-0,006;0,006;OUT
99;3,303;-0,006;0,006;OUT
100;3,337;-0,006;0,006;OUT
101;3,37;-0,006;0,006;OUT
102;3,403;-0,006;0,006;OUT
103;3,437;-0,006;0,006;OUT
104;3,47;-0,006;0,006;OUT
105;3,504;-0,006;0,006;OUT
106;3,537;-0,006;0,006;OUT
107;3,57;-0,003;0,005;OUT
108;3,604;-0,001;0,003;OUT
109;3,637;0,001;0,001;OUT
110;3,67;0,001;0,002;OUT
111;3,704;0,001;0,002;A
112;3,737;0,001;0,002;A
113;3,77;0,001;0,002;A
114;3,804;0,001;0,002;A
115;3,837;0;0,001;A
116;3,871;0;0,001;A
117;3,904;0;0,001;A
118;3,937;0;0,001;A
119;3,971;0;0,001;A
120;4,004;0;0;A
121;4,037;0;0;A
122;4,071;0;0,001;A
123;4,104;0;0,001;A
124;4,137;0;0,001;A
125;4,171;0;0,001;A
126;4,204;0;0,001;A
127;4,238;0;0,001;A
128;4,271;0;0,001;A
129;4,304;0;0,001;A
130;4,338;0;0,001;A
131;4,371;0;0,001;A
132;4,404;0;0,001;A
133;4,438;0;0,001;A
134;4,471;0;0,001;A
135;4,505;0;0,001;A
136;4,538;0;0,001;A
137;4,571;0;0,001;A
138;4,605;0;0,001;A
139;4,638;0;0,001;A
140;4,671;0;0,001;A
141;4,705;0;0,001;A
142;4,738;0;0,001;A
143;4,771;0;0,001;A
144;4,805;0;0,001;A
145;4,838;0;0,001;A
146;4,872;0;0,001;A
147;4,905;0;0,001;A
148;4,938;0;0,001;A
149;4,972;0;0,001;A
150;5,005;0;0,001;A
151;5,038;0;0,001;A
152;5,072;0;0,001;A
153;5,105;0;0,001;A
154;5,138;0;0,001;A
155;5,172;0;0,001;A
156;5,205;0;0,001;A
157;5,239;0;0,001;A
158;5,272;0;0,001;A
159;5,305;0;0,001;A
160;5,339;-0,001;0,002;OUT
161;5,372;-0,002;0,003;OUT
162;5,405;-0,003;0,003;OUT
163;5,439;-0,005;0,004;OUT
164;5,472;-0,007;0,005;OUT
165;5,506;-0,008;0,006;OUT
166;5,539;-0,008;0,006;OUT
167;5,572;-0,008;0,006;OUT
168;5,606;-0,008;0,007;OUT
169;5,639;-0,008;0,007;OUT
170;5,672;-0,008;0,007;OUT
171;5,706;-0,008;0,007;OUT
172;5,739;-0,008;0,007;OUT
173;5,772;-0,008;0,007;OUT
174;5,806;-0,008;0,007;OUT
175;5,839;-0,008;0,007;OUT
176;5,873;-0,004;0,004;OUT
177;5,906;-0,003;0,003;OUT
178;5,939;-0,001;0,001;OUT
179;5,973;0;0;A
180;6,006;0;0;A
181;6,039;0;0;A
182;6,073;0;0;A
183;6,106;0;0;A
184;6,139;0;0;A
185;6,173;0;0;A
186;6,206;0;0;A
187;6,24;0;0;A
188;6,273;-0,001;0,001;A
189;6,306;-0,001;0,001;A
190;6,34;-0,001;0,001;A
191;6,373;-0,001;0,001;A
192;6,406;-0,001;0,001;A
193;6,44;-0,001;0,001;A
194;6,473;-0,001;0,001;A
195;6,507;-0,001;0,001;A
196;6,54;-0,001;0,001;A
197;6,573;-0,001;0,001;A
198;6,607;-0,001;0,001;A
199;6,64;-0,001;0,001;A
200;6,673;-0,001;0,001;A
201;6,707;-0,001;0,001;A
202;6,74;-0,001;0,001;A
203;6,773;-0,001;0,001;A
204;6,807;-0,001;0,001;A
205;6,84;-0,001;0,001;A
206;6,874;-0,001;0,001;A
207;6,907;-0,001;0,001;A
208;6,94;-0,001;0,001;A
209;6,974;-0,001;0,001;A
210;7,007;-0,001;0,001;A
211;7,04;-0,001;0,001;A
212;7,074;-0,001;0,001;A
213;7,107;0;0;A
214;7,14;0;0;A
215;7,174;0;0;A
216;7,207;0;0;A
217;7,241;0;0;A
218;7,274;0;0;A
219;7,307;0;0;A
220;7,341;0;0;A
221;7,374;0;0;A
222;7,407;0;0;A
223;7,441;-0,004;0,003;OUT
224;7,474;-0,006;0,005;OUT
225;7,508;-0,006;0,005;OUT
226;7,541;-0,008;0,007;OUT
227;7,574;-0,008;0,007;OUT
228;7,608;-0,008;0,007;OUT
229;7,641;-0,008;0,007;OUT
230;7,674;-0,008;0,007;OUT
231;7,708;-0,008;0,007;OUT
232;7,741;-0,008;0,007;OUT
233;7,774;-0,008;0,007;OUT
234;7,808;-0,008;0,007;OUT
235;7,841;-0,008;0,007;OUT
236;7,875;-0,008;0,007;OUT
237;7,908;-0,008;0,007;OUT
238;7,941;-0,007;0,006;OUT
239;7,975;-0,006;0,006;OUT
240;8,008;-0,006;0,006;OUT
241;8,041;-0,006;0,006;OUT
242;8,075;-0,005;0,005;OUT
243;8,108;-0,005;0,005;OUT
244;8,141;-0,005;0,005;OUT
245;8,175;-0,005;0,005;OUT
246;8,208;-0,005;0,005;OUT
247;8,242;-0,002;0,004;OUT
248;8,275;-0,001;0,002;OUT
249;8,308;0;0,002;OUT
250;8,342;0;0,001;A
251;8,375;0;0,001;A
252;8,408;0;0,001;A
253;8,442;0;0,001;A
254;8,475;0;0,001;A
255;8,509;-0,001;0,001;A
256;8,542;-0,001;0,001;A
257;8,575;-0,001;0,001;A
258;8,609;-0,001;0,001;A
259;8,642;-0,001;0,001;A
260;8,675;-0,001;0,001;A
261;8,709;-0,001;0,001;A
262;8,742;-0,001;0,001;A
263;8,775;-0,001;0,001;A
264;8,809;-0,001;0,001;A
265;8,842;0;0,001;A
266;8,876;0;0,001;A
267;8,909;0;0,001;A
268;8,942;0;0,001;A
269;8,976;0;0,001;A
270;9,009;0;0,001;A
271;9,042;0;0,001;A
272;9,076;0;0,001;A
273;9,109;0;0,001;A
274;9,142;0;0,001;A
275;9,176;0;0,001;A
276;9,209;0;0,001;A
277;9,243;0;0,001;A
278;9,276;0;0,001;A
279;9,309;0;0,001;A
280;9,343;0;0,001;A
281;9,376;0;0,001;A
282;9,409;0;0,001;A
283;9,443;0;0,001;A
284;9,476;0;0,001;A
285;9,51;0;0,001;A
286;9,543;-0,005;0,004;OUT
287;9,576;-0,005;0,004;OUT
288;9,61;-0,006;0,005;OUT
289;9,643;-0,006;0,005;OUT
290;9,676;-0,006;0,005;OUT
291;9,71;-0,008;0,005;OUT
292;9,743;-0,008;0,006;OUT
293;9,776;-0,008;0,006;OUT
294;9,81;-0,008;0,006;OUT
295;9,843;-0,008;0,006;OUT
296;9,877;-0,008;0,006;OUT
297;9,91;-0,008;0,006;OUT
298;9,943;-0,008;0,006;OUT
299;9,977;-0,008;0,006;OUT
300;10,01;-0,008;0,006;OUT
301;10,043;-0,008;0,006;OUT
302;10,077;-0,008;0,006;OUT
303;10,11;-0,001;0,005;OUT
304;10,143;0;0,002;OUT
305;10,177;0;0,001;OUT
306;10,21;0;0;OUT
307;10,244;0;0,002;OUT
308;10,277;0;0,002;A
309;10,31;-0,001;0,001;A
310;10,344;-0,001;0,001;A
311;10,377;-0,001;0,001;A
312;10,41;-0,001;0,001;A
313;10,444;-0,001;0,001;A
314;10,477;-0,001;0,001;A
315;10,511;-0,001;0,001;A
316;10,544;-0,001;0,001;A
317;10,577;-0,001;0,001;A
318;10,611;-0,001;0,001;A
319;10,644;-0,001;0,001;A
320;10,677;-0,001;0,001;A
321;10,711;-0,001;0,001;A
322;10,744;-0,001;0,001;A
323;10,777;-0,001;0,001;A
324;10,811;-0,001;0,001;A
325;10,844;-0,001;0,001;A
326;10,878;-0,001;0,001;A
327;10,911;-0,001;0,001;A
328;10,944;-0,001;0,001;A
329;10,978;-0,001;0,001;A
330;11,011;-0,001;0,001;A
331;11,044;-0,001;0,001;A
332;11,078;-0,001;0,001;A
333;11,111;-0,001;0,001;A
334;11,144;-0,002;0,002;OUT
335;11,178;-0,005;0,003;OUT
336;11,211;-0,005;0,003;OUT
337;11,245;-0,006;0,006;OUT
338;11,278;-0,006;0,006;OUT
339;11,311;-0,006;0,006;OUT
340;11,345;-0,006;0,006;OUT
341;11,378;-0,007;0,006;OUT
342;11,411;-0,007;0,006;OUT
343;11,445;-0,007;0,006;OUT
344;11,478;-0,007;0,006;OUT
345;11,512;-0,007;0,006;OUT
346;11,545;-0,006;0,005;OUT
347;11,578;-0,006;0,004;OUT
348;11,612;-0,006;0,004;OUT
349;11,645;-0,004;0,004;OUT
350;11,678;-0,003;0,002;OUT
351;11,712;-0,002;0,002;OUT
352;11,745;-0,001;0,001;A
353;11,778;-0,001;0,001;A
354;11,812;-0,001;0,001;A
355;11,845;-0,001;0,001;A
356;11,879;-0,001;0,001;A
357;11,912;-0,001;0,001;A
358;11,945;-0,001;0,001;A
