Video.cut;abs_nflo;nflo_chang;nouts;nins;mean_durins;tot_durins;mean_durouts;tot_durouts;tot_durfor;mov_totdist;mov_spead;mov_feroc;treat;Configuration;Color.code;ID..;stan_nflo;stan_nflochang;stan_nouts;stan_nins;stand_totdist
vlc-record-2015-06-14-02h10m47s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.csv;1;0;0;1;7.722;7.722;0;0;7.722;15.83303847;0.008799916;3.796913615;Ctr;Ctrl1;WGR;364;0.12950013;0;0;0.12950013;15.83303847
vlc-record-2015-06-14-02h12m21s-Pers.Ctrl.SUR.2015.6.13.8.32.MOV-.csv;3;2;2;3;1.98;5.94;0.66;1.32;7.26;44.04075744;0.027699635;3.063217069;Ctr;Ctrl1;G;292;0.41322314;0.275482094;0.275482094;0.41322314;4.893417493
vlc-record-2015-06-14-02h33m30s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;2;3;1.661;4.983;0.693;1.386;6.369;34.06667853;0.027858473;2.239364757;Ctr;Ctrl1;WGR;364;0.15701052;0;0.314021039;0.471031559;11.35555951
vlc-record-2015-06-14-02h35m04s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;0;1;5.478;5.478;0;0;5.478;15.85891026;0.017545565;1.814085996;Ctr;Ctrl1;Y;301;0.182548375;0;0;0.182548375;15.85891026
vlc-record-2015-06-14-02h36m53s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;0;1;3.432;3.432;0;0;3.432;1.621358854;0.00458664;5.668363407;Ctr;Ctrl1;G;292;0.291375291;0;0;0.291375291;1.621358854
vlc-record-2015-06-14-02h40m00s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;6;7;1.301142857;9.108;2.244;13.464;22.572;183.9009609;0.011928704;2.834646765;Ctr;Ctrl1;R;356;0.044302676;0;0.265816055;0.310118731;26.27156584
vlc-record-2015-06-14-03h15m33s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;0;1;9.933;9.933;0;0;9.933;2.542397662;0.000853182;8.178707497;Ctr;Ctrl1;P;353;0.100674519;0;0;0.100674519;2.542397662
vlc-record-2015-06-14-03h22m16s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;4;5;2.5278;12.639;2.31;9.24;21.879;115.1366681;0.007949287;3.228329632;Ctr;Ctrl1;RPR;367;0.045705928;0;0.182823712;0.22852964;23.02733363
vlc-record-2015-06-14-03h24m54s-Pers.Ctrl.SUR.2015.6.13.8.58.MOV-.csv;1;0;1;2;3.1185;6.237;1.221;1.221;7.458;573.6182336;0.341836199;3.180835584;Ctr;Ctrl1;Y;301;0.134084205;0;0.134084205;0.26816841;286.8091168
vlc-record-2015-06-14-22h04m08s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;1;0;1;2;2.211;4.422;1.221;1.221;5.643;19.06845179;0.019877257;4.438783821;Ctr;Ctrl1;G;292;0.177210704;0;0.177210704;0.354421407;9.534225894
vlc-record-2015-06-14-22h10m23s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;1;0;1;2;4.4055;8.811;0.858;0.858;9.669;43.8996773;0.015548801;2.991036653;Ctr;Ctrl1;WGR;364;0.103423312;0;0.103423312;0.206846623;21.94983865
vlc-record-2015-06-14-22h22m16s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;2;1;2;3;1.078;3.234;3.4485;6.897;10.131;111.9757151;0.036120196;2.164632678;Ctr;Ctrl1;R;356;0.197413878;0.098706939;0.197413878;0.296120817;18.66261918
vlc-record-2015-06-14-22h24m28s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;2;2;2;3;2.123;6.369;1.2045;2.409;8.778;74.04397437;0.031830853;2.388033247;Ctr;Ctrl1;Y;301;0.227842333;0.227842333;0.227842333;0.3417635;8.227108264
vlc-record-2015-06-14-22h35m39s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;1;0;3;4;1.2045;4.818;2.134;6.402;11.22;104.3577833;0.027436726;4.140501914;Ctr;Ctrl1;P;353;0.08912656;0;0.267379679;0.356506239;26.08944584
vlc-record-2015-06-14-22h37m18s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;2;1;4;5;1.5906;7.953;0.88275;3.531;11.484;70.15114448;0.01760403;2.799751097;Ctr;Ctrl1;G;292;0.174155347;0.087077673;0.348310693;0.435388366;7.015114448
vlc-record-2015-06-14-22h39m32s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.csv;3;3;7;8;1.472625;11.781;1.904571429;13.332;25.113;251.9178669;0.013199175;2.690622747;Ctr;Ctrl1;RPR;367;0.119460041;0.119460041;0.278740095;0.318560108;7.872433341
vlc-record-2015-06-14-22h58m35s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;2;1;8;9;0.352;3.168;3.188625;25.509;28.677;506.9325036;0.020365576;2.124662313;Exp;Exp1;WGR;364;0.069742302;0.034871151;0.278969209;0.31384036;28.16291687
vlc-record-2015-06-15-23h39m50s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;2;1;2;3;3.993;11.979;2.31;4.62;16.599;117.5263014;0.014104231;3.503052107;Exp;Exp1;WGR;364;0.120489186;0.060244593;0.120489186;0.180733779;19.58771689
vlc-record-2015-06-15-23h47m17s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;1;0;1;2;2.0625;4.125;0.891;0.891;5.016;24.32868038;0.032120632;2.857920984;Exp;Exp1;Y;301;0.199362041;0;0.199362041;0.398724083;12.16434019
vlc-record-2015-06-15-23h49m49s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;2;1;3;4;0.28875;1.155;1.408;4.224;5.379;104.6147747;0.120053953;1.545188809;Exp;Exp1;R;356;0.371816323;0.185908161;0.557724484;0.743632645;13.07684684
vlc-record-2015-06-15-23h52m05s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;1;0;1;2;5.0325;10.065;0.363;0.363;10.428;10.10882795;0.003077437;4.259326448;Exp;Exp1;P;353;0.095895666;0;0.095895666;0.191791331;5.054413977
vlc-record-2015-06-15-23h55m33s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;1;0;0;1;16.038;16.038;0;0;16.038;13.96836503;0.001795782;5.324296051;Exp;Exp1;RPR;367;0.062351914;0;0;0.062351914;13.96836503
vlc-record-2015-06-15-23h57m56s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.csv;2;1;3;4;1.79025;7.161;2.343;7.029;14.19;123.692793;0.020319111;2.836289126;Exp;Exp1;R;356;0.140944327;0.070472163;0.21141649;0.281888654;15.46159912
vlc-record-2015-06-16-17h30m16s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;2;1;3;4;1.452;5.808;1.782;5.346;11.154;88.77835261;0.023618186;2.898459003;Ctr;Ctrl2;P;353;0.179307872;0.089653936;0.268961807;0.358615743;11.09729408
vlc-record-2015-06-16-17h32m56s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;1;0;3;4;2.58225;10.329;2.255;6.765;17.094;86.43384197;0.009780241;3.197049593;Ctr;Ctrl2;RPR;367;0.058500059;0;0.175500176;0.234000234;21.60846049
vlc-record-2015-06-16-17h35m32s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;1;0;2;3;3.344;10.032;2.31;4.62;14.652;120.1505704;0.018510801;2.493942744;Ctr;Ctrl2;WGR;364;0.068250068;0;0.136500137;0.204750205;40.05019012
vlc-record-2015-06-16-17h37m23s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;2;1;2;3;2.53;7.59;0.66;1.32;8.91;52.28565125;0.021814865;4.99962383;Ctr;Ctrl2;G;292;0.224466891;0.112233446;0.224466891;0.336700337;8.714275209
vlc-record-2015-06-16-18h02m23s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;2;1;4;5;2.8446;14.223;1.92225;7.689;21.912;202.3454108;0.01392829;5.967535565;Ctr;Ctrl2;WGR;364;0.091274188;0.045637094;0.182548375;0.228185469;20.23454108
vlc-record-2015-06-16-18h04m59s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;1;0;2;3;1.958;5.874;1.122;2.244;8.118;41.40701901;0.020818951;2.334239475;Ctr;Ctrl2;P;353;0.12318305;0;0.2463661;0.36954915;13.80233967
vlc-record-2015-06-16-18h20m14s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.csv;1;0;2;3;5.643;16.929;1.056;2.112;19.041;32.1490371;0.002931269;2.784206491;Ctr;Ctrl2;RPR;367;0.05251825;0;0.1050365;0.15755475;10.7163457
