time,code,class
2.975,appears,1
3.05,first suspens,2
3.45,feeds_start,3
4.075, feeds_end,3
5.375,feeds_start,3
9.85, feeds_end,3
10.775,feeds_start,3
12.775, feeds_end,3
13.5,feeds_start,3
15.35, feeds_end,3
16.625,feeds_start,3
18.3, feeds_end,3
19.15,feeds_start,3
20, feeds_end,3
20.45,feeds_start,3
22.125, feeds_end,3
22.7,feeds_start,3
25, feeds_end,3
25.675,feeds_start,3
26.85, feeds_end,3
27.625,feeds_start,3
29.1, feeds_end,3
29.825,feeds_start,3
31.45, feeds_end,3
32.025,feeds_start,3
33.875, feeds_end,3
34, disappears,1
34.25,END,0
