time,code,class
4.975,appears,1
5.175,first suspens,2
8.6,feeds_start,3
9.85, feeds_end,3
15.475,feeds_start,3
15.7, feeds_end,3
18.475,feeds_start,3
18.75, feeds_end,3
19.75,feeds_start,3
20.2, feeds_end,3
22.6,feeds_start,3
22.95, feeds_end,3
24.675,feeds_start,3
26, feeds_end,3
28.4,feeds_start,3
29.725, feeds_end,3
32.075,feeds_start,3
33.85, feeds_end,3
37.375,feeds_start,3
39.25, feeds_end,3
41.375,feeds_start,3
43.05, feeds_end,3
45.75,feeds_start,3
47.325, feeds_end,3
49.55,feeds_start,3
50.275, feeds_end,3
52.625,feeds_start,3
54.675, feeds_end,3
58.025,feeds_start,3
58.775, feeds_end,3
60.6,feeds_start,3
62, feeds_end,3
63.152, disappears,1
62.073,END,0
