"ID.year","cog.score","cog.n","ID"
"143 2013",0.476190476190476,21,"143"
"143 2014",0.346153846153846,26,"143"
"143 2015",0.5,6,"143"
"203 2013",0.363636363636364,11,"203"
"203 2014",0.454545454545455,11,"203"
"203 2015",0.461538461538462,13,"203"
"241 2014",0,1,"241"
"241 2015",0.333333333333333,9,"241"
"292 2014",0.606060606060606,66,"292"
"292 2015",0.387096774193548,93,"292"
"301 2014",0.709677419354839,31,"301"
"301 2015",0.609756097560976,123,"301"
"353 2015",0.393939393939394,33,"353"
"356 2015",0.591549295774648,71,"356"
"357 2015",0.611111111111111,36,"357"
"364 2015",0.446808510638298,94,"364"
"-40 2015",0.285714285714286,7,"-40"
