"RecID","Conf","Colcode","NoID","Comm","Latency","ConfSimpl"
"vlc-record-2016-07-01-14h44m25s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi","Ctrl1","P",353,"",0.6,"Ctr"
"vlc-record-2016-07-01-14h45m18s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi","Ctrl1","G",292,"",0.399,"Ctr"
"vlc-record-2016-07-01-14h46m11s-Pers.Ctrl.SUR.2015.6.13.9.33.MOV-.avi","Ctrl1","RPR",367,"",3.625,"Ctr"
"vlc-record-2016-07-01-14h48m46s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","P",353,"",1.025,"Ctr"
"vlc-record-2016-07-01-14h49m42s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","RPR",367,"little hermit at another feeder, but does not seem to interfere",1.4,"Ctr"
"vlc-record-2016-07-01-14h50m40s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","WGR",364,"",2.275,"Ctr"
"vlc-record-2016-07-01-14h51m30s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","G",292,"",0.675,"Ctr"
"vlc-record-2016-07-01-14h52m13s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","WGR",364,"",3,"Ctr"
"vlc-record-2016-07-01-14h53m05s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","P",353,"",1.375,"Ctr"
"vlc-record-2016-07-01-14h53m42s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","RPR",367,"",1.15,"Ctr"
"vlc-record-2016-07-02-09h22m02s-Pers.Ctrl.SUR.2015.6.15.9.30.MOV-.avi","Ctrl2","G",292,"",0.6,"Ctr"
"vlc-record-2016-07-02-09h24m30s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","WGR",364,"chased at the end",11.075,"Exp"
"vlc-record-2016-07-02-09h25m40s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","G",292,"chased during the visit",1.225,"Exp"
"vlc-record-2016-07-02-09h26m26s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","WGR",364,"",7.45,"Exp"
"vlc-record-2016-07-02-09h28m00s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","WGR",364,"",9.25,"Exp"
"vlc-record-2016-07-02-09h29m12s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","Y",301,"",17.825,"Exp"
"vlc-record-2016-07-02-09h30m19s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","R",356,"",2.025,"Exp"
"vlc-record-2016-07-02-09h31m16s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","P",353,"",7.85,"Exp"
"vlc-record-2016-07-02-09h32m15s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","RPR",367,"",31.45,"Exp"
"vlc-record-2016-07-02-09h33m41s-Pers.Exp.SUR.2015.6.13.10.6.MOV-.avi","Exp1","R",356,"",0.65,"Exp"
"vlc-record-2016-07-02-09h36m23s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","Y",301,"",2.109,"Exp"
"vlc-record-2016-07-02-09h37m12s-Pers.Exp.SUR.2015.6.15.9.57.MOV-.avi","Exp2","R",356,"",1.825,"Exp"
