Entry;Idrec_sub;Id_cowlog;Speed;Project;Configuration;Color code;ID #;Comments;Video file name
1;vlc-record-2016-07-01-13h55m51s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry001_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.7.03
2;vlc-record-2016-07-01-13h48m14s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry002_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.7.03
3;vlc-record-2016-07-01-13h49m35s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry003_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.7.03
4;vlc-record-2016-07-01-13h52m06s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry004_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;R;356;;Pers.Ctrl.SUR.2015.6.13.7.03
5;vlc-record-2016-07-01-13h53m27s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry005_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.7.03
6;vlc-record-2016-07-01-13h54m51s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry006_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.7.03
7;vlc-record-2016-07-01-13h56m50s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry007_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;P;353;;Pers.Ctrl.SUR.2015.6.13.7.03
8;vlc-record-2016-07-01-13h57m37s-Pers.Ctrl.SUR.2015.6.13.7.03.MOV-.avi;entry008_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.7.03
9;vlc-record-2016-07-01-13h59m20s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry009_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.7.32
10;vlc-record-2016-07-01-14h00m26s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry010_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.7.32
11;vlc-record-2016-07-01-14h01m17s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry011_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;chased?;Pers.Ctrl.SUR.2015.6.13.7.32
12;vlc-record-2016-07-01-14h01m56s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry012_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;P;353;;Pers.Ctrl.SUR.2015.6.13.7.32
13;vlc-record-2016-07-01-14h03m02s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry013_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.7.32
14;vlc-record-2016-07-01-14h03m50s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry014_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;R;356;;Pers.Ctrl.SUR.2015.6.13.7.32
15;vlc-record-2016-07-01-14h05m07s-Pers.Ctrl.SUR.2015.6.13.7.32.MOV-.avi;entry015_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.7.32
16;vlc-record-2016-07-01-14h08m08s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry016_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.8.1
17;vlc-record-2016-07-01-14h09m01s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry017_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;G;292;;Pers.Ctrl.SUR.2015.6.13.8.1
18;vlc-record-2016-07-01-14h10m00s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry018_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;WGR;364;;Pers.Ctrl.SUR.2015.6.13.8.1
19;vlc-record-2016-07-01-14h10m54s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry019_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;R;356;;Pers.Ctrl.SUR.2015.6.13.8.1
20;vlc-record-2016-07-01-14h11m58s-Pers.Ctrl.SUR.2015.6.13.8.1.MOV-.avi;entry020_2000-01-01T000000_000;0.1;Latency_cowlog_project;Ctrl1;Y;301;;Pers.Ctrl.SUR.2015.6.13.8.1
