t;x;y;frame;Feeder;Comments
0,000000000E0;-1,708368540E1;3,659252227E0;0,000000000E0;OUT;
3,336670003E-2;-1,685408526E1;3,429652088E0;1,000000000E0;OUT;
6,673340007E-2;-1,685408526E1;3,429652088E0;2,000000000E0;OUT;
1,001001001E-1;-1,685408526E1;3,429652088E0;3,000000000E0;OUT;
1,334668001E-1;-1,685408526E1;3,429652088E0;4,000000000E0;OUT;
1,668335002E-1;-1,685408526E1;3,429652088E0;5,000000000E0;OUT;
2,002002002E-1;-1,685408526E1;3,429652088E0;6,000000000E0;OUT;
2,335669002E-1;-1,685408526E1;3,429652088E0;7,000000000E0;OUT;
2,669336003E-1;-1,685408526E1;3,429652088E0;8,000000000E0;OUT;
3,003003003E-1;-1,685408526E1;3,429652088E0;9,000000000E0;OUT;
3,336670003E-1;-1,685408526E1;3,429652088E0;1,000000000E1;OUT;
3,670337004E-1;-1,685408526E1;3,429652088E0;1,100000000E1;OUT;
4,004004004E-1;-1,685408526E1;3,429652088E0;1,200000000E1;OUT;
4,337671004E-1;-1,685408526E1;3,429652088E0;1,300000000E1;OUT;
4,671338005E-1;-1,685408526E1;3,429652088E0;1,400000000E1;OUT;
5,005005005E-1;-1,484508404E1;3,659252227E0;1,500000000E1;OUT;
5,338672005E-1;-1,346748320E1;5,151653136E0;1,600000000E1;OUT;
5,672339006E-1;-1,203248232E1;5,323853241E0;1,700000000E1;OUT;
6,006006006E-1;-1,117148180E1;5,840453555E0;1,800000000E1;OUT;
6,339673006E-1;-1,019568121E1;6,299653835E0;1,900000000E1;OUT;
6,673340007E-1;-1,002348110E1;6,299653835E0;2,000000000E1;OUT;
7,007007007E-1;-1,002348110E1;6,299653835E0;2,100000000E1;OUT;
7,340674007E-1;-1,025308124E1;5,840453555E0;2,200000000E1;OUT;
7,674341008E-1;-1,025308124E1;5,840453555E0;2,300000000E1;OUT;
8,008008008E-1;-1,025308124E1;5,840453555E0;2,400000000E1;OUT;
8,341675008E-1;-1,025308124E1;5,840453555E0;2,500000000E1;OUT;
8,675342009E-1;-1,191768225E1;4,807252926E0;2,600000000E1;OUT;
9,009009009E-1;-1,461548390E1;4,061052472E0;2,700000000E1;OUT;
9,342676009E-1;-1,610788480E1;3,314852018E0;2,800000000E1;OUT;
9,676343010E-1;-1,656708508E1;3,142651913E0;2,900000000E1;OUT;
1,001001001E0;-1,782988585E1;3,085251878E0;3,000000000E1;OUT;
1,034367701E0;-1,811688603E1;3,027851843E0;3,100000000E1;OUT;
1,067734401E0;-1,811688603E1;3,027851843E0;3,200000000E1;OUT;
1,101101101E0;-1,800208596E1;3,314852018E0;3,300000000E1;OUT;
1,134467801E0;-1,800208596E1;3,314852018E0;3,400000000E1;OUT;
1,167834501E0;-1,800208596E1;3,314852018E0;3,500000000E1;OUT;
1,201201201E0;-1,800208596E1;3,314852018E0;3,600000000E1;OUT;
1,234567901E0;-1,767681909E1;2,916072828E0;3,700000000E1;OUT;
1,267934601E0;-1,767681909E1;2,916072828E0;3,800000000E1;OUT;
1,301301301E0;-1,767681909E1;2,916072828E0;3,900000000E1;OUT;
1,334668001E0;-1,964251854E1;3,625013610E0;4,000000000E1;OUT;
1,368034701E0;-2,070592971E1;4,108382325E0;4,100000000E1;OUT;
1,401401401E0;-2,154376882E1;4,366178973E0;4,200000000E1;OUT;
1,434768101E0;-2,293848896E1;4,405452682E0;4,300000000E1;OUT;
1,468134801E0;-2,362728938E1;4,520252751E0;4,400000000E1;OUT;
1,501501502E0;-2,362728938E1;4,520252751E0;4,500000000E1;OUT;
1,534868202E0;-2,362728938E1;4,520252751E0;4,600000000E1;OUT;
1,568234902E0;-2,362728938E1;4,520252751E0;4,700000000E1;OUT;
1,601601602E0;-2,362728938E1;4,520252751E0;4,800000000E1;OUT;
1,634968302E0;-2,362728938E1;4,520252751E0;4,900000000E1;OUT;
1,668335002E0;-2,362728938E1;4,520252751E0;5,000000000E1;OUT;
1,701701702E0;-2,351248931E1;4,405452682E0;5,100000000E1;OUT;
1,735068402E0;-2,328288917E1;4,290652612E0;5,200000000E1;OUT;
1,768435102E0;-2,328288917E1;4,290652612E0;5,300000000E1;OUT;
1,801801802E0;-2,328288917E1;4,290652612E0;5,400000000E1;OUT;
1,835168502E0;-2,328288917E1;4,290652612E0;5,500000000E1;OUT;
1,868535202E0;-2,328288917E1;4,290652612E0;5,600000000E1;OUT;
1,901901902E0;-2,328288917E1;4,290652612E0;5,700000000E1;OUT;
1,935268602E0;-2,144608805E1;4,520252751E0;5,800000000E1;OUT;
1,968635302E0;-2,219228851E1;4,922052996E0;5,900000000E1;OUT;
2,002002002E0;-2,156088812E1;5,036853066E0;6,000000000E1;OUT;
2,035368702E0;-2,156088812E1;5,036853066E0;6,100000000E1;OUT;
2,068735402E0;-2,110168784E1;5,381253276E0;6,200000000E1;OUT;
