t;x;y;frame;Feeder;Cooments
3,403403403E0;2,247502517E1;2,402864165E0;1,020000000E2;OUT;
3,436770103E0;2,247502517E1;2,402864165E0;1,030000000E2;OUT;
3,470136803E0;2,247502517E1;2,402864165E0;1,040000000E2;OUT;
3,503503504E0;2,035367206E1;2,132053130E0;1,050000000E2;OUT;
3,536870204E0;1,886421137E1;2,132053130E0;1,060000000E2;OUT;
3,570236904E0;1,751015619E1;1,951512440E0;1,070000000E2;OUT;
3,603603604E0;1,683312860E1;1,996647612E0;1,080000000E2;OUT;
3,636970304E0;1,642691205E1;1,951512440E0;1,090000000E2;OUT;
3,670337004E0;1,651718239E1;2,041782785E0;1,100000000E2;OUT;
3,703703704E0;1,651718239E1;2,041782785E0;1,110000000E2;OUT;
3,737070404E0;1,683312860E1;2,132053130E0;1,120000000E2;OUT;
3,770437104E0;1,719420998E1;2,267458648E0;1,130000000E2;OUT;
3,803803804E0;1,719420998E1;2,222323475E0;1,140000000E2;OUT;
3,837170504E0;1,755529136E1;2,312593820E0;1,150000000E2;OUT;
3,870537204E0;1,850312999E1;2,447999338E0;1,160000000E2;OUT;
3,903903904E0;1,954123895E1;3,260432443E0;1,170000000E2;OUT;
3,937270604E0;2,039880723E1;3,847189686E0;1,180000000E2;OUT;
3,970637304E0;2,098556447E1;3,937460031E0;1,190000000E2;OUT;
4,004004004E0;2,161745689E1;4,524217274E0;1,200000000E2;OUT;
4,037370704E0;2,161745689E1;4,524217274E0;1,210000000E2;OUT;
4,070737404E0;2,161745689E1;4,524217274E0;1,220000000E2;OUT;
4,104104104E0;2,161745689E1;4,524217274E0;1,230000000E2;OUT;
4,137470804E0;2,161745689E1;4,343676584E0;1,240000000E2;OUT;
4,170837504E0;2,130151068E1;3,982595204E0;1,250000000E2;OUT;
4,204204204E0;2,134664585E1;4,208271066E0;1,260000000E2;OUT;
4,237570904E0;2,134664585E1;4,208271066E0;1,270000000E2;OUT;
4,270937604E0;2,134664585E1;4,208271066E0;1,280000000E2;OUT;
4,304304304E0;2,184313275E1;3,666648996E0;1,290000000E2;OUT;
4,337671004E0;2,229448448E1;3,847189686E0;1,300000000E2;OUT;
4,371037704E0;2,261043069E1;3,621513823E0;1,310000000E2;OUT;
4,404404404E0;2,319718793E1;3,034756581E0;1,320000000E2;OUT;
4,437771104E0;2,333259345E1;2,944486235E0;1,330000000E2;OUT;
4,471137804E0;2,333259345E1;2,944486235E0;1,340000000E2;OUT;
4,504504505E0;2,346799896E1;2,899351063E0;1,350000000E2;OUT;
4,537871205E0;2,346799896E1;2,944486235E0;1,360000000E2;OUT;
4,571237905E0;2,346799896E1;2,944486235E0;1,370000000E2;OUT;
4,604604605E0;2,346799896E1;2,944486235E0;1,380000000E2;OUT;
4,637971305E0;2,346799896E1;2,944486235E0;1,390000000E2;OUT;
4,671338005E0;2,346799896E1;2,944486235E0;1,400000000E2;OUT;
4,704704705E0;2,346799896E1;2,944486235E0;1,410000000E2;OUT;
4,738071405E0;2,346799896E1;2,944486235E0;1,420000000E2;OUT;
4,771438105E0;2,346799896E1;2,944486235E0;1,430000000E2;OUT;
4,804804805E0;2,346799896E1;2,944486235E0;1,440000000E2;OUT;
4,838171505E0;2,346799896E1;2,944486235E0;1,450000000E2;OUT;
4,871538205E0;2,346799896E1;2,944486235E0;1,460000000E2;OUT;
4,904904905E0;2,346799896E1;2,944486235E0;1,470000000E2;OUT;
4,938271605E0;2,346799896E1;2,944486235E0;1,480000000E2;OUT;
4,971638305E0;2,346799896E1;2,944486235E0;1,490000000E2;OUT;
5,005005005E0;2,310691758E1;2,538269683E0;1,500000000E2;OUT;
5,038371705E0;2,265556586E1;2,718810373E0;1,510000000E2;OUT;
5,071738405E0;2,197853827E1;3,079891753E0;1,520000000E2;OUT;
5,105105105E0;2,075988861E1;3,125026926E0;1,530000000E2;OUT;
5,138471805E0;1,999259068E1;3,034756581E0;1,540000000E2;OUT;
5,171838505E0;1,945096861E1;2,809080718E0;1,550000000E2;OUT;
5,205205205E0;1,958637413E1;2,899351063E0;1,560000000E2;OUT;
5,238571905E0;1,958637413E1;2,899351063E0;1,570000000E2;OUT;
5,271938605E0;1,958637413E1;2,899351063E0;1,580000000E2;OUT;
5,305305305E0;1,958637413E1;2,899351063E0;1,590000000E2;OUT;
5,338672005E0;1,958637413E1;2,899351063E0;1,600000000E2;OUT;
5,372038705E0;1,990232033E1;2,899351063E0;1,610000000E2;OUT;
5,405405405E0;1,990232033E1;2,899351063E0;1,620000000E2;OUT;
5,438772105E0;1,990232033E1;2,899351063E0;1,630000000E2;OUT;
5,472138805E0;2,012799620E1;2,989621408E0;1,640000000E2;OUT;
5,505505506E0;2,012799620E1;2,989621408E0;1,650000000E2;OUT;
5,538872206E0;2,080502378E1;3,170162098E0;1,660000000E2;OUT;
5,572238906E0;2,134664585E1;3,079891753E0;1,670000000E2;OUT;
5,605605606E0;2,229448448E1;3,350702788E0;1,680000000E2;OUT;
5,638972306E0;2,292637689E1;3,260432443E0;1,690000000E2;OUT;
5,672339006E0;2,292637689E1;3,260432443E0;1,700000000E2;OUT;
5,705705706E0;2,391935069E1;3,531243478E0;1,710000000E2;OUT;
5,739072406E0;2,369367483E1;3,486108306E0;1,720000000E2;OUT;
5,772439106E0;2,369367483E1;3,486108306E0;1,730000000E2;OUT;
5,805805806E0;2,369367483E1;3,486108306E0;1,740000000E2;OUT;
5,839172506E0;2,369367483E1;3,486108306E0;1,750000000E2;OUT;
5,872539206E0;2,369367483E1;3,486108306E0;1,760000000E2;OUT;
5,905905906E0;2,369367483E1;3,486108306E0;1,770000000E2;OUT;
5,939272606E0;2,346799896E1;3,350702788E0;1,780000000E2;OUT;
5,972639306E0;2,346799896E1;3,350702788E0;1,790000000E2;OUT;
6,006006006E0;2,346799896E1;3,350702788E0;1,800000000E2;OUT;
6,039372706E0;2,346799896E1;3,350702788E0;1,810000000E2;OUT;
6,072739406E0;2,346799896E1;3,350702788E0;1,820000000E2;OUT;
6,106106106E0;2,346799896E1;3,350702788E0;1,830000000E2;OUT;
6,139472806E0;2,346799896E1;3,350702788E0;1,840000000E2;OUT;
6,172839506E0;2,346799896E1;3,260432443E0;1,850000000E2;OUT;
6,206206206E0;2,337772862E1;2,989621408E0;1,860000000E2;OUT;
6,239572906E0;2,337772862E1;2,989621408E0;1,870000000E2;OUT;
6,272939606E0;2,337772862E1;3,170162098E0;1,880000000E2;OUT;
6,306306306E0;2,419016172E1;3,125026926E0;1,890000000E2;OUT;
6,339673006E0;2,522827069E1;3,621513823E0;1,900000000E2;OUT;
6,373039706E0;2,531854104E1;4,208271066E0;1,910000000E2;OUT;
6,406406406E0;2,536367621E1;4,479082101E0;1,920000000E2;OUT;
6,439773106E0;2,545394655E1;4,795028309E0;1,930000000E2;OUT;
6,473139806E0;2,545394655E1;4,795028309E0;1,940000000E2;OUT;
