t;x;y;frame;Feeder;Commets
2,002002002E-1;-8,292668749E0;1,743427782E0;6,000000000E0;OUT;
2,335669002E-1;-7,771158653E0;1,743427782E0;7,000000000E0;OUT;
2,669336003E-1;-7,581518617E0;1,885657808E0;8,000000000E0;OUT;
3,003003003E-1;-7,723748644E0;1,838247799E0;9,000000000E0;OUT;
3,336670003E-1;-8,150438723E0;1,648607764E0;1,000000000E1;OUT;
3,670337004E-1;-8,223927435E0;1,624938201E0;1,100000000E1;OUT;
4,004004004E-1;-8,543693880E0;1,267552174E0;1,200000000E1;OUT;
4,337671004E-1;-8,863460325E0;9,477857293E-1;1,300000000E1;A;
4,671338005E-1;-8,863460325E0;8,349269839E-1;1,400000000E1;A;
5,005005005E-1;-8,863460325E0;8,349269839E-1;1,500000000E1;A;
5,338672005E-1;-8,938699489E0;7,220682386E-1;1,600000000E1;A;
5,672339006E-1;-8,938699489E0;7,784976113E-1;1,700000000E1;A;
6,006006006E-1;-8,863460325E0;9,477857293E-1;1,800000000E1;A;
6,339673006E-1;-8,807030952E0;1,041834684E0;1,900000000E1;A;
6,673340007E-1;-8,769411371E0;1,023024893E0;2,000000000E1;A;
7,007007007E-1;-8,694172207E0;1,098264056E0;2,100000000E1;A;
7,340674007E-1;-8,807030952E0;9,854053110E-1;2,200000000E1;A;
7,674341008E-1;-8,807030952E0;9,854053110E-1;2,300000000E1;A;
8,008008008E-1;-8,807030952E0;9,854053110E-1;2,400000000E1;A;
8,341675008E-1;-8,769411371E0;1,023024893E0;2,500000000E1;A;
8,675342009E-1;-8,769411371E0;1,060644475E0;2,600000000E1;A;
9,009009009E-1;-8,798375509E0;1,043691171E0;2,700000000E1;A;
9,342676009E-1;-8,858077002E0;9,690643052E-1;2,800000000E1;A;
9,676343010E-1;-8,858077002E0;9,690643052E-1;2,900000000E1;A;
1,001001001E0;-8,783450136E0;9,392135589E-1;3,000000000E1;A;
1,034367701E0;-8,738674017E0;9,541389321E-1;3,100000000E1;A;
1,067734401E0;-8,738674017E0;9,541389321E-1;3,200000000E1;A;
1,101101101E0;-8,738674017E0;9,541389321E-1;3,300000000E1;A;
1,134467801E0;-8,738674017E0;9,541389321E-1;3,400000000E1;A;
