t;x;y;frame;Feeder;Commets
0,000000000E0;8,878329867E0;7,102722992E0;0,000000000E0;OUT;
3,336670003E-2;8,609728328E0;6,804276837E0;1,000000000E0;OUT;
6,673340007E-2;8,579883713E0;6,804276837E0;2,000000000E0;OUT;
1,001001001E-1;8,699262175E0;6,655053760E0;3,000000000E0;OUT;
1,334668001E-1;8,341126789E0;6,565519914E0;4,000000000E0;OUT;
1,668335002E-1;8,221748327E0;6,475986067E0;5,000000000E0;OUT;
2,002002002E-1;8,191903712E0;6,446141452E0;6,000000000E0;OUT;
2,335669002E-1;8,191903712E0;6,446141452E0;7,000000000E0;OUT;
2,669336003E-1;8,191903712E0;6,446141452E0;8,000000000E0;OUT;
3,003003003E-1;7,953146788E0;6,237229143E0;9,000000000E0;OUT;
3,336670003E-1;7,296565247E0;5,879093758E0;1,000000000E1;OUT;
3,670337004E-1;5,804334473E0;4,834532216E0;1,100000000E1;OUT;
4,004004004E-1;4,968685240E0;3,760126059E0;1,200000000E1;OUT;
4,337671004E-1;3,506299082E0;2,446962978E0;1,300000000E1;OUT;
4,671338005E-1;2,581116002E0;2,058982977E0;1,400000000E1;OUT;
5,005005005E-1;2,372203694E0;1,790381437E0;1,500000000E1;OUT;
5,338672005E-1;2,193136001E0;1,730692206E0;1,600000000E1;OUT;
5,672339006E-1;2,193136001E0;1,730692206E0;1,700000000E1;OUT;
6,006006006E-1;2,193136001E0;1,730692206E0;1,800000000E1;B;
6,339673006E-1;2,193136001E0;1,730692206E0;1,900000000E1;B;
6,673340007E-1;2,312514463E0;1,671002975E0;2,000000000E1;B;
7,007007007E-1;2,312514463E0;1,641158360E0;2,100000000E1;B;
7,340674007E-1;2,312514463E0;1,641158360E0;2,200000000E1;B;
7,674341008E-1;2,312514463E0;1,641158360E0;2,300000000E1;B;
8,008008008E-1;2,402048309E0;1,372556821E0;2,400000000E1;B;
8,341675008E-1;2,402048309E0;1,372556821E0;2,500000000E1;B;
8,675342009E-1;2,402048309E0;1,372556821E0;2,600000000E1;B;
9,009009009E-1;2,402048309E0;1,402401436E0;2,700000000E1;B;
9,342676009E-1;2,103602154E0;1,432246052E0;2,800000000E1;B;
9,676343010E-1;2,103602154E0;1,432246052E0;2,900000000E1;B;
1,001001001E0;2,103602154E0;1,432246052E0;3,000000000E1;B;
1,034367701E0;1,357486767E0;1,551624514E0;3,100000000E1;B;
1,067734401E0;1,118729844E0;1,611313745E0;3,200000000E1;B;
1,101101101E0;4,919929185E-1;1,969449130E0;3,300000000E1;B;
1,134467801E0;5,218375340E-1;2,148516823E0;3,400000000E1;B;
1,167834501E0;2,532359947E-1;2,208206054E0;3,500000000E1;B;
1,201201201E0;1,935467637E-1;2,118672208E0;3,600000000E1;B;
1,234567901E0;1,637021483E-1;2,118672208E0;3,700000000E1;B;
1,267934601E0;7,009052268E-1;1,909759899E0;3,800000000E1;B;
1,301301301E0;5,815267649E-1;1,969449130E0;3,900000000E1;B;
1,334668001E0;5,815267649E-1;1,969449130E0;4,000000000E1;B;
1,368034701E0;5,218375340E-1;1,909759899E0;4,100000000E1;B;
1,401401401E0;5,218375340E-1;1,909759899E0;4,200000000E1;B;
1,434768101E0;4,919929185E-1;1,850070668E0;4,300000000E1;B;
1,468134801E0;4,919929185E-1;1,850070668E0;4,400000000E1;B;
1,501501502E0;5,815267649E-1;1,790381437E0;4,500000000E1;B;
1,534868202E0;5,815267649E-1;1,790381437E0;4,600000000E1;B;
1,568234902E0;2,372203694E0;1,551624514E0;4,700000000E1;B;
1,601601602E0;2,252825232E0;1,700847591E0;4,800000000E1;B;
1,634968302E0;2,790028310E0;1,760536822E0;4,900000000E1;B;
1,668335002E0;2,640805233E0;1,671002975E0;5,000000000E1;B;
1,701701702E0;2,819872926E0;1,730692206E0;5,100000000E1;B;
1,735068402E0;2,640805233E0;1,581469129E0;5,200000000E1;B;
1,768435102E0;2,640805233E0;1,581469129E0;5,300000000E1;B;
1,801801802E0;2,581116002E0;1,521779898E0;5,400000000E1;B;
1,835168502E0;2,551271386E0;1,521779898E0;5,500000000E1;B;
1,868535202E0;2,521426771E0;1,491935283E0;5,600000000E1;B;
1,901901902E0;2,461737540E0;1,432246052E0;5,700000000E1;B;
1,935268602E0;2,461737540E0;1,432246052E0;5,800000000E1;B;
1,968635302E0;2,431892924E0;1,432246052E0;5,900000000E1;B;
2,002002002E0;2,342359078E0;1,372556821E0;6,000000000E1;B;
2,035368702E0;2,342359078E0;1,372556821E0;6,100000000E1;B;
2,068735402E0;2,342359078E0;1,372556821E0;6,200000000E1;B;
2,102102102E0;2,342359078E0;1,372556821E0;6,300000000E1;B;
2,135468802E0;2,342359078E0;1,372556821E0;6,400000000E1;B;
2,168835502E0;2,342359078E0;1,372556821E0;6,500000000E1;B;
2,202202202E0;2,342359078E0;1,372556821E0;6,600000000E1;B;
2,235568902E0;2,372203694E0;1,432246052E0;6,700000000E1;B;
2,268935602E0;2,312514463E0;1,402401436E0;6,800000000E1;B;
2,302302302E0;2,312514463E0;1,372556821E0;6,900000000E1;B;
2,335669002E0;2,312514463E0;1,372556821E0;7,000000000E1;B;
2,369035702E0;2,312514463E0;1,372556821E0;7,100000000E1;B;
2,402402402E0;2,312514463E0;1,372556821E0;7,200000000E1;B;
