t;x;y;frame;Feeder;Commets
0,000000000E0;1,710339068E1;1,118537153E0;0,000000000E0;C;
3,336670003E-2;1,686666278E1;1,142209943E0;1,000000000E0;C;
6,673340007E-2;1,679564441E1;1,307919473E0;2,000000000E0;C;
1,001001001E-1;1,677197162E1;1,378937843E0;3,000000000E0;C;
1,334668001E-1;1,681931720E1;1,426283423E0;4,000000000E0;C;
1,668335002E-1;1,684298999E1;1,284246683E0;5,000000000E0;C;
2,002002002E-1;1,662993488E1;1,378937843E0;6,000000000E0;C;
2,335669002E-1;1,648789814E1;1,497301793E0;7,000000000E0;C;
2,669336003E-1;1,634586140E1;1,497301793E0;8,000000000E0;C;
3,003003003E-1;1,632218861E1;1,591992953E0;9,000000000E0;C;
3,336670003E-1;1,632218861E1;1,449956213E0;1,000000000E1;C;
3,670337004E-1;1,627484303E1;1,497301793E0;1,100000000E1;C;
4,004004004E-1;1,615647908E1;1,639338533E0;1,200000000E1;C;
4,337671004E-1;1,615647908E1;1,686684113E0;1,300000000E1;C;
4,671338005E-1;1,615647908E1;1,686684113E0;1,400000000E1;C;
5,005005005E-1;1,615647908E1;1,686684113E0;1,500000000E1;C;
5,338672005E-1;1,620382466E1;1,568320163E0;1,600000000E1;C;
5,672339006E-1;1,620382466E1;1,568320163E0;1,700000000E1;C;
6,006006006E-1;1,620382466E1;1,568320163E0;1,800000000E1;C;
6,339673006E-1;1,620382466E1;1,568320163E0;1,900000000E1;C;
6,673340007E-1;1,618015187E1;1,449956213E0;2,000000000E1;C;
7,007007007E-1;1,618015187E1;1,449956213E0;2,100000000E1;C;
7,340674007E-1;1,618015187E1;1,449956213E0;2,200000000E1;C;
7,674341008E-1;1,618015187E1;1,355265053E0;2,300000000E1;C;
8,008008008E-1;1,620382466E1;1,307919473E0;2,400000000E1;C;
8,341675008E-1;1,620382466E1;1,307919473E0;2,500000000E1;C;
8,675342009E-1;1,620382466E1;1,307919473E0;2,600000000E1;C;
9,009009009E-1;1,618015187E1;1,473629003E0;2,700000000E1;C;
9,342676009E-1;1,615647908E1;1,426283423E0;2,800000000E1;C;
9,676343010E-1;1,615647908E1;1,426283423E0;2,900000000E1;C;
1,001001001E0;1,615647908E1;1,426283423E0;3,000000000E1;C;
1,034367701E0;1,615647908E1;1,426283423E0;3,100000000E1;C;
