t;x;y;frame;Feeder;Commenrs
1,134467801E0;-1,450110109E1;-2,174794660E0;3,400000000E1;A;
1,167834501E0;-1,486869801E1;-2,141618070E0;3,500000000E1;A;
1,201201201E0;-1,486869801E1;-2,141618070E0;3,600000000E1;A;
1,234567901E0;-1,486869801E1;-2,141618070E0;3,700000000E1;A;
1,267934601E0;-1,486869801E1;-2,141618070E0;3,800000000E1;A;
1,301301301E0;-1,486869801E1;-2,141618070E0;3,900000000E1;A;
1,334668001E0;-1,501573678E1;-2,128347433E0;4,000000000E1;A;
1,368034701E0;-1,501573678E1;-2,128347433E0;4,100000000E1;A;
1,401401401E0;-1,501573678E1;-2,128347433E0;4,200000000E1;A;
1,434768101E0;-1,501573678E1;-2,128347433E0;4,300000000E1;A;
1,468134801E0;-1,501573678E1;-2,128347433E0;4,400000000E1;A;
1,501501502E0;-1,486869801E1;-2,141618070E0;4,500000000E1;A;
1,534868202E0;-1,486206269E1;-2,068098686E0;4,600000000E1;A;
1,568234902E0;-1,477527267E1;-1,927695235E0;4,700000000E1;A;
1,601601602E0;-1,477527267E1;-1,927695235E0;4,800000000E1;A;
1,634968302E0;-1,477527267E1;-1,927695235E0;4,900000000E1;A;
1,668335002E0;-1,477527267E1;-1,927695235E0;5,000000000E1;A;
1,701701702E0;-1,477527267E1;-1,927695235E0;5,100000000E1;A;
1,735068402E0;-1,477527267E1;-1,927695235E0;5,200000000E1;A;
1,768435102E0;-1,477527267E1;-1,927695235E0;5,300000000E1;A;
1,801801802E0;-1,483552142E1;-1,774021149E0;5,400000000E1;A;
1,835168502E0;-1,473546076E1;-1,486578931E0;5,500000000E1;A;
1,868535202E0;-1,480898014E1;-1,479943613E0;5,600000000E1;A;
1,901901902E0;-1,480898014E1;-1,479943613E0;5,700000000E1;A;
1,935268602E0;-1,480898014E1;-1,479943613E0;5,800000000E1;A;
1,968635302E0;-1,480898014E1;-1,479943613E0;5,900000000E1;A;
2,002002002E0;-1,458178667E1;-1,426330183E0;6,000000000E1;A;
2,035368702E0;-1,488249953E1;-1,473308294E0;6,100000000E1;A;
2,068735402E0;-1,480898014E1;-1,479943613E0;6,200000000E1;A;
2,102102102E0;-1,458842199E1;-1,499849567E0;6,300000000E1;A;
2,135468802E0;-1,458842199E1;-1,499849567E0;6,400000000E1;A;
2,168835502E0;-1,473546076E1;-1,486578931E0;6,500000000E1;A;
2,202202202E0;-1,473546076E1;-1,486578931E0;6,600000000E1;A;
2,235568902E0;-1,488913485E1;-1,546827679E0;6,700000000E1;A;
2,268935602E0;-1,488913485E1;-1,546827679E0;6,800000000E1;A;
2,302302302E0;-1,488913485E1;-1,546827679E0;6,900000000E1;A;
2,335669002E0;-1,488913485E1;-1,546827679E0;7,000000000E1;A;
2,369035702E0;-1,488913485E1;-1,546827679E0;7,100000000E1;A;
2,402402402E0;-1,488913485E1;-1,546827679E0;7,200000000E1;A;
2,435769102E0;-1,488913485E1;-1,546827679E0;7,300000000E1;A;
2,469135802E0;-1,481561546E1;-1,553462997E0;7,400000000E1;A;
2,502502503E0;-1,351933871E1;-1,151627716E0;7,500000000E1;A;
2,535869203E0;-1,359285809E1;-1,144992397E0;7,600000000E1;A;
2,569235903E0;-1,375980281E1;-1,352279914E0;7,700000000E1;A;
2,602602603E0;-1,383332220E1;-1,345644596E0;7,800000000E1;A;
2,635969303E0;-1,375980281E1;-1,352279914E0;7,900000000E1;A;
2,669336003E0;-1,372662622E1;-9,846829930E-1;8,000000000E1;A;
2,702702703E0;-1,372662622E1;-9,846829930E-1;8,100000000E1;A;
2,736069403E0;-1,372662622E1;-9,846829930E-1;8,200000000E1;A;
2,769436103E0;-1,372662622E1;-9,846829930E-1;8,300000000E1;A;
2,802802803E0;-1,395381969E1;-1,038296423E0;8,400000000E1;A;
2,836169503E0;-1,424789723E1;-1,011755150E0;8,500000000E1;A;
2,869536203E0;-1,424789723E1;-1,011755150E0;8,600000000E1;A;
2,902902903E0;-1,416774253E1;-9,448710844E-1;8,700000000E1;A;
2,936269603E0;-1,416110721E1;-8,713517003E-1;8,800000000E1;A;
2,969636303E0;-1,416110721E1;-8,713517003E-1;8,900000000E1;A;
3,003003003E0;-1,371999090E1;-9,111636089E-1;9,000000000E1;A;
3,036369703E0;-1,379351029E1;-9,045282908E-1;9,100000000E1;A;
3,069736403E0;-1,394054906E1;-8,912576546E-1;9,200000000E1;A;
3,103103103E0;-1,402070376E1;-9,581417206E-1;9,300000000E1;A;
3,136469803E0;-1,410749378E1;-1,098545171E0;9,400000000E1;A;
3,169836503E0;-1,388693563E1;-1,118451125E0;9,500000000E1;A;
3,203203203E0;-1,388030031E1;-1,044931741E0;9,600000000E1;A;
3,236569903E0;-1,388030031E1;-1,044931741E0;9,700000000E1;A;
3,269936603E0;-1,363983620E1;-8,442795429E-1;9,800000000E1;A;
3,303303303E0;-1,363983620E1;-8,442795429E-1;9,900000000E1;A;
3,336670003E0;-1,363983620E1;-8,442795429E-1;1,000000000E2;A;
3,370036703E0;-1,363983620E1;-8,442795429E-1;1,010000000E2;A;
3,403403403E0;-1,386702967E1;-8,978929727E-1;1,020000000E2;A;
3,436770103E0;-1,386702967E1;-8,978929727E-1;1,030000000E2;A;
3,470136803E0;-1,386702967E1;-8,978929727E-1;1,040000000E2;A;
3,503503504E0;-1,386039435E1;-8,243735885E-1;1,050000000E2;A;
3,536870204E0;-1,378687497E1;-8,310089066E-1;1,060000000E2;A;
3,570236904E0;-1,378687497E1;-8,310089066E-1;1,070000000E2;A;
3,603603604E0;-1,378687497E1;-8,310089066E-1;1,080000000E2;A;
3,636970304E0;-1,378687497E1;-8,310089066E-1;1,090000000E2;A;
3,670337004E0;-1,378687497E1;-8,310089066E-1;1,100000000E2;A;
3,703703704E0;-1,378687497E1;-8,310089066E-1;1,110000000E2;A;
3,737070404E0;-1,386039435E1;-8,243735885E-1;1,120000000E2;A;
3,770437104E0;-1,417437784E1;-1,018390469E0;1,130000000E2;A;
3,803803804E0;-1,417437784E1;-1,018390469E0;1,140000000E2;A;
3,837170504E0;-1,417437784E1;-1,018390469E0;1,150000000E2;A;
3,870537204E0;-1,417437784E1;-1,018390469E0;1,160000000E2;A;
3,903903904E0;-1,417437784E1;-1,018390469E0;1,170000000E2;A;
3,937270604E0;-1,417437784E1;-1,018390469E0;1,180000000E2;A;
3,970637304E0;-1,417437784E1;-1,018390469E0;1,190000000E2;A;
4,004004004E0;-1,417437784E1;-1,018390469E0;1,200000000E2;A;
4,037370704E0;-1,417437784E1;-1,018390469E0;1,210000000E2;A;
4,070737404E0;-1,416774253E1;-9,448710844E-1;1,220000000E2;A;
4,104104104E0;-1,416774253E1;-9,448710844E-1;1,230000000E2;A;
4,137470804E0;-1,423462659E1;-8,647163822E-1;1,240000000E2;A;
4,170837504E0;-1,423462659E1;-8,647163822E-1;1,250000000E2;A;
4,204204204E0;-1,423462659E1;-8,647163822E-1;1,260000000E2;A;
4,237570904E0;-1,423462659E1;-8,647163822E-1;1,270000000E2;A;
4,270937604E0;-1,423462659E1;-8,647163822E-1;1,280000000E2;A;
4,304304304E0;-1,445518474E1;-8,448104279E-1;1,290000000E2;A;
4,337671004E0;-1,415447189E1;-7,978323161E-1;1,300000000E2;A;
4,371037704E0;-1,415447189E1;-7,978323161E-1;1,310000000E2;A;
4,404404404E0;-1,415447189E1;-7,978323161E-1;1,320000000E2;A;
4,437771104E0;-1,437503004E1;-7,779263618E-1;1,330000000E2;A;
4,471137804E0;-1,430151066E1;-7,845616799E-1;1,340000000E2;A;
4,504504505E0;-1,361993025E1;-6,237213905E-1;1,350000000E2;A;
4,537871205E0;-1,361993025E1;-6,237213905E-1;1,360000000E2;A;
4,571237905E0;-1,361993025E1;-6,237213905E-1;1,370000000E2;A;
4,604604605E0;-1,361993025E1;-6,237213905E-1;1,380000000E2;A;
4,637971305E0;-1,376696902E1;-6,104507543E-1;1,390000000E2;A;
4,671338005E0;-1,438166536E1;-8,514457460E-1;1,400000000E2;A;
4,704704705E0;-1,438166536E1;-8,514457460E-1;1,410000000E2;A;
4,738071405E0;-1,430814598E1;-8,580810641E-1;1,420000000E2;A;
4,771438105E0;-1,430814598E1;-8,580810641E-1;1,430000000E2;A;
4,804804805E0;-1,430814598E1;-8,580810641E-1;1,440000000E2;A;
4,838171505E0;-1,430814598E1;-8,580810641E-1;1,450000000E2;A;
4,871538205E0;-1,408095251E1;-8,044676342E-1;1,460000000E2;A;
4,904904905E0;-1,408095251E1;-8,044676342E-1;1,470000000E2;A;
