t;x;y;frame;Feeder;Comments
1,334668001E-1;-1,060915596E1;4,306518106E0;4,000000000E0;OUT;
1,668335002E-1;-9,954702356E0;3,702407086E0;5,000000000E0;OUT;
2,002002002E-1;-9,652646846E0;2,796240556E0;6,000000000E0;OUT;
2,335669002E-1;-9,283467890E0;2,578089355E0;7,000000000E0;OUT;
2,669336003E-1;-9,249906166E0;2,393499876E0;8,000000000E0;OUT;
3,003003003E-1;-9,182782720E0;2,359938153E0;9,000000000E0;OUT;
3,336670003E-1;-9,182782720E0;2,359938153E0;1,000000000E1;OUT;
3,670337004E-1;-9,182782720E0;2,410280738E0;1,100000000E1;OUT;
4,004004004E-1;-9,185175546E0;2,670601623E0;1,200000000E1;OUT;
4,337671004E-1;-8,781595823E0;3,178813126E0;1,300000000E1;OUT;
4,671338005E-1;-7,630646243E0;3,492708466E0;1,400000000E1;OUT;
5,005005005E-1;-6,838434194E0;5,405975301E0;1,500000000E1;OUT;
5,338672005E-1;-5,702432011E0;4,434394487E0;1,600000000E1;OUT;
5,672339006E-1;-5,254010097E0;4,553973664E0;1,700000000E1;OUT;
6,006006006E-1;-4,835482977E0;4,912711195E0;1,800000000E1;OUT;
6,339673006E-1;-4,730851197E0;5,062185167E0;1,900000000E1;OUT;
6,673340007E-1;-4,835482977E0;5,062185167E0;2,000000000E1;OUT;
7,007007007E-1;-4,910219963E0;5,047237770E0;2,100000000E1;OUT;
7,340674007E-1;-4,940114757E0;4,897763798E0;2,200000000E1;OUT;
7,674341008E-1;-4,865377771E0;5,032290373E0;2,300000000E1;OUT;
8,008008008E-1;-3,236111482E0;4,927658593E0;2,400000000E1;OUT;
8,341675008E-1;-1,801161356E0;4,688500238E0;2,500000000E1;OUT;
8,675342009E-1;-1,083686293E0;4,509131472E0;2,600000000E1;OUT;
9,009009009E-1;-4,260008187E-1;4,135446544E0;2,700000000E1;OUT;
9,342676009E-1;6,801065702E-1;4,299867912E0;2,800000000E1;OUT;
9,676343010E-1;1,965582725E0;4,778184621E0;2,900000000E1;OUT;
1,001001001E0;4,626219417E0;5,271448727E0;3,000000000E1;OUT;
1,034367701E0;5,582852834E0;5,420922698E0;3,100000000E1;OUT;
1,067734401E0;6,165801323E0;5,196711741E0;3,200000000E1;OUT;
1,101101101E0;6,793592003E0;5,107027358E0;3,300000000E1;OUT;
1,134467801E0;7,242013917E0;5,077132564E0;3,400000000E1;OUT;
1,167834501E0;7,526014463E0;4,912711195E0;3,500000000E1;OUT;
1,201201201E0;7,570856655E0;4,897763798E0;3,600000000E1;OUT;
1,234567901E0;7,600751449E0;4,852921607E0;3,700000000E1;OUT;
1,267934601E0;7,600751449E0;4,867869004E0;3,800000000E1;OUT;
1,301301301E0;7,600751449E0;4,867869004E0;3,900000000E1;OUT;
1,334668001E0;7,600751449E0;4,852921607E0;4,000000000E1;OUT;
1,368034701E0;7,570856655E0;4,823026812E0;4,100000000E1;OUT;
1,401401401E0;7,540961860E0;4,778184621E0;4,200000000E1;OUT;
1,434768101E0;7,363146878E0;4,373641552E0;4,300000000E1;OUT;
1,468134801E0;6,091064337E0;4,165341338E0;4,400000000E1;OUT;
1,501501502E0;4,700956402E0;2,760286006E0;4,500000000E1;OUT;
1,534868202E0;3,848954765E0;1,908284369E0;4,600000000E1;OUT;
1,568234902E0;3,953586545E0;1,684073412E0;4,700000000E1;OUT;
1,601601602E0;3,564954219E0;1,310388483E0;4,800000000E1;OUT;
1,634968302E0;3,400532851E0;1,145967115E0;4,900000000E1;B;
1,668335002E0;3,385585454E0;1,101124923E0;5,000000000E1;B;
1,701701702E0;3,385585454E0;1,101124923E0;5,100000000E1;B;
1,735068402E0;3,385585454E0;1,101124923E0;5,200000000E1;B;
1,768435102E0;3,385585454E0;1,101124923E0;5,300000000E1;B;
1,801801802E0;3,370638056E0;1,101124923E0;5,400000000E1;B;
1,835168502E0;3,355690659E0;9,815457459E-1;5,500000000E1;B;
1,868535202E0;3,280953674E0;9,815457459E-1;5,600000000E1;B;
1,901901902E0;3,236111482E0;9,367035545E-1;5,700000000E1;B;
1,935268602E0;3,206216688E0;7,722821859E-1;5,800000000E1;B;
1,968635302E0;3,266006276E0;7,872295830E-1;5,900000000E1;B;
2,002002002E0;3,280953674E0;7,722821859E-1;6,000000000E1;B;
2,035368702E0;3,340743262E0;8,171243773E-1;6,100000000E1;B;
2,068735402E0;3,385585454E0;8,619665688E-1;6,200000000E1;B;
2,102102102E0;3,340743262E0;7,124925973E-1;6,300000000E1;B;
