t;x;y;frame;Feeder;Comments
0,000000000E0;1,793692738E1;-6,947570487E-1;0,000000000E0;OUT;
3,336670003E-2;1,758496018E1;-1,146737581E0;1,000000000E0;OUT;
6,673340007E-2;1,758496018E1;-1,146737581E0;2,000000000E0;OUT;
1,001001001E-1;1,720167835E1;-1,303604647E-1;3,000000000E0;OUT;
1,334668001E-1;1,658517866E1;-1,887089060E-1;4,000000000E0;OUT;
1,668335002E-1;1,618530123E1;-5,136422988E-1;5,000000000E0;C;
2,002002002E-1;1,618530123E1;-5,136422988E-1;6,000000000E0;C;
2,335669002E-1;1,618530123E1;-5,136422988E-1;7,000000000E0;C;
2,669336003E-1;1,618530123E1;-5,136422988E-1;8,000000000E0;C;
3,003003003E-1;1,618530123E1;-5,136422988E-1;9,000000000E0;C;
3,336670003E-1;1,600409853E1;-4,949062902E-1;1,000000000E1;C;
3,670337004E-1;1,588329672E1;-4,824156177E-1;1,100000000E1;C;
4,004004004E-1;1,588329672E1;-4,824156177E-1;1,200000000E1;C;
4,337671004E-1;1,588329672E1;-4,824156177E-1;1,300000000E1;C;
4,671338005E-1;1,588329672E1;-4,824156177E-1;1,400000000E1;C;
5,005005005E-1;1,588329672E1;-4,824156177E-1;1,500000000E1;C;
5,338672005E-1;1,588329672E1;-4,824156177E-1;1,600000000E1;C;
5,672339006E-1;1,588329672E1;-4,824156177E-1;1,700000000E1;C;
6,006006006E-1;1,588329672E1;-4,824156177E-1;1,800000000E1;C;
6,339673006E-1;1,588329672E1;-4,824156177E-1;1,900000000E1;C;
6,673340007E-1;1,588329672E1;-4,824156177E-1;2,000000000E1;C;
7,007007007E-1;1,588329672E1;-4,824156177E-1;2,100000000E1;C;
7,340674007E-1;1,570209402E1;-4,636796091E-1;2,200000000E1;C;
7,674341008E-1;1,546049041E1;-4,386982643E-1;2,300000000E1;C;
8,008008008E-1;1,546049041E1;-4,386982643E-1;2,400000000E1;C;
8,341675008E-1;1,546049041E1;-4,386982643E-1;2,500000000E1;C;
8,675342009E-1;1,546049041E1;-4,386982643E-1;2,600000000E1;C;
9,009009009E-1;1,546049041E1;-4,386982643E-1;2,700000000E1;C;
9,342676009E-1;1,546049041E1;-4,386982643E-1;2,800000000E1;C;
9,676343010E-1;1,546049041E1;-4,386982643E-1;2,900000000E1;C;
1,001001001E0;1,546049041E1;-4,386982643E-1;3,000000000E1;C;
1,034367701E0;1,546049041E1;-4,386982643E-1;3,100000000E1;C;
1,067734401E0;1,546049041E1;-4,386982643E-1;3,200000000E1;C;
1,101101101E0;1,546049041E1;-4,386982643E-1;3,300000000E1;C;
1,134467801E0;1,546049041E1;-4,386982643E-1;3,400000000E1;C;
1,167834501E0;1,546049041E1;-4,386982643E-1;3,500000000E1;C;
1,201201201E0;1,546049041E1;-4,386982643E-1;3,600000000E1;C;
1,234567901E0;1,546049041E1;-4,386982643E-1;3,700000000E1;C;
1,267934601E0;1,546049041E1;-4,386982643E-1;3,800000000E1;C;
1,301301301E0;1,555211799E1;-1,429390922E-1;3,900000000E1;C;
1,334668001E0;1,567291980E1;-1,554297646E-1;4,000000000E1;C;
1,368034701E0;1,564793845E1;-3,970333713E-1;4,100000000E1;C;
1,401401401E0;1,564793845E1;-3,970333713E-1;4,200000000E1;C;
1,434768101E0;1,564793845E1;-3,970333713E-1;4,300000000E1;C;
1,468134801E0;1,564793845E1;-3,970333713E-1;4,400000000E1;C;
1,501501502E0;1,564793845E1;-3,970333713E-1;4,500000000E1;C;
1,534868202E0;1,564793845E1;-3,970333713E-1;4,600000000E1;C;
1,568234902E0;1,564793845E1;-3,970333713E-1;4,700000000E1;C;
1,601601602E0;1,564793845E1;-3,970333713E-1;4,800000000E1;C;
1,634968302E0;1,589775190E1;2,019002695E0;4,900000000E1;OUT;
1,668335002E0;1,640594046E1;2,210643612E0;5,000000000E1;OUT;
1,701701702E0;1,728483222E1;3,035467767E0;5,100000000E1;OUT;
1,735068402E0;1,729107756E1;3,095868668E0;5,200000000E1;OUT;
1,768435102E0;1,729107756E1;3,095868668E0;5,300000000E1;OUT;
1,801801802E0;1,729107756E1;3,095868668E0;5,400000000E1;OUT;
1,835168502E0;1,729107756E1;3,095868668E0;5,500000000E1;OUT;
1,868535202E0;1,715153975E1;2,927156636E0;5,600000000E1;OUT;
1,901901902E0;1,715153975E1;2,927156636E0;5,700000000E1;OUT;
1,935268602E0;1,715153975E1;2,927156636E0;5,800000000E1;OUT;
1,968635302E0;1,641432621E1;1,110936710E0;5,900000000E1;OUT;
2,002002002E0;1,618316082E1;6,464655053E-1;6,000000000E1;OUT;
2,035368702E0;1,539170376E1;6,672539743E-1;6,100000000E1;OUT;
2,068735402E0;1,522718460E1;2,569383350E-1;6,200000000E1;OUT;
2,102102102E0;1,522718460E1;2,569383350E-1;6,300000000E1;C;
2,135468802E0;1,522718460E1;2,569383350E-1;6,400000000E1;C;
2,168835502E0;1,503973656E1;2,152734420E-1;6,500000000E1;C;
2,202202202E0;1,497933566E1;2,215187782E-1;6,600000000E1;C;
2,235568902E0;1,497933566E1;2,215187782E-1;6,700000000E1;C;
2,268935602E0;1,496684499E1;1,007169748E-1;6,800000000E1;C;
2,302302302E0;1,496684499E1;1,007169748E-1;6,900000000E1;C;
2,335669002E0;1,496684499E1;1,007169748E-1;7,000000000E1;C;
2,369035702E0;1,496684499E1;1,007169748E-1;7,100000000E1;C;
2,402402402E0;1,496059965E1;4,031607318E-2;7,200000000E1;C;
2,435769102E0;1,496059965E1;4,031607318E-2;7,300000000E1;C;
2,469135802E0;1,496059965E1;4,031607318E-2;7,400000000E1;C;
2,502502503E0;1,496059965E1;4,031607318E-2;7,500000000E1;C;
2,535869203E0;1,496059965E1;4,031607318E-2;7,600000000E1;C;
2,569235903E0;1,496059965E1;4,031607318E-2;7,700000000E1;C;
2,602602603E0;1,496059965E1;4,031607318E-2;7,800000000E1;C;
2,635969303E0;1,496059965E1;4,031607318E-2;7,900000000E1;C;
2,669336003E0;1,496059965E1;4,031607318E-2;8,000000000E1;C;
2,702702703E0;1,496059965E1;4,031607318E-2;8,100000000E1;C;
2,736069403E0;1,496059965E1;4,031607318E-2;8,200000000E1;C;
2,769436103E0;1,496059965E1;4,031607318E-2;8,300000000E1;C;
2,802802803E0;1,496059965E1;4,031607318E-2;8,400000000E1;C;
2,836169503E0;1,496059965E1;4,031607318E-2;8,500000000E1;C;
2,869536203E0;1,496059965E1;4,031607318E-2;8,600000000E1;C;
2,902902903E0;1,497309032E1;1,611178765E-1;8,700000000E1;C;
2,936269603E0;1,497309032E1;1,611178765E-1;8,800000000E1;C;
2,969636303E0;1,497309032E1;1,611178765E-1;8,900000000E1;C;
3,003003003E0;1,497309032E1;1,611178765E-1;9,000000000E1;C;
3,036369703E0;1,497309032E1;1,611178765E-1;9,100000000E1;C;
3,069736403E0;1,491893476E1;2,277641144E-1;9,200000000E1;C;
3,103103103E0;1,475860848E1;-7,324049761E-1;9,300000000E1;C;
3,169836503E0;1,488770808E1;-7,424039394E-2;9,500000000E1;C;
3,203203203E0;1,488770808E1;-7,424039394E-2;9,600000000E1;C;
3,236569903E0;1,488770808E1;-7,424039394E-2;9,700000000E1;C;
3,269936603E0;1,488770808E1;-7,424039394E-2;9,800000000E1;C;
3,303303303E0;1,488770808E1;-7,424039394E-2;9,900000000E1;C;
3,336670003E0;1,488770808E1;-7,424039394E-2;1,000000000E2;C;
3,370036703E0;1,488770808E1;-7,424039394E-2;1,010000000E2;C;
3,403403403E0;1,546254287E1;1,715560885E-1;1,020000000E2;C;
3,436770103E0;1,546254287E1;1,715560885E-1;1,030000000E2;C;
3,470136803E0;1,531051439E1;-1,179577474E-1;1,040000000E2;C;
3,503503504E0;1,518971258E1;-1,054670750E-1;1,050000000E2;C;
3,536870204E0;1,512931168E1;-9,922173876E-2;1,060000000E2;C;
3,570236904E0;1,513555702E1;-3,882083710E-2;1,070000000E2;C;
3,603603604E0;1,513555702E1;-3,882083710E-2;1,080000000E2;C;
3,636970304E0;1,482730717E1;-6,799505774E-2;1,090000000E2;C;
