t;x;y;frame;Feeder;Commets
2,836169503E0;-8,767439494E0;5,067228723E-1;8,500000000E1;A;
2,869536203E0;-8,767439494E0;4,623301112E-1;8,600000000E1;A;
2,902902903E0;-8,797034668E0;4,919252853E-1;8,700000000E1;A;
2,936269603E0;-8,797034668E0;4,919252853E-1;8,800000000E1;A;
2,969636303E0;-8,856225016E0;4,919252853E-1;8,900000000E1;A;
3,003003003E0;-8,767439494E0;5,659132204E-1;9,000000000E1;A;
3,036369703E0;-8,678653972E0;6,842939167E-1;9,100000000E1;A;
3,069736403E0;-8,693451559E0;7,138890908E-1;9,200000000E1;A;
3,103103103E0;-8,737844320E0;7,434842648E-1;9,300000000E1;A;
3,136469803E0;-8,737844320E0;7,434842648E-1;9,400000000E1;A;
3,169836503E0;-8,678653972E0;7,434842648E-1;9,500000000E1;A;
3,203203203E0;-8,678653972E0;6,990915037E-1;9,600000000E1;A;
3,236569903E0;-8,723046733E0;7,286866778E-1;9,700000000E1;A;
3,269936603E0;-8,752641907E0;7,286866778E-1;9,800000000E1;A;
3,303303303E0;-8,752641907E0;7,286866778E-1;9,900000000E1;A;
3,336670003E0;-8,752641907E0;7,286866778E-1;1,000000000E2;A;
3,370036703E0;-8,885820190E0;7,434842648E-1;1,010000000E2;A;
3,403403403E0;-8,885820190E0;7,434842648E-1;1,020000000E2;A;
3,436770103E0;-8,826629842E0;6,694963297E-1;1,030000000E2;A;
3,470136803E0;-8,826629842E0;6,842939167E-1;1,040000000E2;A;
3,503503504E0;-8,826629842E0;6,842939167E-1;1,050000000E2;A;
3,536870204E0;-8,826629842E0;6,842939167E-1;1,060000000E2;A;
3,570236904E0;-9,122581583E0;5,807108075E-1;1,070000000E2;A;
3,603603604E0;-9,847663348E0;7,138890908E-1;1,080000000E2;A;
3,636970304E0;-1,046916200E1;7,878770259E-1;1,090000000E2;A;
3,670337004E0;-1,117944618E1;1,083828767E0;1,100000000E2;A;
3,703703704E0;-1,153458827E1;1,172614289E0;1,110000000E2;A;
3,737070404E0;-1,169736173E1;1,290994985E0;1,120000000E2;A;
3,770437104E0;-1,206730140E1;1,364982920E0;1,130000000E2;A;
3,803803804E0;-1,203770623E1;1,424173268E0;1,140000000E2;A;
3,837170504E0;-1,200811105E1;1,453768442E0;1,150000000E2;A;
3,870537204E0;-1,197851588E1;1,453768442E0;1,160000000E2;A;
3,903903904E0;-1,184533760E1;1,424173268E0;1,170000000E2;A;
3,937270604E0;-1,165296897E1;1,438970855E0;1,180000000E2;A;
3,970637304E0;-1,159377862E1;1,557351552E0;1,190000000E2;A;
4,004004004E0;-1,131262446E1;1,690529835E0;1,200000000E2;A;
4,037370704E0;-1,051355476E1;1,779315357E0;1,210000000E2;A;
4,070737404E0;-9,832865761E0;2,134457446E0;1,220000000E2;OUT;
