t;x;y;frame;Feeder;Comments
0,000000000E0;2,007565404E0;6,525753962E-1;0,000000000E0;OUT;
3,336670003E-2;9,449366800E-1;2,439640109E0;1,000000000E0;OUT;
6,673340007E-2;-6,957238036E-1;2,919621875E0;2,000000000E0;OUT;
1,001001001E-1;-1,736331150E0;2,888673820E0;3,000000000E0;OUT;
1,334668001E-1;-1,225401328E0;3,488726958E0;4,000000000E0;OUT;
1,668335002E-1;-1,161125891E0;3,482626782E0;5,000000000E0;OUT;
2,002002002E-1;-1,161125891E0;3,482626782E0;6,000000000E0;OUT;
2,335669002E-1;-1,161125891E0;3,482626782E0;7,000000000E0;OUT;
2,669336003E-1;-1,161125891E0;3,482626782E0;8,000000000E0;OUT;
3,003003003E-1;-1,161125891E0;3,482626782E0;9,000000000E0;OUT;
3,336670003E-1;-1,161125891E0;3,482626782E0;1,000000000E1;OUT;
3,670337004E-1;-1,161125891E0;3,482626782E0;1,100000000E1;OUT;
4,004004004E-1;-1,161125891E0;3,482626782E0;1,200000000E1;OUT;
4,337671004E-1;-1,136725186E0;3,739728530E0;1,300000000E1;OUT;
4,671338005E-1;-6,225216891E-1;3,690927121E0;1,400000000E1;OUT;
5,005005005E-1;-6,225216891E-1;3,690927121E0;1,500000000E1;OUT;
5,338672005E-1;-1,080929252E0;1,594238401E0;1,600000000E1;OUT;
5,672339006E-1;-1,723236449E0;2,932556317E-1;1,700000000E1;OUT;
6,006006006E-1;-9,758847350E-1;-1,399032763E0;1,800000000E1;OUT;
6,339673006E-1;1,045973433E-1;-1,631286632E0;1,900000000E1;OUT;
6,673340007E-1;2,575489223E-1;-1,386385236E0;2,000000000E1;OUT;
7,007007007E-1;2,575489223E-1;-1,386385236E0;2,100000000E1;OUT;
7,340674007E-1;2,575489223E-1;-1,386385236E0;2,200000000E1;OUT;
7,674341008E-1;2,575489223E-1;-1,386385236E0;2,300000000E1;OUT;
8,008008008E-1;2,575489223E-1;-1,386385236E0;2,400000000E1;OUT;
8,341675008E-1;3,860997965E-1;-1,398585589E0;2,500000000E1;OUT;
8,675342009E-1;3,860997965E-1;-1,398585589E0;2,600000000E1;OUT;
9,009009009E-1;1,840034145E0;-1,795991390E0;2,700000000E1;OUT;
9,342676009E-1;3,945649542E0;-1,476993531E0;2,800000000E1;OUT;
9,676343010E-1;6,975521763E0;-9,862963916E-1;2,900000000E1;OUT;
1,001001001E0;7,299725449E0;-3,036672884E-1;3,000000000E1;OUT;
1,034367701E0;7,088151436E0;8,837914605E-1;3,100000000E1;OUT;
1,067734401E0;7,363553713E0;1,052217067E0;3,200000000E1;OUT;
