t;x;y;frame;Feeder;Comments
0,000000000E0;5,089146075E0;2,303446282E0;0,000000000E0;OUT;
3,336670003E-2;4,970093923E0;2,150379229E0;1,000000000E0;OUT;
6,673340007E-2;4,885056671E0;1,912274924E0;2,000000000E0;OUT;
1,001001001E-1;4,885056671E0;1,912274924E0;3,000000000E0;OUT;
1,334668001E-1;5,004108823E0;1,861252573E0;4,000000000E0;OUT;
1,668335002E-1;5,072138625E0;1,895267474E0;5,000000000E0;OUT;
2,002002002E-1;5,310242930E0;1,810230222E0;6,000000000E0;OUT;
2,335669002E-1;5,157175877E0;1,793222772E0;7,000000000E0;OUT;
2,669336003E-1;5,225205678E0;1,691178070E0;8,000000000E0;OUT;
3,003003003E-1;5,208198228E0;1,623148268E0;9,000000000E0;OUT;
3,336670003E-1;3,473438292E0;1,300006712E0;1,000000000E1;OUT;
3,670337004E-1;-4,382752871E-1;1,112924758E0;1,100000000E1;OUT;
4,004004004E-1;-4,009839860E0;8,918279035E-1;1,200000000E1;OUT;
4,337671004E-1;-9,537261222E0;-1,456265676E-1;1,300000000E1;OUT;
4,671338005E-1;-1,266663209E1;-9,566964850E-3;1,400000000E1;OUT;
5,005005005E-1;-1,365306421E1;1,640155719E0;1,500000000E1;OUT;
5,338672005E-1;-1,399321321E1;1,912274924E0;1,600000000E1;OUT;
5,672339006E-1;-1,414628027E1;1,946289825E0;1,700000000E1;OUT;
6,006006006E-1;-1,416328772E1;1,929282375E0;1,800000000E1;OUT;
6,339673006E-1;-1,401022066E1;1,674170619E0;1,900000000E1;OUT;
6,673340007E-1;-1,395919831E1;1,640155719E0;2,000000000E1;OUT;
7,007007007E-1;-1,372109401E1;1,504096116E0;2,100000000E1;OUT;
7,340674007E-1;-1,370408656E1;1,487088666E0;2,200000000E1;OUT;
7,674341008E-1;-1,367007166E1;1,504096116E0;2,300000000E1;OUT;
8,008008008E-1;-1,276867679E1;1,980304726E0;2,400000000E1;OUT;
8,341675008E-1;-9,673320825E0;2,184394130E0;2,500000000E1;OUT;
8,675342009E-1;-8,890978109E0;3,357908204E0;2,600000000E1;OUT;
9,009009009E-1;-8,295717347E0;3,647034859E0;2,700000000E1;OUT;
9,342676009E-1;-8,057613042E0;3,868131714E0;2,800000000E1;OUT;
9,676343010E-1;-7,649434234E0;4,055213668E0;2,900000000E1;OUT;
1,001001001E0;-7,479359730E0;4,106236019E0;3,000000000E1;OUT;
1,034367701E0;-7,360307578E0;4,106236019E0;3,100000000E1;OUT;
1,067734401E0;-7,292277776E0;4,004191317E0;3,200000000E1;OUT;
1,101101101E0;-7,343300127E0;3,936161515E0;3,300000000E1;OUT;
1,134467801E0;-7,377315028E0;3,664042310E0;3,400000000E1;OUT;
1,167834501E0;-7,462352280E0;3,613019959E0;3,500000000E1;OUT;
1,201201201E0;-7,598411883E0;3,476960356E0;3,600000000E1;OUT;
1,234567901E0;-8,210680095E0;2,830677243E0;3,700000000E1;OUT;
1,267934601E0;-8,959007910E0;1,844245123E0;3,800000000E1;OUT;
1,301301301E0;-9,214119665E0;8,578130028E-1;3,900000000E1;OUT;
1,334668001E0;-9,078060063E0;6,537235986E-1;4,000000000E1;OUT;
1,368034701E0;-8,942000460E0;5,006565455E-1;4,100000000E1;OUT;
1,401401401E0;-8,924993010E0;5,006565455E-1;4,200000000E1;OUT;
1,434768101E0;-8,924993010E0;5,006565455E-1;4,300000000E1;OUT;
1,468134801E0;-8,890978109E0;5,516788966E-1;4,400000000E1;A;
1,501501502E0;-8,839955758E0;6,027012476E-1;4,500000000E1;A;
1,534868202E0;-8,839955758E0;6,027012476E-1;4,600000000E1;A;
1,568234902E0;-8,839955758E0;5,346714462E-1;4,700000000E1;A;
1,601601602E0;-8,856963208E0;4,326267441E-1;4,800000000E1;A;
1,634968302E0;-8,856963208E0;2,795596910E-1;4,900000000E1;A;
1,668335002E0;-8,873970659E0;2,455447903E-1;5,000000000E1;A;
1,701701702E0;-8,907985559E0;2,285373400E-1;5,100000000E1;A;
1,735068402E0;-8,959007910E0;3,135745917E-1;5,200000000E1;A;
1,768435102E0;-8,993022811E0;3,135745917E-1;5,300000000E1;A;
1,801801802E0;-9,044045162E0;2,965671414E-1;5,400000000E1;A;
1,835168502E0;-9,010030261E0;2,965671414E-1;5,500000000E1;A;
1,868535202E0;-8,890978109E0;3,135745917E-1;5,600000000E1;A;
1,901901902E0;-5,336420987E0;-1,404177893E0;5,700000000E1;OUT;
1,935268602E0;-2,173035222E0;-1,200088489E0;5,800000000E1;OUT;
1,968635302E0;-1,526752109E0;4,496341945E-1;5,900000000E1;OUT;
2,002002002E0;2,092587220E-2;8,067906517E-1;6,000000000E1;OUT;
2,035368702E0;1,229705743E-1;1,078909857E0;6,100000000E1;OUT;
2,068735402E0;5,494077289E-2;1,095917308E0;6,200000000E1;OUT;
2,102102102E0;-4,710392918E-2;9,768651552E-1;6,300000000E1;OUT;
2,135468802E0;-4,710392918E-2;9,768651552E-1;6,400000000E1;OUT;
2,168835502E0;-1,661560816E-1;8,067906517E-1;6,500000000E1;OUT;
2,202202202E0;-2,682007837E-1;7,217534000E-1;6,600000000E1;OUT;
2,235568902E0;-2,852082340E-1;6,197086979E-1;6,700000000E1;OUT;
2,268935602E0;-2,171784326E-1;7,217534000E-1;6,800000000E1;OUT;
2,302302302E0;-3,532380354E-1;8,748204531E-1;6,900000000E1;OUT;
2,335669002E0;-3,532380354E-1;8,748204531E-1;7,000000000E1;OUT;
2,369035702E0;-4,212678368E-1;8,237981021E-1;7,100000000E1;OUT;
2,402402402E0;-4,212678368E-1;7,897832014E-1;7,200000000E1;OUT;
2,435769102E0;-4,212678368E-1;7,897832014E-1;7,300000000E1;OUT;
2,469135802E0;-4,382752871E-1;7,897832014E-1;7,400000000E1;OUT;
2,502502503E0;-4,382752871E-1;7,387608504E-1;7,500000000E1;OUT;
2,535869203E0;-4,382752871E-1;7,387608504E-1;7,600000000E1;OUT;
2,569235903E0;-3,702454857E-1;7,217534000E-1;7,700000000E1;OUT;
2,602602603E0;-3,702454857E-1;7,047459497E-1;7,800000000E1;OUT;
2,635969303E0;-5,743348899E-1;8,237981021E-1;7,900000000E1;OUT;
2,669336003E0;-5,743348899E-1;8,237981021E-1;8,000000000E1;OUT;
2,702702703E0;-5,063050885E-1;8,237981021E-1;8,100000000E1;OUT;
2,736069403E0;-5,063050885E-1;7,557683007E-1;8,200000000E1;OUT;
2,769436103E0;-5,063050885E-1;7,557683007E-1;8,300000000E1;OUT;
2,802802803E0;-5,063050885E-1;6,367161483E-1;8,400000000E1;OUT;
2,836169503E0;-5,063050885E-1;7,047459497E-1;8,500000000E1;OUT;
2,869536203E0;-8,974764465E-1;6,027012476E-1;8,600000000E1;OUT;
2,902902903E0;-2,887348137E0;3,475894924E-1;8,700000000E1;OUT;
2,936269603E0;-5,659562543E0;4,326267441E-1;8,800000000E1;OUT;
2,969636303E0;-7,428337379E0;5,006565455E-1;8,900000000E1;OUT;
3,003003003E0;-8,669881254E0;6,537235986E-1;9,000000000E1;OUT;
3,036369703E0;-8,924993010E0;6,707310490E-1;9,100000000E1;OUT;
3,069736403E0;-9,571276123E0;7,217534000E-1;9,200000000E1;OUT;
3,103103103E0;-9,639305924E0;6,367161483E-1;9,300000000E1;OUT;
3,136469803E0;-9,384194169E0;6,537235986E-1;9,400000000E1;OUT;
3,169836503E0;-8,091627943E0;4,326267441E-1;9,500000000E1;OUT;
3,203203203E0;-7,717464035E0;9,598577048E-1;9,600000000E1;OUT;
3,236569903E0;-7,411329929E0;1,453073765E0;9,700000000E1;OUT;
3,269936603E0;-7,190233074E0;1,657163169E0;9,800000000E1;OUT;
3,303303303E0;-7,139210723E0;1,708185520E0;9,900000000E1;OUT;
3,336670003E0;-7,173225624E0;1,589133368E0;1,000000000E2;OUT;
3,370036703E0;-7,683449134E0;1,402051414E0;1,010000000E2;OUT;
3,403403403E0;-8,040605592E0;1,282999261E0;1,020000000E2;OUT;
3,436770103E0;-8,295717347E0;1,163947109E0;1,030000000E2;OUT;
3,470136803E0;-8,465791850E0;1,010880056E0;1,040000000E2;OUT;
3,503503504E0;-8,584844003E0;9,938726055E-1;1,050000000E2;OUT;
3,536870204E0;-8,703896155E0;8,748204531E-1;1,060000000E2;OUT;
3,570236904E0;-8,788933407E0;7,897832014E-1;1,070000000E2;OUT;
3,603603604E0;-8,788933407E0;6,707310490E-1;1,080000000E2;A;
3,636970304E0;-8,788933407E0;6,707310490E-1;1,090000000E2;A;
3,670337004E0;-8,839955758E0;5,856937972E-1;1,100000000E2;A;
3,703703704E0;-9,061052612E0;4,836490952E-1;1,110000000E2;A;
3,737070404E0;-9,452223970E0;3,986118434E-1;1,120000000E2;A;
3,770437104E0;-9,316164368E0;5,856937972E-1;1,130000000E2;A;
3,803803804E0;-9,316164368E0;5,856937972E-1;1,140000000E2;A;
3,837170504E0;-9,299156917E0;7,217534000E-1;1,150000000E2;A;
3,870537204E0;-9,299156917E0;7,217534000E-1;1,160000000E2;A;
3,903903904E0;-9,282149467E0;7,047459497E-1;1,170000000E2;A;
3,937270604E0;-9,282149467E0;7,047459497E-1;1,180000000E2;A;
3,970637304E0;-8,976015361E0;8,918279035E-1;1,190000000E2;A;
4,004004004E0;-8,873970659E0;1,248984361E0;1,200000000E2;A;
4,037370704E0;-8,873970659E0;1,231976910E0;1,210000000E2;A;
4,070737404E0;-8,890978109E0;9,258428042E-1;1,220000000E2;A;
4,104104104E0;-8,890978109E0;8,748204531E-1;1,230000000E2;A;
4,137470804E0;-7,700456585E0;8,067906517E-1;1,240000000E2;A;
4,170837504E0;-7,275270326E0;9,598577048E-1;1,250000000E2;A;
4,204204204E0;-3,737720654E0;1,351029063E0;1,260000000E2;A;
4,237570904E0;-2,309094825E0;4,140250919E0;1,270000000E2;OUT;
4,270937604E0;-1,151337306E-1;3,459952906E0;1,280000000E2;OUT;
4,304304304E0;5,821717336E-1;3,630027409E0;1,290000000E2;OUT;
4,337671004E0;9,223207405E-1;4,106236019E0;1,300000000E2;OUT;
4,371037704E0;9,393281909E-1;4,293317973E0;1,310000000E2;OUT;
4,404404404E0;8,712983895E-1;4,276310522E0;1,320000000E2;OUT;
4,437771104E0;8,032685881E-1;4,174265820E0;1,330000000E2;OUT;
4,471137804E0;7,862611378E-1;4,106236019E0;1,340000000E2;OUT;
4,504504505E0;6,161866343E-1;3,987183866E0;1,350000000E2;OUT;
4,537871205E0;-6,083497906E-1;3,544990157E0;1,360000000E2;OUT;
4,571237905E0;-2,802310885E0;2,813669793E0;1,370000000E2;OUT;
4,604604605E0;-6,816069167E0;1,487088666E0;1,380000000E2;OUT;
4,637971305E0;-8,397762049E0;9,258428042E-1;1,390000000E2;OUT;
4,671338005E0;-9,724343176E0;2,965671414E-1;1,400000000E2;OUT;
4,704704705E0;-1,050668589E1;1,264926379E-1;1,410000000E2;OUT;
4,738071405E0;-1,057471569E1;1,945224393E-1;1,420000000E2;OUT;
4,771438105E0;-1,048967844E1;1,605075386E-1;1,430000000E2;OUT;
4,804804805E0;-1,038763374E1;1,605075386E-1;1,440000000E2;A;
4,838171505E0;-1,033661139E1;1,605075386E-1;1,450000000E2;A;
4,871538205E0;-1,035361884E1;1,605075386E-1;1,460000000E2;A;
4,904904905E0;-1,047267099E1;2,965671414E-1;1,470000000E2;A;
4,938271605E0;-1,060873059E1;5,856937972E-1;1,480000000E2;A;
4,971638305E0;-1,067676040E1;5,856937972E-1;1,490000000E2;A;
5,005005005E0;-1,105092430E1;6,027012476E-1;1,500000000E2;A;
5,038371705E0;-1,086384235E1;5,006565455E-1;1,510000000E2;A;
5,071738405E0;-1,077880510E1;4,836490952E-1;1,520000000E2;A;
5,105105105E0;-1,089785725E1;6,707310490E-1;1,530000000E2;A;
5,138471805E0;-1,089785725E1;6,537235986E-1;1,540000000E2;A;
5,171838505E0;-1,088084980E1;5,856937972E-1;1,550000000E2;A;
5,205205205E0;-1,084683490E1;5,686863469E-1;1,560000000E2;A;
5,238571905E0;-1,084683490E1;5,006565455E-1;1,570000000E2;A;
5,271938605E0;-1,088084980E1;5,176639959E-1;1,580000000E2;A;
5,305305305E0;-1,088084980E1;5,346714462E-1;1,590000000E2;A;
5,338672005E0;-1,099990195E1;5,516788966E-1;1,600000000E2;A;
5,372038705E0;-1,103391685E1;6,027012476E-1;1,610000000E2;A;
5,405405405E0;-1,101690940E1;6,367161483E-1;1,620000000E2;A;
5,438772105E0;-1,093187215E1;5,856937972E-1;1,630000000E2;A;
