t;x;y;frame;Feeder;Comments
0,000000000E0;-7,122684555E0;2,978397807E0;0,000000000E0;OUT;
3,336670003E-2;-7,215403298E0;3,108204047E0;1,000000000E0;OUT;
6,673340007E-2;-7,289578293E0;3,071116550E0;2,000000000E0;OUT;
1,001001001E-1;-7,530647025E0;3,034029053E0;3,000000000E0;OUT;
1,334668001E-1;-8,068415735E0;2,755872823E0;4,000000000E0;OUT;
1,668335002E-1;-8,494921954E0;2,292279107E0;5,000000000E0;OUT;
2,002002002E-1;-8,420746959E0;1,754510397E0;6,000000000E0;OUT;
2,335669002E-1;-8,513465702E0;1,550529162E0;7,000000000E0;OUT;
2,669336003E-1;-8,606184445E0;1,365091676E0;8,000000000E0;OUT;
3,003003003E-1;-8,606184445E0;1,290916681E0;9,000000000E0;OUT;
3,336670003E-1;-8,439290708E0;1,179654189E0;1,000000000E1;OUT;
3,670337004E-1;-8,142590730E0;1,346547927E0;1,100000000E1;OUT;
4,004004004E-1;-8,081179050E0;1,540740574E0;1,200000000E1;OUT;
4,337671004E-1;-7,992893421E0;1,643740474E0;1,300000000E1;OUT;
4,671338005E-1;-7,389608295E0;1,687883288E0;1,400000000E1;OUT;
5,005005005E-1;-7,095322867E0;2,114597158E0;1,500000000E1;OUT;
5,338672005E-1;-6,889323068E0;2,335311228E0;1,600000000E1;OUT;
5,672339006E-1;-6,845180254E0;2,482453942E0;1,700000000E1;OUT;
6,006006006E-1;-6,815751711E0;2,467739671E0;1,800000000E1;OUT;
6,339673006E-1;-6,830465983E0;2,394168314E0;1,900000000E1;OUT;
6,673340007E-1;-6,859894525E0;2,379454042E0;2,000000000E1;OUT;
7,007007007E-1;-6,918751611E0;2,335311228E0;2,100000000E1;OUT;
7,340674007E-1;-6,962894425E0;2,291168414E0;2,200000000E1;OUT;
7,674341008E-1;-7,051180053E0;2,232311329E0;2,300000000E1;OUT;
8,008008008E-1;-7,242465581E0;2,188168514E0;2,400000000E1;OUT;
8,341675008E-1;-7,713322265E0;2,085168615E0;2,500000000E1;OUT;
8,675342009E-1;-8,434321563E0;1,776168916E0;2,600000000E1;OUT;
9,009009009E-1;-8,758035533E0;1,305312232E0;2,700000000E1;OUT;
9,342676009E-1;-9,008178146E0;1,114026704E0;2,800000000E1;OUT;
9,676343010E-1;-9,184749403E0;9,227411761E-1;2,900000000E1;A;
1,001001001E0;-9,111178046E0;9,080269047E-1;3,000000000E1;A;
1,034367701E0;-9,111178046E0;9,080269047E-1;3,100000000E1;A;
1,067734401E0;-9,096463775E0;9,080269047E-1;3,200000000E1;A;
1,101101101E0;-9,111178046E0;7,755984623E-1;3,300000000E1;A;
1,134467801E0;-9,111178046E0;7,461699196E-1;3,400000000E1;A;
1,167834501E0;-9,096463775E0;6,431700200E-1;3,500000000E1;A;
1,201201201E0;-9,096463775E0;6,431700200E-1;3,600000000E1;A;
1,234567901E0;-9,111178046E0;6,725985627E-1;3,700000000E1;A;
1,267934601E0;-9,111178046E0;6,725985627E-1;3,800000000E1;A;
1,301301301E0;-9,125892317E0;7,020271055E-1;3,900000000E1;A;
1,334668001E0;-9,155320860E0;6,725985627E-1;4,000000000E1;A;
1,368034701E0;-9,170035131E0;6,873128341E-1;4,100000000E1;A;
1,401401401E0;-9,170035131E0;7,314556482E-1;4,200000000E1;A;
1,434768101E0;-9,170035131E0;7,167413768E-1;4,300000000E1;A;
1,468134801E0;-9,170035131E0;7,020271055E-1;4,400000000E1;A;
1,501501502E0;-9,184749403E0;7,020271055E-1;4,500000000E1;A;
1,534868202E0;-9,184749403E0;7,020271055E-1;4,600000000E1;A;
1,568234902E0;-9,184749403E0;6,725985627E-1;4,700000000E1;A;
1,601601602E0;-9,184749403E0;6,431700200E-1;4,800000000E1;A;
1,634968302E0;-9,184749403E0;6,578842913E-1;4,900000000E1;A;
1,668335002E0;-9,170035131E0;6,873128341E-1;5,000000000E1;A;
1,701701702E0;-9,184749403E0;6,873128341E-1;5,100000000E1;A;
1,735068402E0;-9,199463674E0;7,314556482E-1;5,200000000E1;A;
1,768435102E0;-9,140606589E0;7,461699196E-1;5,300000000E1;A;
1,801801802E0;-9,125892317E0;7,461699196E-1;5,400000000E1;A;
1,835168502E0;-9,096463775E0;6,284557486E-1;5,500000000E1;A;
1,868535202E0;-9,140606589E0;5,843129345E-1;5,600000000E1;A;
1,901901902E0;-9,140606589E0;5,843129345E-1;5,700000000E1;A;
1,935268602E0;-9,125892317E0;5,695986631E-1;5,800000000E1;A;
1,968635302E0;-9,125892317E0;6,284557486E-1;5,900000000E1;A;
2,002002002E0;-9,140606589E0;7,167413768E-1;6,000000000E1;A;
2,035368702E0;-9,155320860E0;7,461699196E-1;6,100000000E1;A;
2,068735402E0;-9,214177946E0;8,197412765E-1;6,200000000E1;A;
2,102102102E0;-9,214177946E0;8,197412765E-1;6,300000000E1;A;
2,135468802E0;-9,184749403E0;8,050270051E-1;6,400000000E1;A;
2,168835502E0;-9,184749403E0;8,050270051E-1;6,500000000E1;A;
2,202202202E0;-9,184749403E0;7,608841910E-1;6,600000000E1;A;
2,235568902E0;-9,184749403E0;7,608841910E-1;6,700000000E1;A;
2,268935602E0;-9,228892217E0;7,020271055E-1;6,800000000E1;A;
2,302302302E0;-9,273035031E0;6,873128341E-1;6,900000000E1;A;
2,335669002E0;-9,302463574E0;6,873128341E-1;7,000000000E1;A;
2,369035702E0;-9,331892117E0;6,578842913E-1;7,100000000E1;A;
2,402402402E0;-9,331892117E0;5,990272058E-1;7,200000000E1;A;
2,435769102E0;-9,331892117E0;5,990272058E-1;7,300000000E1;A;
2,469135802E0;-9,361320659E0;5,695986631E-1;7,400000000E1;A;
2,502502503E0;-9,376034931E0;5,548843917E-1;7,500000000E1;A;
2,535869203E0;-9,390749202E0;5,990272058E-1;7,600000000E1;A;
2,569235903E0;-9,420177745E0;6,431700200E-1;7,700000000E1;A;
2,602602603E0;-9,420177745E0;6,431700200E-1;7,800000000E1;A;
2,635969303E0;-9,405463473E0;6,431700200E-1;7,900000000E1;A;
2,669336003E0;-9,405463473E0;6,578842913E-1;8,000000000E1;A;
2,702702703E0;-9,420177745E0;6,578842913E-1;8,100000000E1;A;
2,736069403E0;-9,420177745E0;6,284557486E-1;8,200000000E1;A;
2,769436103E0;-9,390749202E0;6,137414772E-1;8,300000000E1;A;
2,802802803E0;-9,361320659E0;6,137414772E-1;8,400000000E1;A;
2,836169503E0;-9,361320659E0;6,137414772E-1;8,500000000E1;A;
2,869536203E0;-9,361320659E0;6,137414772E-1;8,600000000E1;A;
2,902902903E0;-9,331892117E0;5,990272058E-1;8,700000000E1;A;
2,936269603E0;-9,317177845E0;5,254558489E-1;8,800000000E1;A;
2,969636303E0;-9,317177845E0;5,695986631E-1;8,900000000E1;A;
3,003003003E0;-9,317177845E0;5,695986631E-1;9,000000000E1;A;
3,036369703E0;-9,214177946E0;6,137414772E-1;9,100000000E1;A;
3,069736403E0;-9,243606488E0;5,843129345E-1;9,200000000E1;A;
3,103103103E0;-9,243606488E0;5,843129345E-1;9,300000000E1;A;
3,136469803E0;-9,243606488E0;5,843129345E-1;9,400000000E1;A;
3,169836503E0;-9,243606488E0;5,695986631E-1;9,500000000E1;A;
3,203203203E0;-9,243606488E0;5,695986631E-1;9,600000000E1;A;
3,236569903E0;-9,258320760E0;5,695986631E-1;9,700000000E1;A;
3,269936603E0;-9,258320760E0;5,990272058E-1;9,800000000E1;A;
3,303303303E0;-9,258320760E0;5,990272058E-1;9,900000000E1;A;
3,336670003E0;-9,258320760E0;5,990272058E-1;1,000000000E2;A;
3,370036703E0;-9,273035031E0;6,137414772E-1;1,010000000E2;A;
3,403403403E0;-9,273035031E0;6,137414772E-1;1,020000000E2;A;
3,436770103E0;-9,273035031E0;6,431700200E-1;1,030000000E2;A;
3,470136803E0;-9,287749302E0;6,578842913E-1;1,040000000E2;A;
3,503503504E0;-9,273035031E0;6,578842913E-1;1,050000000E2;A;
3,536870204E0;-9,273035031E0;6,578842913E-1;1,060000000E2;A;
3,570236904E0;-9,287749302E0;6,578842913E-1;1,070000000E2;A;
3,603603604E0;-9,302463574E0;6,578842913E-1;1,080000000E2;A;
3,636970304E0;-9,302463574E0;6,725985627E-1;1,090000000E2;A;
3,670337004E0;-9,317177845E0;7,020271055E-1;1,100000000E2;A;
3,703703704E0;-9,317177845E0;7,020271055E-1;1,110000000E2;A;
3,737070404E0;-9,508463373E0;7,461699196E-1;1,120000000E2;A;
3,770437104E0;-9,508463373E0;7,167413768E-1;1,130000000E2;A;
3,803803804E0;-9,464320559E0;7,314556482E-1;1,140000000E2;A;
3,837170504E0;-9,449606288E0;6,725985627E-1;1,150000000E2;A;
3,870537204E0;-9,449606288E0;6,725985627E-1;1,160000000E2;A;
3,903903904E0;-9,434892016E0;6,578842913E-1;1,170000000E2;A;
3,937270604E0;-9,434892016E0;6,578842913E-1;1,180000000E2;A;
3,970637304E0;-9,434892016E0;6,725985627E-1;1,190000000E2;A;
4,004004004E0;-9,434892016E0;6,725985627E-1;1,200000000E2;A;
4,037370704E0;-9,434892016E0;6,725985627E-1;1,210000000E2;A;
4,070737404E0;-9,405463473E0;6,284557486E-1;1,220000000E2;A;
4,104104104E0;-9,434892016E0;6,725985627E-1;1,230000000E2;A;
4,137470804E0;-9,420177745E0;6,725985627E-1;1,240000000E2;A;
4,170837504E0;-9,434892016E0;6,873128341E-1;1,250000000E2;A;
4,204204204E0;-9,434892016E0;6,873128341E-1;1,260000000E2;A;
4,237570904E0;-9,434892016E0;7,167413768E-1;1,270000000E2;A;
4,270937604E0;-9,434892016E0;7,167413768E-1;1,280000000E2;A;
4,304304304E0;-9,434892016E0;7,167413768E-1;1,290000000E2;A;
4,337671004E0;-9,434892016E0;7,167413768E-1;1,300000000E2;A;
4,371037704E0;-9,434892016E0;7,167413768E-1;1,310000000E2;A;
4,404404404E0;-9,434892016E0;7,167413768E-1;1,320000000E2;A;
4,437771104E0;-9,434892016E0;7,167413768E-1;1,330000000E2;A;
4,471137804E0;-9,434892016E0;7,167413768E-1;1,340000000E2;A;
4,504504505E0;-9,434892016E0;7,167413768E-1;1,350000000E2;A;
4,537871205E0;-9,434892016E0;7,167413768E-1;1,360000000E2;A;
4,571237905E0;-9,434892016E0;7,167413768E-1;1,370000000E2;A;
4,604604605E0;-9,434892016E0;7,167413768E-1;1,380000000E2;A;
4,637971305E0;-9,390749202E0;7,167413768E-1;1,390000000E2;A;
4,671338005E0;-9,390749202E0;7,167413768E-1;1,400000000E2;A;
4,704704705E0;-9,390749202E0;7,167413768E-1;1,410000000E2;A;
4,738071405E0;-9,390749202E0;7,167413768E-1;1,420000000E2;A;
4,771438105E0;-9,376034931E0;6,873128341E-1;1,430000000E2;A;
4,804804805E0;-9,361320659E0;6,725985627E-1;1,440000000E2;A;
4,838171505E0;-9,361320659E0;7,020271055E-1;1,450000000E2;A;
4,871538205E0;-9,361320659E0;7,020271055E-1;1,460000000E2;A;
4,904904905E0;-9,361320659E0;6,873128341E-1;1,470000000E2;A;
4,938271605E0;-9,361320659E0;6,873128341E-1;1,480000000E2;A;
4,971638305E0;-9,361320659E0;6,725985627E-1;1,490000000E2;A;
5,005005005E0;-9,376034931E0;6,431700200E-1;1,500000000E2;A;
5,038371705E0;-9,376034931E0;6,431700200E-1;1,510000000E2;A;
5,071738405E0;-9,405463473E0;6,137414772E-1;1,520000000E2;A;
5,105105105E0;-9,405463473E0;6,284557486E-1;1,530000000E2;A;
5,138471805E0;-9,405463473E0;6,725985627E-1;1,540000000E2;A;
5,171838505E0;-9,434892016E0;6,873128341E-1;1,550000000E2;A;
5,205205205E0;-9,449606288E0;7,020271055E-1;1,560000000E2;A;
5,238571905E0;-9,449606288E0;7,020271055E-1;1,570000000E2;A;
5,271938605E0;-9,434892016E0;6,725985627E-1;1,580000000E2;A;
5,305305305E0;-9,523177644E0;7,020271055E-1;1,590000000E2;A;
5,338672005E0;-9,523177644E0;7,020271055E-1;1,600000000E2;A;
5,372038705E0;-9,523177644E0;7,314556482E-1;1,610000000E2;A;
5,405405405E0;-9,508463373E0;7,314556482E-1;1,620000000E2;A;
5,438772105E0;-9,508463373E0;7,314556482E-1;1,630000000E2;A;
5,472138805E0;-9,508463373E0;7,314556482E-1;1,640000000E2;A;
5,505505506E0;-9,508463373E0;7,461699196E-1;1,650000000E2;A;
5,538872206E0;-9,508463373E0;7,461699196E-1;1,660000000E2;A;
5,572238906E0;-9,523177644E0;7,461699196E-1;1,670000000E2;A;
5,605605606E0;-9,523177644E0;7,461699196E-1;1,680000000E2;A;
5,638972306E0;-9,523177644E0;7,461699196E-1;1,690000000E2;A;
5,672339006E0;-9,523177644E0;7,461699196E-1;1,700000000E2;A;
5,705705706E0;-9,523177644E0;7,461699196E-1;1,710000000E2;A;
5,739072406E0;-9,523177644E0;7,461699196E-1;1,720000000E2;A;
5,772439106E0;-9,523177644E0;7,461699196E-1;1,730000000E2;A;
5,805805806E0;-9,479034830E0;6,431700200E-1;1,740000000E2;A;
5,839172506E0;-9,537891916E0;5,843129345E-1;1,750000000E2;A;
5,872539206E0;-9,537891916E0;5,990272058E-1;1,760000000E2;A;
5,905905906E0;-9,552606187E0;6,137414772E-1;1,770000000E2;A;
5,939272606E0;-9,552606187E0;6,431700200E-1;1,780000000E2;A;
5,972639306E0;-9,537891916E0;6,284557486E-1;1,790000000E2;A;
6,006006006E0;-9,537891916E0;6,137414772E-1;1,800000000E2;A;
6,039372706E0;-9,537891916E0;6,137414772E-1;1,810000000E2;A;
6,072739406E0;-9,552606187E0;6,431700200E-1;1,820000000E2;A;
6,106106106E0;-9,552606187E0;6,431700200E-1;1,830000000E2;A;
6,139472806E0;-9,552606187E0;6,284557486E-1;1,840000000E2;A;
6,172839506E0;-9,552606187E0;6,284557486E-1;1,850000000E2;A;
6,206206206E0;-9,552606187E0;6,137414772E-1;1,860000000E2;A;
6,239572906E0;-9,552606187E0;6,137414772E-1;1,870000000E2;A;
6,272939606E0;-9,567320459E0;6,137414772E-1;1,880000000E2;A;
6,306306306E0;-9,611463273E0;6,137414772E-1;1,890000000E2;A;
6,339673006E0;-9,640891815E0;6,137414772E-1;1,900000000E2;A;
6,373039706E0;-9,670320358E0;6,578842913E-1;1,910000000E2;A;
6,406406406E0;-9,670320358E0;7,167413768E-1;1,920000000E2;A;
6,439773106E0;-9,670320358E0;6,873128341E-1;1,930000000E2;A;
6,473139806E0;-9,670320358E0;6,873128341E-1;1,940000000E2;A;
6,506506507E0;-9,670320358E0;6,725985627E-1;1,950000000E2;A;
6,539873207E0;-9,670320358E0;6,725985627E-1;1,960000000E2;A;
6,573239907E0;-9,626177544E0;6,873128341E-1;1,970000000E2;A;
6,606606607E0;-9,626177544E0;6,725985627E-1;1,980000000E2;A;
6,639973307E0;-9,626177544E0;6,725985627E-1;1,990000000E2;A;
6,673340007E0;-9,626177544E0;6,725985627E-1;2,000000000E2;A;
6,706706707E0;-9,626177544E0;6,725985627E-1;2,010000000E2;A;
6,740073407E0;-9,626177544E0;6,725985627E-1;2,020000000E2;A;
6,773440107E0;-9,626177544E0;6,725985627E-1;2,030000000E2;A;
6,806806807E0;-9,626177544E0;6,725985627E-1;2,040000000E2;A;
6,840173507E0;-9,626177544E0;6,725985627E-1;2,050000000E2;A;
6,873540207E0;-9,596749001E0;7,167413768E-1;2,060000000E2;A;
6,906906907E0;-9,596749001E0;7,167413768E-1;2,070000000E2;A;
6,940273607E0;-9,596749001E0;7,167413768E-1;2,080000000E2;A;
6,973640307E0;-9,596749001E0;7,167413768E-1;2,090000000E2;A;
7,007007007E0;-9,596749001E0;7,167413768E-1;2,100000000E2;A;
7,040373707E0;-9,596749001E0;7,167413768E-1;2,110000000E2;A;
7,073740407E0;-9,596749001E0;7,167413768E-1;2,120000000E2;A;
7,107107107E0;-9,596749001E0;7,167413768E-1;2,130000000E2;A;
7,140473807E0;-9,582034730E0;7,020271055E-1;2,140000000E2;A;
7,173840507E0;-9,582034730E0;6,725985627E-1;2,150000000E2;A;
7,207207207E0;-9,596749001E0;6,578842913E-1;2,160000000E2;A;
7,240573907E0;-9,596749001E0;6,578842913E-1;2,170000000E2;A;
7,273940607E0;-9,596749001E0;6,725985627E-1;2,180000000E2;A;
7,307307307E0;-9,582034730E0;6,873128341E-1;2,190000000E2;A;
7,340674007E0;-9,582034730E0;6,873128341E-1;2,200000000E2;A;
7,374040707E0;-9,582034730E0;6,873128341E-1;2,210000000E2;A;
7,407407407E0;-9,523177644E0;6,725985627E-1;2,220000000E2;A;
7,440774107E0;-9,523177644E0;6,725985627E-1;2,230000000E2;A;
7,474140807E0;-9,552606187E0;6,725985627E-1;2,240000000E2;A;
7,507507508E0;-9,552606187E0;7,020271055E-1;2,250000000E2;A;
7,540874208E0;-9,214177946E0;8,050270051E-1;2,260000000E2;A;
7,574240908E0;-9,493749102E0;7,314556482E-1;2,270000000E2;A;
7,607607608E0;-9,523177644E0;7,461699196E-1;2,280000000E2;A;
7,640974308E0;-9,508463373E0;7,755984623E-1;2,290000000E2;A;
7,674341008E0;-8,552035734E0;5,843129345E-1;2,300000000E2;A;
7,707707708E0;-7,566179551E0;3,783131352E-1;2,310000000E2;A;
7,741074408E0;-6,256609399E0;-2,249719912E-1;2,320000000E2;OUT;
7,774441108E0;-5,815181258E0;-2,396862626E-1;2,330000000E2;OUT;
7,807807808E0;-5,020610603E0;3,988489353E-2;2,340000000E2;OUT;
7,841174508E0;-4,696896633E0;1,281705218E-1;2,350000000E2;OUT;
7,874541208E0;-4,446754020E0;3,783131352E-1;2,360000000E2;OUT;
7,907907908E0;-4,314325577E0;5,107415776E-1;2,370000000E2;OUT;
7,941274608E0;-4,520325377E0;5,107415776E-1;2,380000000E2;OUT;
7,974641308E0;-4,593896733E0;3,930274066E-1;2,390000000E2;OUT;
8,008008008E0;-4,682182362E0;2,900275069E-1;2,400000000E2;OUT;
8,041374708E0;-4,726325176E0;2,458846928E-1;2,410000000E2;OUT;
8,074741408E0;-4,829325075E0;1,575990645E-1;2,420000000E2;OUT;
8,108108108E0;-4,873467890E0;1,870276073E-1;2,430000000E2;OUT;
8,141474808E0;-5,079467689E0;4,224559493E-1;2,440000000E2;OUT;
8,174841508E0;-4,991182061E0;6,137414772E-1;2,450000000E2;OUT;
8,208208208E0;-5,182467588E0;6,873128341E-1;2,460000000E2;OUT;
8,241574908E0;-5,197181860E0;9,227411761E-1;2,470000000E2;OUT;
8,274941608E0;-5,138324774E0;1,040455347E0;2,480000000E2;OUT;
8,308308308E0;-5,153039046E0;9,668839902E-1;2,490000000E2;OUT;
8,341675008E0;-5,153039046E0;9,668839902E-1;2,500000000E2;OUT;
8,375041708E0;-5,167753317E0;9,668839902E-1;2,510000000E2;OUT;
8,408408408E0;-5,167753317E0;9,815982616E-1;2,520000000E2;OUT;
8,441775108E0;-5,167753317E0;9,963125330E-1;2,530000000E2;OUT;
8,475141808E0;-5,182467588E0;1,040455347E0;2,540000000E2;OUT;
8,508508509E0;-5,226610403E0;1,187598061E0;2,550000000E2;OUT;
8,541875209E0;-5,300181759E0;1,069883890E0;2,560000000E2;OUT;
8,575241909E0;-5,314896031E0;9,815982616E-1;2,570000000E2;OUT;
8,608608609E0;-5,329610302E0;1,055169618E0;2,580000000E2;OUT;
8,641975309E0;-5,344324574E0;1,143455247E0;2,590000000E2;OUT;
8,675342009E0;-5,359038845E0;1,172883790E0;2,600000000E2;OUT;
8,708708709E0;-5,359038845E0;1,172883790E0;2,610000000E2;OUT;
8,742075409E0;-5,359038845E0;1,172883790E0;2,620000000E2;OUT;
8,775442109E0;-5,359038845E0;1,231740875E0;2,630000000E2;OUT;
8,808808809E0;-5,359038845E0;1,275883689E0;2,640000000E2;OUT;
8,842175509E0;-5,373753116E0;1,290597961E0;2,650000000E2;OUT;
8,875542209E0;-5,417895930E0;1,275883689E0;2,660000000E2;OUT;
8,908908909E0;-5,417895930E0;1,231740875E0;2,670000000E2;OUT;
8,942275609E0;-5,432610202E0;1,231740875E0;2,680000000E2;OUT;
8,975642309E0;-6,830465983E0;2,158739972E0;2,690000000E2;OUT;
9,009009009E0;-7,301322667E0;2,247025600E0;2,700000000E2;OUT;
9,042375709E0;-7,551465280E0;2,158739972E0;2,710000000E2;OUT;
9,075742409E0;-7,595608094E0;2,188168514E0;2,720000000E2;OUT;
9,109109109E0;-7,816322165E0;2,129311429E0;2,730000000E2;OUT;
9,142475809E0;-7,963464879E0;1,908597358E0;2,740000000E2;OUT;
9,175842509E0;-7,934036336E0;1,952740172E0;2,750000000E2;OUT;
9,209209209E0;-7,860464979E0;1,938025901E0;2,760000000E2;OUT;
9,242575909E0;-7,860464979E0;1,982168715E0;2,770000000E2;OUT;
9,275942609E0;-7,860464979E0;1,952740172E0;2,780000000E2;OUT;
9,309309309E0;-7,875179250E0;1,908597358E0;2,790000000E2;OUT;
9,342676009E0;-8,331321663E0;1,629026202E0;2,800000000E2;OUT;
9,376042709E0;-8,655035633E0;1,378883589E0;2,810000000E2;OUT;
9,409409409E0;-8,743321262E0;1,158169518E0;2,820000000E2;OUT;
9,442776109E0;-8,713892719E0;9,668839902E-1;2,830000000E2;OUT;
9,476142809E0;-8,640321362E0;8,344555478E-1;2,840000000E2;OUT;
9,509509510E0;-8,640321362E0;8,344555478E-1;2,850000000E2;OUT;
9,542876210E0;-8,610892819E0;8,491698192E-1;2,860000000E2;OUT;
9,576242910E0;-8,566750005E0;9,963125330E-1;2,870000000E2;OUT;
9,609609610E0;-8,640321362E0;1,261169418E0;2,880000000E2;OUT;
9,642976310E0;-8,478464377E0;1,275883689E0;2,890000000E2;OUT;
9,676343010E0;-9,140606589E0;1,570169117E0;2,900000000E2;OUT;
9,709709710E0;-9,905748700E0;1,717311830E0;2,910000000E2;OUT;
9,743076410E0;-1,162731845E1;2,188168514E0;2,920000000E2;OUT;
9,776443110E0;-1,281917443E1;2,144025700E0;2,930000000E2;OUT;
9,809809810E0;-1,326060257E1;2,320596957E0;2,940000000E2;OUT;
9,843176510E0;-1,327531685E1;2,291168414E0;2,950000000E2;OUT;
9,876543210E0;-1,321645976E1;2,364739771E0;2,960000000E2;OUT;
9,909909910E0;-1,320174549E1;2,291168414E0;2,970000000E2;OUT;
9,943276610E0;-1,320174549E1;2,335311228E0;2,980000000E2;OUT;
9,976643310E0;-1,320174549E1;2,305882685E0;2,990000000E2;OUT;
1,001001001E1;-1,359903082E1;2,453025399E0;3,000000000E2;OUT;
1,004337671E1;-1,436810444E1;2,691546918E0;3,010000000E2;OUT;
1,007674341E1;-1,586670528E1;2,525035714E0;3,020000000E2;OUT;
1,011011011E1;-1,680333081E1;2,171199404E0;3,030000000E2;OUT;
1,014347681E1;-1,699065591E1;2,212827205E0;3,040000000E2;OUT;
1,017684351E1;-1,746937563E1;2,296082807E0;3,050000000E2;OUT;
1,021021021E1;-1,709472542E1;2,358524509E0;3,060000000E2;OUT;
1,024357691E1;-1,692821421E1;2,420966211E0;3,070000000E2;OUT;
1,027694361E1;-1,686577251E1;2,504221813E0;3,080000000E2;OUT;
1,031031031E1;-1,674088911E1;2,566663515E0;3,090000000E2;OUT;
1,034367701E1;-1,665763350E1;2,525035714E0;3,100000000E2;OUT;
1,037704371E1;-1,659519180E1;2,483407912E0;3,110000000E2;OUT;
1,041041041E1;-1,657437790E1;2,400152310E0;3,120000000E2;OUT;
1,044377711E1;-1,657437790E1;2,400152310E0;3,130000000E2;OUT;
1,047714381E1;-1,651193620E1;2,379338410E0;3,140000000E2;OUT;
1,051051051E1;-1,638705280E1;2,462594012E0;3,150000000E2;OUT;
1,054387721E1;-1,588751918E1;2,296082807E0;3,160000000E2;OUT;
1,057724391E1;-1,363961792E1;2,275268907E0;3,170000000E2;OUT;
1,061061061E1;-1,043427723E1;1,983874299E0;3,180000000E2;OUT;
1,064397731E1;-1,026776603E1;2,087943802E0;3,190000000E2;OUT;
1,067734401E1;-9,809860217E0;1,879804796E0;3,200000000E2;OUT;
1,071071071E1;-9,289512702E0;1,713293591E0;3,210000000E2;OUT;
