"fileid","birdid","Season","terr","Nouts","durIns_mean","durIns_sum","durOuts_mean","durOuts_sum","totFor","arousal"
"1152",236,2014,"Floater",1,0.9405,1.881,0.759,0.759,2.64,2.33740321418355
"1153",312,2014,"Territorial",0,10.032,10.032,0,0,10.032,3.23671423322868
"1156",312,2014,"Territorial",0,6.237,6.237,0,0,6.237,2.4175283451396
"1171",292,2014,"Territorial",2,4.059,12.177,0.6765,1.353,13.53,2.30893231215189
"1183",271,2014,"Territorial",3,2.3265,9.306,2.277,6.831,16.137,1.96275686583614
"1186",291,2014,"Territorial",5,2.4035,14.421,0.9768,4.884,19.305,2.96587096474172
"1193",203,2014,"Territorial",8,1.562,14.058,0.754875,6.039,20.097,2.67681386449453
"1236",312,2014,"Territorial",0,2.211,2.211,0,0,2.211,1.46750011313014
"1238",312,2014,"Territorial",0,8.184,8.184,0,0,8.184,2.8310949236897
"1242",316,2014,"Floater",8,2.19266666666667,19.734,0.86625,6.93,26.664,2.19316083910364
"1245",236,2014,"Floater",5,1.243,7.458,0.6072,3.036,10.494,1.7229210840775
"1252",312,2014,"Territorial",0,7.029,7.029,0,0,7.029,1.82686128917707
"1259",312,2014,"Territorial",0,13.695,13.695,0,0,13.695,2.41069101164091
"1349",312,2014,"Territorial",1,4.6035,9.207,1.584,1.584,10.791,1.94549335230131
"1352",312,2014,"Territorial",0,6.072,6.072,0,0,6.072,3.67712079442795
"1357",312,2014,"Territorial",0,11.385,11.385,0,0,11.385,2.57416793586907
"1366",316,2014,"Floater",9,1.881,18.81,0.715,6.435,25.245,2.58728755984629
"1368",312,2014,"Territorial",0,13.332,13.332,0,0,13.332,3.0562510569327
"1370",316,2014,"Floater",11,1.2045,14.454,0.738,8.118,22.572,1.7927866802575
"1386",323,2014,"Floater",8,1.14766666666667,10.329,1.16325,9.306,19.635,2.59591921368488
"1395",323,2014,"Floater",8,1.507,13.563,0.796125,6.369,19.932,2.44687699332535
"1418",236,2014,"Floater",4,0.8448,4.224,0.70125,2.805,7.029,1.50078607679342
