"fileid","birdid","Season","terr","Nouts","durIns_mean","durIns_sum","durOuts_mean","durOuts_sum","totFor","arousal"
"1419",319,2014,"Unknown",0,17.127,17.127,0,0,17.127,3.14387677094967
"1420",312,2014,"Territorial",2,2.992,8.976,1.8645,3.729,12.705,2.50166264895709
"1428",236,2014,"Floater",10,0.843,9.273,0.759,7.59,16.863,1.54850524512023
"1430",319,2014,"Unknown",2,3.135,9.405,3.7125,7.425,16.83,2.25941214791557
"1435",314,2014,"Territorial",2,3.938,11.814,0.8085,1.617,13.431,4.24516493747405
"1436",316,2014,"Floater",13,0.987642857142857,13.827,0.792,10.296,24.123,1.5838163515944
"1437",312,2014,"Territorial",2,2.673,8.019,1.0725,2.145,10.164,2.39364276310497
"1442",312,2014,"Territorial",0,8.58,8.58,0,0,8.58,4.082639129134
"1444",316,2014,"Floater",9,1.4025,14.025,0.572,5.148,19.173,1.71390098873101
"1445",314,2014,"Territorial",1,4.455,8.91,0.726,0.726,9.636,2.9383620861143
"1450",312,2014,"Territorial",1,5.8575,11.715,3.135,3.135,14.85,3.09841032098635
"1453",236,2014,"Floater",8,1.21366666666667,10.923,0.63525,5.082,16.005,2.02795961646077
"1454",312,2014,"Territorial",1,6.1545,12.309,1.353,1.353,13.662,2.30073768978228
"1464",312,2014,"Territorial",1,6.963,13.926,0.429,0.429,14.355,2.10108512805119
"1465",314,2014,"Territorial",6,1.43785714285714,10.065,0.715,4.29,14.355,2.49001164625981
"1466",236,2014,"Floater",12,0.883384615384615,11.484,0.517,6.204,17.688,1.83296808148911
"1472",319,2014,"Unknown",1,8.976,17.952,2.739,2.739,20.691,3.5209081178607
"1473",312,2014,"Territorial",4,2.211,11.055,0.99,3.96,15.015,2.39954955504076
"1475",314,2014,"Territorial",1,6.501,13.002,0.561,0.561,13.563,4.06323593600778
"1476",316,2014,"Floater",1,2.211,4.422,0.396,0.396,4.818,2.24494159471972
"1478",316,2014,"Floater",6,1.67357142857143,11.715,0.517,3.102,14.817,2.200396547771
"1483",316,2014,"Floater",9,1.1154,11.154,0.949666666666667,8.547,19.701,1.96232154643863
"1486",316,2014,"Floater",11,1.16325,13.959,0.756,8.316,22.275,1.67745909831476
"1492",236,2014,"Floater",1,0.627,1.254,0.495,0.495,1.749,1.85246698294517
"1495",316,2014,"Floater",7,0.820875,6.567,0.66,4.62,11.187,2.07115085915225
"1497",316,2014,"Floater",5,2.2165,13.299,0.7458,3.729,17.028,2.88340581748078
"1498",312,2014,"Territorial",1,3.8775,7.755,0.759,0.759,8.514,4.31885501086238
"1501",316,2014,"Floater",3,2.13675,8.547,0.495,1.485,10.032,2.85195558539143
"1503",314,2014,"Territorial",2,4.675,14.025,1.5015,3.003,17.028,3.32601689144826
"1504",316,2014,"Floater",5,1.507,9.042,1.0098,5.049,14.091,2.5734299704994
"1601",292,2014,"Territorial",7,1.188,9.504,0.603428571428571,4.224,13.728,2.23862138927499
"1605",292,2014,"Territorial",4,1.518,7.59,1.42725,5.709,13.299,2.69065783544441
"1621",301,2014,"Territorial",5,0.9735,5.841,0.7854,3.927,9.768,1.6949973389736
"843",303,2014,"Floater",2,5.489,16.467,0.6765,1.353,17.82,2.0678138122853
"856",303,2014,"Floater",1,6.7815,13.563,0.924,0.924,14.487,2.12018392965693
"958",292,2014,"Territorial",2,4.169,12.507,0.9735,1.947,14.454,2.4486456590418
"969",292,2014,"Territorial",8,1.40066666666667,12.606,0.763125,6.105,18.711,2.12267404296524
"970",203,2014,"Territorial",9,1.6566,16.566,0.685666666666667,6.171,22.737,1.84094065012705
"975",292,2014,"Territorial",5,1.9965,11.979,0.6666,3.333,15.312,2.14599718285499
"vlc-record-2015-06-21-16h59m58s-CogExp.SUR.2015.6.9.7.19.MOV-",292,2015,"Territorial",2,1.804,5.412,1.0065,2.013,7.425,3.22048762637726
"vlc-record-2015-06-21-17h16m55s-CogExp.SUR.2015.6.9.8.18.MOV-",292,2015,"Territorial",3,1.584,6.336,1.045,3.135,9.471,2.21446376127968
"vlc-record-2015-06-21-18h11m02s-CogExp.SUR.2015.6.9.9.20.MOV-",301,2015,"Territorial",1,4.1415,8.283,0.792,0.792,9.075,2.86302166557818
"vlc-record-2015-06-21-18h13m25s-CogExp.SUR.2015.6.10.6.38.MOV-",353,2015,"Territorial",2,1.925,5.775,1.1385,2.277,8.052,2.20798765930147
"vlc-record-2015-06-21-18h14m26s-CogExp.SUR.2015.6.10.6.38.MOV-",292,2015,"Territorial",3,1.67475,6.699,1.034,3.102,9.801,2.47777642140666
"vlc-record-2015-06-21-18h15m34s-CogExp.SUR.2015.6.10.6.38.MOV-",301,2015,"Territorial",6,1.89514285714286,13.266,0.7535,4.521,17.787,2.71145635804739
"vlc-record-2015-06-21-18h16m43s-CogExp.SUR.2015.6.10.6.38.MOV-",364,2015,"Floater",3,2.43375,9.735,1.144,3.432,13.167,2.46423733871199
"vlc-record-2015-06-21-18h18m08s-CogExp.SUR.2015.6.10.7.08.MOV-",292,2015,"Territorial",2,2.86,8.58,0.7095,1.419,9.999,3.84299692232116
"vlc-record-2015-06-21-18h19m11s-CogExp.SUR.2015.6.10.7.08.MOV-",301,2015,"Territorial",1,5.5275,11.055,1.716,1.716,12.771,4.11002633137393
"vlc-record-2015-06-21-18h25m21s-CogExp.SUR.2015.6.10.7.37.MOV-",292,2015,"Territorial",1,3.366,6.732,1.551,1.551,8.283,4.65408086182687
"vlc-record-2015-06-21-18h27m06s-CogExp.SUR.2015.6.10.7.37.MOV-",143,2015,"Territorial",3,2.28525,9.141,1.76,5.28,14.421,3.09957212797111
"vlc-record-2015-06-21-18h29m05s-CogExp.SUR.2015.6.10.7.58.MOV-",364,2015,"Floater",1,5.28,10.56,0.627,0.627,11.187,3.43628604764949
"vlc-record-2015-06-21-18h30m54s-CogExp.SUR.2015.6.10.8.27.MOV-",364,2015,"Floater",1,2.7885,5.577,0.66,0.66,6.237,2.82364408406591
"vlc-record-2015-06-21-18h32m25s-CogExp.SUR.2015.6.10.8.55.MOV-",301,2015,"Territorial",3,1.67475,6.699,0.847,2.541,9.24,3.68609348891112
"vlc-record-2015-06-21-18h33m41s-CogExp.SUR.2015.6.10.9.10.MOV-",292,2015,"Territorial",1,3.993,7.986,1.254,1.254,9.24,5.00925627594465
"vlc-record-2015-06-21-18h36m25s-CogExp.SUR.2015.6.10.9.10.MOV-",364,2015,"Floater",1,2.673,5.346,0.858,0.858,6.204,3.31581858552215
"vlc-record-2015-06-21-18h37m19s-CogExp.SUR.2015.6.10.9.10.MOV-",301,2015,"Territorial",1,3.8115,7.623,0.561,0.561,8.184,4.31288171404729
"vlc-record-2015-06-21-18h38m32s-CogExp.SUR.2015.6.10.9.32.MOV-",292,2015,"Territorial",3,1.77375,7.095,0.935,2.805,9.9,2.98162321554169
"vlc-record-2015-06-21-18h40m38s-CogExp.SUR.2015.6.10.9.55.MOV-",364,2015,"Floater",1,6.2865,12.573,0.891,0.891,13.464,3.16306932386987
"vlc-record-2015-06-21-18h46m30s-CogExp.SUR.2015.6.10.10.17.MOV-",353,2015,"Territorial",5,2.6015,15.609,2.1252,10.626,26.235,2.76454493500599
"vlc-record-2015-06-21-18h48m14s-CogExp.SUR.2015.6.10.6.42.MOV-",301,2015,"Territorial",0,1.353,1.353,0,0,1.353,NA
"vlc-record-2015-06-21-18h53m07s-CogExp.SUR.2015.6.10.7.11.MOV-",301,2015,"Territorial",1,2.145,4.29,0.528,0.528,4.818,3.37360148415499
"vlc-record-2015-06-21-18h56m29s-CogExp.SUR.2015.6.11.7.40.MOV-",301,2015,"Territorial",2,3.487,10.461,0.4455,0.891,11.352,5.39559575264821
"vlc-record-2015-06-21-18h59m05s-CogExp.SUR.2015.6.11.8.09.MOV-",301,2015,"Territorial",2,2.827,8.481,0.6765,1.353,9.834,2.9043687757689
"vlc-record-2015-06-22-22h35m33s-CogExp.SUR.2015.6.11.8.09.MOV-",292,2015,"Territorial",2,1.892,5.676,0.4785,0.957,6.633,2.63432875001681
"vlc-record-2015-06-22-22h37m28s-CogExp.SUR.2015.6.11.8.09.MOV-",367,2015,"Floater",2,2.42,7.26,1.98,3.96,11.22,3.69888792584828
"vlc-record-2015-06-22-22h40m10s-CogExp.SUR.2015.6.11.8.09.MOV-",301,2015,"Territorial",3,1.98,7.92,1.067,3.201,11.121,3.93222790611291
"vlc-record-2015-06-22-22h41m47s-CogExp.SUR.2015.6.11.8.41.MOV-",301,2015,"Territorial",5,1.859,11.154,1.0362,5.181,16.335,3.14513342400741
"vlc-record-2015-06-22-22h56m07s-CogExp.SUR.2015.6.11.9.10.MOV-",364,2015,"Floater",1,2.9205,5.841,1.287,1.287,7.128,3.24469349250463
"vlc-record-2015-06-22-23h02m20s-CogExp.SUR.2015.6.11.9.10.MOV-",301,2015,"Territorial",4,1.8216,9.108,0.70125,2.805,11.913,3.28020152705632
"vlc-record-2015-06-23-00h08m01s-CogExp.SUR.2015.6.11.9.39.MOV-",301,2015,"Territorial",2,3.707,11.121,1.0065,2.013,13.134,3.8551562349148
"vlc-record-2015-06-23-00h09m45s-CogExp.SUR.2015.6.11.10.10.MOV-",367,2015,"Floater",4,2.6334,13.167,2.86275,11.451,24.618,2.89244712505997
"vlc-record-2015-06-23-00h14m21s-CogExp.SUR.2015.6.11.10.10.MOV-",301,2015,"Territorial",1,5.2635,10.527,1.254,1.254,11.781,5.40308065584207
"vlc-record-2015-06-23-00h18m33s-CogExp.SUR.2015.6.12.7.11B.MOV-",292,2015,"Territorial",6,1.16914285714286,8.184,0.7315,4.389,12.573,2.70050874492617
"vlc-record-2015-06-23-00h19m48s-CogExp.SUR.2015.6.12.7.11B.MOV-",301,2015,"Territorial",6,1.91871428571429,13.431,0.594,3.564,16.995,3.27384403016809
"vlc-record-2015-06-23-00h26m55s-CogExp.SUR.2015.6.12.8.08.MOV-",292,2015,"Territorial",2,2.486,7.458,0.6105,1.221,8.679,5.56675875773565
"vlc-record-2015-06-23-00h29m02s-CogExp.SUR.2015.6.12.8.35.MOV-",364,2015,"Floater",1,6.204,12.408,1.947,1.947,14.355,3.55688649680546
"vlc-record-2015-06-29-15h19m18s-CogExp.SUR.2015.6.12.8.35.MOV-",292,2015,"Territorial",1,3.564,7.128,0.528,0.528,7.656,3.74583344112848
"vlc-record-2015-06-29-15h20m30s-CogExp.SUR.2015.6.12.8.35.MOV-",292,2015,"Territorial",0,5.808,5.808,0,0,5.808,5.32245658143894
"vlc-record-2015-06-29-15h41m10s-CogExp.SUR.2015.6.12.9.40.MOV-",292,2015,"Territorial",0,11.187,11.187,0,0,11.187,4.7129781610885
"vlc-record-2015-06-29-15h47m40s-CogExp.SUR.2015.6.15.7.01.MOV-",364,2015,"Floater",4,1.7028,8.514,0.4785,1.914,10.428,2.51856655255379
"vlc-record-2015-06-29-15h49m38s-CogExp.SUR.2015.6.15.7.01.MOV-",301,2015,"Territorial",4,2.2968,11.484,0.65175,2.607,14.091,3.04812119901953
"vlc-record-2015-06-29-15h50m50s-CogExp.SUR.2015.6.15.7.01.MOV-",364,2015,"Floater",4,2.31,11.55,0.5445,2.178,13.728,2.90856115172299
"vlc-record-2015-06-29-15h52m42s-CogExp.SUR.2015.6.15.7.36.MOV-",353,2015,"Territorial",2,1.375,4.125,1.1715,2.343,6.468,2.76842419985812
"vlc-record-2015-06-29-15h55m29s-CogExp.SUR.2015.6.15.8.05.MOV-",364,2015,"Floater",2,1.771,5.313,0.3465,0.693,6.006,2.30887528350109
"vlc-record-2015-06-29-15h56m41s-CogExp.SUR.2015.6.15.8.34.MOV-",356,2015,"Territorial",5,1.265,7.59,1.0824,5.412,13.002,1.93153044476812
"vlc-record-2015-06-29-15h58m21s-CogExp.SUR.2015.6.15.8.34.MOV-",367,2015,"Floater",3,3.0195,12.078,1.067,3.201,15.279,2.64153249965184
"vlc-record-2015-06-29-16h31m00s-CogExp.SUR.2015.6.15.8.34.MOV-",353,2015,"Territorial",1,2.3595,4.719,1.584,1.584,6.303,2.76568871328383
"vlc-record-2015-06-29-16h35m47s-CogExp.SUR.2015.6.16.7.58.MOV-",353,2015,"Territorial",1,3.5145,7.029,0.924,0.924,7.953,4.94020258029152
"vlc-record-2015-06-29-16h37m15s-CogExp.SUR.2015.6.16.7.58.MOV-",292,2015,"Territorial",4,1.4058,7.029,0.80025,3.201,10.23,2.88724876102713
"vlc-record-2015-06-29-16h39m30s-CogExp.SUR.2015.6.16.7.58.MOV-",364,2015,"Floater",0,9.636,9.636,0,0,9.636,2.5709847917844
"vlc-record-2015-06-29-16h41m52s-CogExp.SUR.2015.6.16.8.28.MOV-",357,2015,"Territorial",8,1.793,16.137,2.2935,18.348,34.485,2.31146475458826
"vlc-record-2015-06-29-16h44m01s-CogExp.SUR.2015.6.16.8.28.MOV-",301,2015,"Territorial",6,1.62171428571429,11.352,0.8745,5.247,16.599,2.96641835225749
"vlc-record-2015-06-29-16h45m21s-CogExp.SUR.2015.6.16.8.28.MOV-",357,2015,"Territorial",2,3.223,9.669,0.9075,1.815,11.484,3.62204482617848
"vlc-record-2015-06-29-16h46m48s-CogExp.SUR.2015.6.16.8.28.MOV-",292,2015,"Territorial",4,1.2408,6.204,1.056,4.224,10.428,3.45652231274832
"vlc-record-2015-06-29-16h47m47s-CogExp.SUR.2015.6.16.8.28.MOV-",356,2015,"Territorial",6,0.556285714285714,3.894,1.4685,8.811,12.705,2.18711064881608
"vlc-record-2015-06-29-16h50m28s-CogExp.SUR.2015.6.16.8.59.MOV-",301,2015,"Territorial",5,1.5125,9.075,0.8514,4.257,13.332,3.20222098453123
"vlc-record-2015-06-29-16h51m36s-CogExp.SUR.2015.6.16.8.59.MOV-",364,2015,"Floater",0,6.732,6.732,0,0,6.732,2.94450444243703
"vlc-record-2015-06-29-16h52m44s-CogExp.SUR.2015.6.16.9.29.MOV-",356,2015,"Territorial",2,1.133,3.399,1.98,3.96,7.359,2.61489711894938
"vlc-record-2015-06-29-16h53m36s-CogExp.SUR.2015.6.16.9.29.MOV-",292,2015,"Territorial",1,3.0855,6.171,0.726,0.726,6.897,3.75055568745357
"vlc-record-2015-06-29-16h54m57s-CogExp.SUR.2015.6.16.9.29.MOV-",357,2015,"Territorial",1,4.191,8.382,1.056,1.056,9.438,3.52556359772078
"vlc-record-2015-06-29-16h56m12s-CogExp.SUR.2015.6.17.7.07.MOV-",356,2015,"Territorial",6,1.155,8.085,0.924,5.544,13.629,2.20357959795753
"vlc-record-2015-06-29-16h57m24s-CogExp.SUR.2015.6.17.7.07.MOV-",353,2015,"Territorial",7,1.266375,10.131,0.924,6.468,16.599,2.09943775970155
"vlc-record-2015-06-29-17h02m33s-CogExp.SUR.2015.6.17.7.37.MOV-",301,2015,"Territorial",8,1.10733333333333,9.966,0.70125,5.61,15.576,2.31803001074139
"vlc-record-2015-06-29-17h03m51s-CogExp.SUR.2015.6.17.7.37.MOV-",357,2015,"Territorial",7,1.150875,9.207,1.10314285714286,7.722,16.929,1.95864714459811
"vlc-record-2015-06-29-17h05m27s-CogExp.SUR.2015.6.17.7.37.MOV-",364,2015,"Floater",1,0.9735,1.947,0.264,0.264,2.211,2.06532898214746
"vlc-record-2015-06-29-17h06m54s-CogExp.SUR.2015.6.17.8.05.MOV-",292,2015,"Territorial",2,1.749,5.247,0.3795,0.759,6.006,2.45753752047455
"vlc-record-2015-06-29-17h18m09s-CogExp.SUR.2015.6.17.8.35.MOV-",356,2015,"Territorial",6,1.41428571428571,9.9,1.7105,10.263,20.163,2.25649888808881
"vlc-record-2015-06-29-17h22m20s-CogExp.SUR.2015.6.17.8.35.MOV-",357,2015,"Territorial",9,1.1583,11.583,1.05233333333333,9.471,21.054,1.85770612231889
