EntryID;ColorCode;BirdID;Territoriality
1152;GRP;236;Floater
1153;BPR;312;Territorial
1156;BPR;312;Territorial
1171;PBG;292;Territorial
1183;GPW;271;Territorial
1186;GYP;291;Territorial
1193;YRP;203;Territorial
1236;BPR;312;Territorial
1238;BPR;312;Territorial
1242;YGP;316;Floater
1245;GRP;236;Floater
1252;BPR;312;Territorial
1259;BPR;312;Territorial
1349;BPR;312;Territorial
1352;BPR;312;Territorial
1357;BPR;312;Territorial
1366;YGP;316;Floater
1368;BPR;312;Territorial
1370;YGP;316;Floater
1386;YBR;323;Floater
1395;YBR;323;Floater
1418;GRP;236;Floater
1419;WBG;319;Unknown
1420;BPR;312;Territorial
1428;GRP;236;Floater
1430;WBG;319;Unknown
1435;BPB;314;Territorial
1436;YGP;316;Floater
1437;BPR;312;Territorial
1442;BPR;312;Territorial
1444;YGP;316;Floater
1445;BPB;314;Territorial
1450;BPR;312;Territorial
1453;GRP;236;Floater
1454;BPR;312;Territorial
1464;BPR;312;Territorial
1465;BPB;314;Territorial
1466;GRP;236;Floater
1472;WBG;319;Unknown
1473;BPR;312;Territorial
1475;BPB;314;Territorial
1476;YGP;316;Floater
1478;YGP;316;Floater
1483;YGP;316;Floater
1486;YGP;316;Floater
1492;GRP;236;Floater
1495;YGP;316;Floater
1497;YGP;316;Floater
1498;BPR;312;Territorial
1501;YGP;316;Floater
1503;BPB;314;Territorial
1504;YGP;316;Floater
1601;PBG;292;Territorial
1605;PBG;292;Territorial
1621;YWB;301;Territorial
843;YGB;303;Floater
856;YGB;303;Floater
958;PBG;292;Territorial
969;PBG;292;Territorial
970;YRP;203;Territorial
975;PBG;292;Territorial
