FileID;ColorCode;BirdID;Territoriality;Comments
vlc-record-2015-06-21-16h59m58s-CogExp.SUR.2015.6.9.7.19.MOV-;G;292;Territorial;Incorrect cood but var can be calculated, and ins/outs are ok
vlc-record-2015-06-21-17h16m55s-CogExp.SUR.2015.6.9.8.18.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h11m02s-CogExp.SUR.2015.6.9.9.20.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h13m25s-CogExp.SUR.2015.6.10.6.38.MOV-;P;353;Territorial;
vlc-record-2015-06-21-18h14m26s-CogExp.SUR.2015.6.10.6.38.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h15m34s-CogExp.SUR.2015.6.10.6.38.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h16m43s-CogExp.SUR.2015.6.10.6.38.MOV-;WGR;364;Floater;
vlc-record-2015-06-21-18h18m08s-CogExp.SUR.2015.6.10.7.08.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h19m11s-CogExp.SUR.2015.6.10.7.08.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h25m21s-CogExp.SUR.2015.6.10.7.37.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h27m06s-CogExp.SUR.2015.6.10.7.37.MOV-;BGW;143;Territorial;
vlc-record-2015-06-21-18h29m05s-CogExp.SUR.2015.6.10.7.58.MOV-;WGR;364;Floater;
vlc-record-2015-06-21-18h30m54s-CogExp.SUR.2015.6.10.8.27.MOV-;WGR;364;Floater;
vlc-record-2015-06-21-18h32m25s-CogExp.SUR.2015.6.10.8.55.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h33m41s-CogExp.SUR.2015.6.10.9.10.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h36m25s-CogExp.SUR.2015.6.10.9.10.MOV-;WGR;364;Floater;
vlc-record-2015-06-21-18h37m19s-CogExp.SUR.2015.6.10.9.10.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h38m32s-CogExp.SUR.2015.6.10.9.32.MOV-;G;292;Territorial;
vlc-record-2015-06-21-18h40m38s-CogExp.SUR.2015.6.10.9.55.MOV-;WGR;364;Floater;
vlc-record-2015-06-21-18h46m30s-CogExp.SUR.2015.6.10.10.17.MOV-;P;353;Territorial;
vlc-record-2015-06-21-18h48m14s-CogExp.SUR.2015.6.10.6.42.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h53m07s-CogExp.SUR.2015.6.10.7.11.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h56m29s-CogExp.SUR.2015.6.11.7.40.MOV-;Y;301;Territorial;
vlc-record-2015-06-21-18h59m05s-CogExp.SUR.2015.6.11.8.09.MOV-;Y;301;Territorial;
vlc-record-2015-06-22-22h35m33s-CogExp.SUR.2015.6.11.8.09.MOV-;G;292;Territorial;
vlc-record-2015-06-22-22h37m28s-CogExp.SUR.2015.6.11.8.09.MOV-;RPR;367;Floater;Interaction? Can be neglected?
vlc-record-2015-06-22-22h40m10s-CogExp.SUR.2015.6.11.8.09.MOV-;Y;301;Territorial;
vlc-record-2015-06-22-22h41m47s-CogExp.SUR.2015.6.11.8.41.MOV-;Y;301;Territorial;
vlc-record-2015-06-22-22h56m07s-CogExp.SUR.2015.6.11.9.10.MOV-;WGR;364;Floater;
vlc-record-2015-06-22-23h02m20s-CogExp.SUR.2015.6.11.9.10.MOV-;Y;301;Territorial;
vlc-record-2015-06-23-00h08m01s-CogExp.SUR.2015.6.11.9.39.MOV-;Y;301;Territorial;
vlc-record-2015-06-23-00h09m45s-CogExp.SUR.2015.6.11.10.10.MOV-;RPR;367;Floater;
vlc-record-2015-06-23-00h14m21s-CogExp.SUR.2015.6.11.10.10.MOV-;Y;301;Territorial;
vlc-record-2015-06-23-00h18m33s-CogExp.SUR.2015.6.12.7.11B.MOV-;G;292;Territorial;
vlc-record-2015-06-23-00h19m48s-CogExp.SUR.2015.6.12.7.11B.MOV-;Y;301;Territorial;
vlc-record-2015-06-23-00h26m55s-CogExp.SUR.2015.6.12.8.08.MOV-;G;292;Territorial;
vlc-record-2015-06-23-00h29m02s-CogExp.SUR.2015.6.12.8.35.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-15h19m18s-CogExp.SUR.2015.6.12.8.35.MOV-;G;292;Territorial;
vlc-record-2015-06-29-15h20m30s-CogExp.SUR.2015.6.12.8.35.MOV-;G;292;Territorial;good video quality
vlc-record-2015-06-29-15h41m10s-CogExp.SUR.2015.6.12.9.40.MOV-;G;292;Territorial;
vlc-record-2015-06-29-15h47m40s-CogExp.SUR.2015.6.15.7.01.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-15h49m38s-CogExp.SUR.2015.6.15.7.01.MOV-;Y;301;Territorial;
vlc-record-2015-06-29-15h50m50s-CogExp.SUR.2015.6.15.7.01.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-15h52m42s-CogExp.SUR.2015.6.15.7.36.MOV-;P;353;Territorial;
vlc-record-2015-06-29-15h55m29s-CogExp.SUR.2015.6.15.8.05.MOV-;WGR;364;Floater;
vlc-record-2015-06-29-15h56m41s-CogExp.SUR.2015.6.15.8.34.MOV-;R;356;Territorial;
vlc-record-2015-06-29-15h58m21s-CogExp.SUR.2015.6.15.8.34.MOV-;RPR;367;Floater;
vlc-record-2015-06-29-16h31m00s-CogExp.SUR.2015.6.15.8.34.MOV-;P;353;Territorial;
vlc-record-2015-06-29-16h35m47s-CogExp.SUR.2015.6.16.7.58.MOV-;P;353;Territorial;
vlc-record-2015-06-29-16h37m15s-CogExp.SUR.2015.6.16.7.58.MOV-;G;292;Territorial;
